pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
quotient	 n. [数] 商；系数；份额
optics	 n. [光] 光学
colossus	 n. 巨像；巨人；巨大的东西
proverb	 n. 谚语，格言；众所周知的人或事
synthetic	 adj. 综合的；合成的，人造的 n. 合成物
multiplicity	 n. 多样性；[物] 多重性
fable	 n. 寓言；无稽之谈 vi. 编寓言；虚构 vt. 煞有介事地讲述；虚构
elucidate	 v. 阐明；说明
penury	 n. 贫困；贫穷
endanger	 v. 危及；使遭到危险
pretext	 n. 借口；托辞 vt. 以…为借口
afresh	 adv. 重新；再度
reparable	 adj. 可修缮的；可补偿的；可挽回的
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
fictitious	 adj. 虚构的；假想的；编造的；假装的
elocution	 n. 朗诵法；演说法；雄辩术
proceed	 v. 开始；继续进行；发生；行进 n. 收入，获利
infamous	 adj. 声名狼藉的；无耻的；邪恶的；不名誉的
obscure	 adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的 v. 使…模糊不清，掩盖；隐藏；使难理解 n. 某种模糊的或不清楚的东西
quiescent	 adj. 静止的；不活动的；沉寂的
scanner	 n. [计] 扫描仪；扫描器；光电子扫描装置
anthropoid	 adj. 类人猿的；类人的；（猿等）似人类的 n. 类人猿
doleful	 adj. 寂寞的；悲哀的；阴沉的；忧郁的
prudential	 adj. 谨慎的；明辨的
imminent	 adj. 即将来临的；迫近的
intellect	 n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
momentum	 n. 势头；[物] 动量；动力；冲力
peripheral	 adj. 外围的；次要的；（神经）末梢区域的 n. 外部设备
clarification	 n. 澄清，说明；净化
vicarious	 adj. 替代的；代理的；发同感的
languor	 n. 疲倦；无精打采；柔情；呆滞 vi. 变得衰弱无力
countless	 adj. 无数的；数不尽的
prodigal	 adj. 挥霍的；十分慷慨的 n. 浪子；挥霍者
overshadow	 v. 使失色；使阴暗；遮阴；夺去…的光彩
aspiration	 n. 渴望；抱负；送气；吸气；吸引术
drastic	 adj. 激烈的；猛烈的 n. 烈性泻药
skittish	 adj. （人或动物）不安的，易受惊的；难驾驭的
scale	 n. 规模；比例；鳞；刻度；天平；数值范围 v. 衡量；攀登；剥落；生水垢
infest	 v. 骚扰；寄生于；大批出没；大批滋生
calculable	 adj. 可计算的；能预测的；可靠的
monotonous	 adj. 单调的，无抑扬顿挫的；无变化的
circle	 n. 循环，周期；圆；圈子；圆形物 v. 盘旋，旋转；环行
attache	 n. 专员，公使；使馆随员；大使馆专员
rate	 n. 比率，率；速度；价格；等级 v. 认为；估价；责骂
celibacy	 n. 独身
unwieldy	 adj. 笨拙的；笨重的；不灵便的；难处理的
abrogate	 v. 废除；取消
allotment	 n. 分配；分配物；养家费；命运
syllabus	 n. 教学大纲，摘要；课程表
relevant	 adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
plasticity	 n. 塑性，可塑性；适应性；柔软性
premature	 adj. 早产的；不成熟的；比预期早的 n. 早产儿；过早发生的事物
lexicon	 n. 词典，辞典
larceny	 n. 盗窃；盗窃罪
incontrovertible	 adj. 无可争议的；无疑的；明白的
perusal	 n. 熟读；精读
temperance	 n. 戒酒；节欲；（气候等的）温和 adj. 温暖的；有节制的
morale	 n. 士气，斗志
cereal	 n. 谷类，谷物；谷类食品；谷类植物 adj. 谷类的；谷类制成的
reconciliation	 n. 和解；调和；和谐；甘愿
omen	 n. 预兆；征兆 v. 预示；有…的前兆；预告
evade	 v. 逃避；规避；逃脱
evaporation	 n. 蒸发；消失
anxious	 adj. 焦虑的；担忧的；渴望的；急切的
schedule	 v. 安排，计划；编制目录；将……列入计划表 n. 时间表；计划表；一览表
prank	 n. 恶作剧，开玩笑；戏谑 v. 装饰；打扮
perceptible	 adj. 可察觉的；可感知的；看得见的
caricature	 n. 漫画；讽刺画；漫画手法 v. 画成漫画讽刺
lithe	 adj. 轻盈的（等于lithesome）；柔软的；易弯曲的
primer	 n. 初级读本；识字课本；原始物
inequality	 n. 不平等；不同；不平均
claimant	 n. 原告；[贸易] 索赔人；提出要求者
oxidize	 v. 使氧化；使生锈
technique	 n. 技巧，技术；手法
reparation	 n. 赔偿；修理；赔款
misunderstand	 v. 误解；误会
effusion	 n. 渗出；泻出；渗漏物
scar	 v. 伤害；给留下伤痕 n. 创伤；伤痕
affront	 v. 冒犯，有意冒犯；面对；公开侮辱 n. 轻蔑；公开侮辱
impulsive	 adj. 冲动的；受感情驱使的；任性的
indisputable	 adj. 明白的；无争论之余地的
blunt	 adj. 钝的，不锋利的；生硬的；直率的 v. 使迟钝 n. (Blunt)人名；(英)布伦特
condescend	 v. 屈尊；俯就；（对某人）表现出优越感
temperature	 n. 温度；体温；气温；发烧
beatific	 adj. 幸福的；祝福的；快乐的
mite	 n. 极小量；小虫；小孩儿；微小的东西
topography	 n. 地势；地形学；地志
liquidate	 v. 清算；偿付；消除
veritable	 adj. 真正的，名副其实的
hustle	 v. 催促；猛推；强夺 n. 推；奔忙；拥挤喧嚷
pensive	 adj. 沉思的，忧郁的；悲伤的，哀愁的
comprehensive	 adj. 综合的；广泛的；有理解力的 n. 综合学校；专业综合测验
solder	 v. 焊接 n. 焊料；接合物
renascent	 adj. 新生的，复活的；复兴的
chaos	 n. 混沌，混乱
hysterical	 adj. 歇斯底里的；异常兴奋的
aperture	 n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
cyclical	 adj. 周期的，循环的
austerity	 n. 紧缩；朴素；苦行；严厉
peddle	 v. 叫卖；兜售；散播 n. (Peddle)人名；(英)佩德尔
extant	 adj. 现存的；显著的
sagacity	 n. 睿智；聪敏；有远见
accompanist	 n. 伴奏者；伴随者
befuddle	 v. 使迷惑；使昏沉
resuscitate	 v. 使复苏；使复兴
peccadillo	 n. 轻罪；小过失；小瑕疵
ascribe	 v. 归因于；归咎于
bureaucracy	 n. 官僚主义；官僚机构；官僚政治
decrepit	 adj. 衰老的；破旧的
nautical	 adj. 航海的，海上的；船员的
arduous	 adj. 努力的；费力的；险峻的
amicable	 adj. 友好的；友善的
advert	 v. 注意；谈到 n. 广告
capacitor	 n. [电] 电容器
visualize	 v. 形象，形象化；想像，设想
oration	 n. 演说；致辞；叙述法
proponent	 n. 支持者；建议者；提出认证遗嘱者
tipsy	 adj. 喝醉的；歪曲的；不稳的
overpower	 v. 压倒；克服；使无法忍受
antemeridian	 adj. 上午的
suave	 adj. 柔和的，温和的；文雅的，娴雅的
likelihood	 n. 可能性，可能
luminescent	 adj. 发冷光的，冷光的
placid	 adj. 平静的；温和的；沉着的
inexcusable	 adj. 不可原谅的；没法辩解的；不可宽恕的
chasm	 n. 峡谷；裂口；分歧；深坑
abridge	 v. 删节；缩短；节略
cringe	 v. 畏缩；奉承；阿谀 n. 畏缩；奉承
mimic	 v. 模仿，摹拟 n. 效颦者，模仿者；仿制品；小丑 adj. 模仿的，模拟的；假装的
dubious	 adj. 可疑的；暧昧的；无把握的；半信半疑的
laudation	 n. 赞美；颂词；称赞
procedure	 n. 程序，手续；步骤
idolatry	 n. 偶像崇拜；盲目崇拜；邪神崇拜
abdominal	 adj. 腹部的；有腹鳍的
overlord	 n. 霸王；大君主；最高统治者；封建领主
sentimental	 adj. 伤感的；多愁善感的；感情用事的；寓有情感的
eyepiece	 n. [光] 目镜，[光] 接目镜
species	 n. [生物] 物种；种类 adj. 物种上的
purloin	 v. 偷窃
cancellation	 n. 取消；删除
liable	 adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
repugnant	 adj. 讨厌的；矛盾的；敌对的
bewilder	 v. 使迷惑，使不知所措
visage	 n. 面貌，容貌；外表
borough	 n. 区；自治的市镇
sustenance	 n. 食物；生计；支持
candor	 n. 坦白；直率
oust	 v. 驱逐；剥夺；取代
alter	 v. 改变，更改 n. (Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特
muffle	 v. 蒙住；裹住；抑制；发低沉的声音 n. 低沉的声音；消声器；包裹物（如头巾，围巾等）；唇鼻部
pancreas	 n. [解剖] 胰腺
mount	 v. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等） n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
accession	 n. 增加；就职；到达 v. 登记入册
chart	 n. 图表；海图；图纸；排行榜 v. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展
mate	 n. 助手，大副；配偶；同事；配对物 v. 使配对；使一致；结伴
vertical	 adj. 垂直的，直立的；[解剖] 头顶的，顶点的 n. 垂直线，垂直面
thrall	 n. 奴隶；束缚 adj. 受奴役的 vt. 使成为奴隶
perform	 v. 执行；完成；演奏
dumbfound	 v. 使惊呆；使人惊愕失声
menacing	 adj. 威胁的；险恶的 v. 威胁（menace的ing形式）；恐吓
egocentric	 adj. [心理] 自我中心的；利己主义的 n. 利己主义者
voluble	 adj. 健谈的；缠绕的；易旋转的
derivative	 n. [化学] 衍生物，派生物；导数 adj. 派生的；引出的
odious	 adj. 可憎的；讨厌的
nostalgia	 n. 乡愁；怀旧之情；怀乡病
intercession	 n. 调解；说情；仲裁
archetype	 n. 原型
raconteur	 n. 健谈者；善谈者；擅长讲故事的人
veto	 n. 否决权 v. 否决；禁止
verifiable	 adj. 可证实的；能作证的；可检验的
extraction	 n. 取出；抽出；拔出；抽出物；出身
ensnare	 v. 诱捕；诱入陷阱；进入罗网
oblique	 adj. 斜的；不光明正大的 n. 倾斜物 vi. 倾斜
germane	 adj. 有密切关系的；贴切的；恰当的 n. (Germane)人名；(英)杰曼
oxidizer	 n. [助剂] 氧化剂
morbid	 adj. 病态的；由病引起的；恐怖的；病变部位的
regulate	 v. 调节，规定；控制；校准；有系统的管理
sinecure	 n. 闲职；挂名职务
advent	 n. 到来；出现；基督降临；基督降临节
valid	 adj. 有效的；有根据的；合法的；正当的
opulent	 adj. 丰富的；富裕的；大量的
shrinkage	 n. 收缩；减低
supine	 adj. 仰卧的；懒散的；掌心向上的；向后靠的
era	 n. 时代；年代；纪元
hypotenuse	 n. 直角三角形的斜边
bestride	 v. 跨骑
revive	 v. 复兴；复活；苏醒；恢复精神
overlook	 v. 忽略；俯瞰；远眺；检查；高耸于…之上 n. 忽视；眺望
sociable	 adj. 社交的；好交际的；友善的 n. 联谊会
synopsis	 n. 概要，大纲
hectic	 n. 脸红；患肺结核 adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的
compassionate	 adj. 慈悲的；富于同情心的 v. 同情；怜悯
transparent	 adj. 透明的；显然的；坦率的；易懂的
multiple	 adj. 多重的；多样的；许多的 n. 倍数；[电] 并联
querulous	 adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
typify	 v. 代表；作为…的典型；具有…的特点
protocol	 n. 协议；草案；礼仪 vt. 拟定 vi. 拟定
plasma	 n. [等离子] 等离子体；血浆；[矿物] 深绿玉髓
turpitude	 n. 卑鄙；奸恶
lambaste	 v. 痛打；严责；鞭打
forecast	 v. 预报，预测；预示 n. 预测，预报；预想
infrared	 n. 红外线 adj. 红外线的
cogitate	 v. 仔细考虑；谋划
community	 n. 社区；[生态] 群落；共同体；团体
delude	 v. 欺骗；哄骗；诱惑；【罕用】迷惑；逃避；使失望
multiply	 v. 乘；使增加；使繁殖；使相乘 adv. 多样地；复合地 adj. 多层的；多样的
starch	 n. 淀粉；刻板，生硬 v. 给…上浆
aristocracy	 n. 贵族；贵族统治；上层社会；贵族政治
myth	 n. 神话；虚构的人，虚构的事
indelible	 adj. 难忘的；擦不掉的
congruent	 adj. 适合的，一致的；全等的；和谐的
refulgent	 adj. 辉煌的；灿烂的
tempestuous	 adj. 有暴风雨的；暴乱的；剧烈的
designate	 v. 指定；指派；标出；把…定名为 adj. 指定的；选定的
misstate	 v. 说错；作虚伪叙述，谎报
airy	 adj. 空气的；通风的；幻想的；轻快的；空中的 n. (Airy)人名；(英)艾里
clarity	 n. 清楚，明晰；透明
pretend	 v. 假装，伪装，佯装 adj. 假装的
endocrine	 n. 内分泌；激素；内分泌物 adj. 内分泌的；激素的
historical	 adj. 历史的；史学的；基于史实的
magnet	 n. 磁铁；[电磁] 磁体；磁石
lodge	 n. 旅馆；门房；集会处；山林小屋 v. 提出；寄存；借住；嵌入
rectangular	 adj. 矩形的；成直角的
imperceptive	 adj. 无感觉的；缺乏感知力的
laxative	 n. 泻药；[药] 缓泻药 adj. 通便的
insouciance	 n. 无忧无虑；漫不经心；满不在乎
revolution	 n. 革命；旋转；运行；循环
leaven	 v. 使发酵；影响 n. 酵母；酵素；潜移默化的影响
jovial	 adj. 天性快活的；主神朱庇特的
capacious	 adj. 宽敞的；广阔的；容积大的
contingent	 adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；[逻]有条件的 n. 分遣队；偶然事件；分得部分；代表团
anthology	 n. （诗、文、曲、画等的）选集
avarice	 n. 贪婪，贪财
pacify	 v. 使平静；安慰；平定
obscurity	 n. 朦胧；阴暗；晦涩；身份低微；不分明
sacrifice	 n. 牺牲；祭品；供奉 v. 牺牲；献祭；亏本出售
benison	 n. 祝福
alleviate	 v. 减轻，缓和
homonym	 n. 同音异义词；同形异义词；同形同音异义词；同名异物
exponent	 n. [数] 指数；典型；说明者，说明物 adj. 说明的
cubic	 adj. 立方体的，立方的 n. (Cubic)人名；(罗)库比克
whimsical	 adj. 古怪的；异想天开的；反复无常的
stimulation	 n. 刺激；激励，鼓舞
solid	 adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
meticulous	 adj. 一丝不苟的；小心翼翼的；拘泥小节的
covert	 n. 隐藏处；树丛；蔽覆羽翮基部的羽毛 adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的
jungle	 n. 丛林，密林；危险地带 adj. 丛林的；蛮荒的
vertex	 n. 顶点；[昆] 头顶；[天] 天顶
embattle	 vt. 布阵；列阵；整军备战；严阵以待
gravitation	 n. 重力；万有引力；地心吸力
malinger	 v. 装病以逃避职责
engross	 v. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
shield	 n. 盾；防护物；保护者 v. 遮蔽；包庇；避开；保卫
antidote	 n. [药] 解毒剂；解药；矫正方法
knave	 n. 无赖；流氓；（纸牌中的）杰克
propaganda	 n. 宣传；传道总会
estrange	 v. 使疏远；离间
range	 n. 范围；幅度；排；山脉 v. （在内）变动；平行，列为一行；延伸；漫游；射程达到
physics	 n. 物理学；物理现象
translation	 n. 翻译；译文；转化；调任
bedeck	 v. 装饰；修饰
emergent	 adj. 紧急的；浮现的；意外的；自然发生的
quibble	 n. 谬论；双关语；遁辞 v. 诡辩；挑剔；说模棱两可的话
vaporization	 n. 蒸发；喷雾器；蒸馏器
delegate	 v. 委派…为代表 n. 代表
commencement	 n. 开始，发端；毕业典礼
tranquil	 adj. 安静的，平静的；安宁的；稳定的
ramify	 v. 分枝，分叉；成网状
fallacious	 adj. 谬误的；骗人的；靠不住的；不合理的
casual	 adj. 随便的；非正式的；临时的；偶然的 n. 便装；临时工人；待命士兵
aggressive	 adj. 侵略性的；好斗的；有进取心的；有闯劲的
paraphrase	 n. 释义；解释；意译 v. 释义
feint	 n. 佯攻；伪装 v. 佯攻；假装 adj. 假的
readily	 adv. 容易地；乐意地；无困难地
observation	 n. 观察；监视；观察报告
assassinate	 v. 暗杀；行刺
humorous	 adj. 诙谐的，幽默的；滑稽的，可笑的
confidence	 n. 信心；信任；秘密 adj. （美）诈骗的；骗得信任的
obfuscate	 v. 使模糊；使迷乱；弄暗
uproot	 v. 根除，连根拔起；迫使某人离开出生地或定居处
solidification	 n. 凝固；团结；浓缩
peninsular	 adj. 半岛的；形成半岛的；半岛状的 n. 半岛居民
shuffle	 v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱 n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
hereditary	 adj. 遗传的；世袭的；世代相传的 n. 遗传类
insolent	 adj. 无礼的；傲慢的；粗野的；无耻的
arraign	 v. 传讯，控告；责难，指责
buffoon	 n. 丑角；滑稽剧演员
equitable	 adj. 公平的，公正的；平衡法的
elevate	 v. 提升；举起；振奋情绪等；提升…的职位
procure	 v. 获得，取得；导致
celerity	 n. 快速；敏捷
mask	 n. 面具；口罩；掩饰 v. 掩饰；戴面具；化装
bacchanalia	 n. （古罗马的）酒神节；大酒宴
semiconductor	 n. [电子][物] 半导体
mass	 n. 块，团；群众，民众；大量，众多；质量 adj. 群众的，民众的；大规模的，集中的 v. 聚集起来，聚集
revile	 v. 辱骂；斥责
parody	 n. 拙劣的模仿；诙谐的改编诗文 v. 拙劣模仿
luxuriant	 adj. 繁茂的；丰富的；奢华的；肥沃的
commute	 v. （搭乘车、船等）通勤；代偿 n. 通勤（口语）
cower	 v. 退缩；抖缩；蜷缩；弯腰屈膝
annex	 v. 附加；获得；并吞 n. 附加物；附属建筑物
remunerate	 v. 酬劳；给与报酬；赔偿
maritime	 adj. 海的；海事的；沿海的；海员的
isotope	 n. 同位素
acquit	 v. 无罪释放；表现；脱卸义务和责任；清偿
frolicsome	 adj. 嬉戏的，爱闹着玩的
abstruse	 adj. 深奥的；难懂的
chromatic	 adj. 彩色的；色品的；易染色的
candid	 adj. 公正的；坦白的；率直的；偷拍的 n. (Candid)人名；(罗)坎迪德
reconnoiter	 v. 侦察，勘查
zany	 adj. 滑稽的；古怪的；愚蠢的 n. 小丑；笨人；马屁精
incite	 v. 煽动；激励；刺激
abstemious	 adj. 节约的，节省的；有节制的
pundit	 n. 专家；博学者；梵文学者
wry	 adj. 歪斜的，扭歪的；歪曲的；用反语表达幽默的；揶揄的 vt. 扭曲；扭歪 vi. 扭曲；扭歪
serene	 adj. 平静的；安详的；清澈的；晴朗的 n. 平静；晴朗 vt. 使平静
virulent	 adj. 剧毒的；恶性的；有恶意的
collegian	 n. 学院的学生；学院的一员
generic	 adj. 类的；一般的；属的；非商标的
antilogy	 n. 前后矛盾
trough	 n. 水槽，水槽；低谷期；饲料槽；低气压
issue	 n. 问题；流出；期号；发行物 v. 发行，发布；发给；放出，排出
redundant	 adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
obesity	 n. 肥大，肥胖
engrossing	 adj. 引人入胜的 v. 使全神贯注（engross的ing形式）
attribute	 n. 属性；特质 v. 归属；把…归于
skeleton	 n. 骨架，骨骼；纲要；骨瘦如柴的人 adj. 骨骼的；骨瘦如柴的；概略的
veil	 n. 面纱；面罩；遮蔽物；托词 v. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
inept	 adj. 笨拙的；不适当的
vein	 n. 血管；叶脉；[地质] 岩脉；纹理；翅脉；性情 v. 使成脉络；象脉络般分布于
offshoot	 n. 分支；支流；衍生物
disadvantage	 n. 缺点；不利条件；损失
credible	 adj. 可靠的，可信的
opponent	 n. 对手；反对者；敌手 adj. 对立的；敌对的
rhombus	 n. [数] 菱形；[数] 斜方形
underling	 n. 下属，部下；走卒
intelligible	 adj. 可理解的；明了的；仅能用智力了解的
plunder	 n. 抢夺；战利品；掠夺品 v. 掠夺；抢劫；侵吞
autocrat	 n. 独裁者，专制君主；独断独行的人
vivacious	 adj. 活泼的；快活的；有生气的
tacit	 adj. 缄默的；不言而喻的；心照不宣的；默许的
pictograph	 n. [语] 象形文字；古代石壁画；统计图表
tense	 adj. 紧张的；拉紧的 v. 变得紧张；使拉紧 n. 时态
prominence	 n. 突出；显著；突出物；卓越
lobster	 n. 龙虾
decimal	 adj. 小数的；十进位的 n. 小数
serendipity	 n. 意外发现珍奇事物的本领；有意外发现珍宝的运气
surpass	 v. 超越；胜过，优于；非…所能办到或理解
abridgement	 n. 节略，缩写；减少
bedlam	 n. 混乱，骚乱；精神病院，疯人院
opprobrium	 n. 耻辱，不名誉；责骂，咒骂
fundamental	 adj. 基本的，根本的 n. 基本原理；基本原则
inexorable	 adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
maneuver	 n. [军] 机动；演习；策略；调遣 v. [军] 机动；演习；调遣；用计谋
specialty	 n. 专业，专长；特产；特性；招牌菜 adj. 特色的；专门的；独立的
total	 adj. 全部的；完全的；整个的 v. 总数达 n. 总数，合计
succulent	 adj. 多汁的；多水分的；多汁性的 n. 肉质植物；多汁植物
agape	 adj. 张开著；张口惊视的 adv. 目瞪口呆 n. (Agape)人名；(罗)阿加佩
abet	 v. 煽动，教唆；支持 n. (Abet)人名；(意)阿贝特；(匈)奥拜特
brazier	 n. 火盆；铜匠（等于 brasier）
brethren	 n. <旧>兄弟们，同胞；〈旧〉同党，会友
exonerate	 v. 使免罪
bullock	 n. 小公牛；阉牛
peremptory	 adj. 强制的；绝对的；断然的；专横的
plenteous	 adj. 丰富的；丰饶的
hypocrite	 n. 伪君子；伪善者
abed	 adv. 在床上 n. (Abed)人名；(法)阿贝；(阿拉伯)阿比德
bleak	 adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
protein	 n. 蛋白质；朊 adj. 蛋白质的
staid	 adj. 固定的；沉着的；沉静的；古板的，保守的
hypocrisy	 n. 虚伪；伪善
discharge	 v. 解雇；卸下；放出；免除 n. 排放；卸货；解雇
trifle	 n. 琐事；蛋糕；少量 v. 开玩笑；闲混；嘲弄
prism	 n. 棱镜；[晶体][数] 棱柱
circumference	 n. 圆周；周长；胸围
refurbish	 v. 刷新；再磨光
solute	 n. [化学] 溶质；[化学] 溶解物 adj. 溶解的
anticlimax	 n. 突降法；虎头蛇尾；令人扫兴的结尾
miff	 n. 微怒；小争执 v. 使……恼怒
comparable	 adj. 可比较的；比得上的
primeval	 adj. 原始的；初期的（等于primaeval）
ohm	 n. 欧姆（电阻单位）
adumbrate	 v. 预示；画…的轮廓；遮蔽
voltage	 n. [电] 电压
commiserate	 v. 同情，怜悯
ridicule	 v. 嘲笑；嘲弄；愚弄 n. 嘲笑；笑柄；愚弄
contingency	 n. 偶然性；[安全] 意外事故；可能性；[审计] 意外开支；[离散数学或逻辑学]偶然式
ungainly	 adj. 笨拙的；不雅的 adv. 笨拙地；不雅地
accusation	 n. 控告，指控；谴责
stagy	 adj. 做作的，不自然的
akin	 adj. 类似的；同类的；同族的 n. (Akin)人名；(土、瑞典、尼日利)阿金；(匈)奥金；(英)埃金
hypodermic	 n. 皮下注射；皮下注射器 adj. 皮下的
ingrate	 adj. 忘恩的；不知恩的 n. 忘恩负义的人
indubitable	 adj. 不容置疑的；明确的
subdue	 v. 征服；抑制；减轻
adamant	 adj. 固执的，坚强的；坚定不移的；坚硬无比的 n. 坚硬的东西；坚石
geometric	 adj. 几何学的；[数] 几何学图形的
division	 n. [数] 除法；部门；分配；分割；师（军队）；赛区
missile	 n. 导弹；投射物 adj. 导弹的；可投掷的；用以发射导弹的
accommodate	 v. 容纳；使适应；供应；调解
anode	 n. 阳极（电解）
placate	 v. 抚慰；怀柔；使和解
swamp	 n. 沼泽；湿地 v. 使陷于沼泽；使沉没；使陷入困境
downplay	 v. 不予重视；将轻描淡写
obese	 adj. 肥胖的，过胖的
rendezvous	 n. 约会；约会地点；集结地 v. 会合；约会
monopoly	 n. 垄断；垄断者；专卖权
wrath	 n. 愤怒；激怒
surreptitious	 adj. 秘密的；鬼鬼祟祟的；暗中的
wee	 adj. 极小的；很早的 n. 一点点
reminiscent	 adj. 怀旧的，回忆往事的；耽于回想的 n. 回忆录作者；回忆者
abdicate	 v. 退位；放弃
unify	 v. 统一；使相同，使一致
hermit	 n. （尤指宗教原因的）隐士；隐居者
provincial	 adj. 省的；地方性的；偏狭的 n. 粗野的人；乡下人；外地人
bolster	 n. 支持；长枕 v. 支持；支撑
hydrogen	 n. [化学] 氢
adulterant	 n. 掺杂物 adj. 掺杂用的
disfigure	 v. 使变丑；损毁…的外形；使大为减色
barrister	 n. 律师；（加拿大）出庭律师（等于arrister-at-law）；（英）（有资格出席高等法庭并辩护的）专门律师
vernacular	 adj. 本国的；地方的；用本地语写成的 n. 本地话，方言；动植物的俗名
fray	 n. 争论；打架；磨损处 v. 使磨损；变得令人紧张、急躁
exigent	 adj. 迫切的；紧急的；苛求的
solicitous	 adj. 热切期望的；热心的；挂念的
apotheosis	 n. 神化；崇拜，颂扬；尊奉为神
considerable	 adj. 相当大的；重要的，值得考虑的
egalitarian	 adj. 平等主义的 n. 平等主义；平等主义者
intimidate	 v. 恐吓，威胁；胁迫
plaintive	 adj. 哀伤的；悲哀的
knavery	 n. 恶行，欺诈；无赖行为
buoyancy	 n. 浮力；轻快；轻松的心情；（股票）保持高价或回升
priggish	 adj. 一本正经的；自负的；死板的
suspicion	 n. 怀疑；嫌疑；疑心；一点儿 vt. 怀疑
slight	 adj. 轻微的，少量的；脆弱的；细长的；不重要的 v. 轻视，忽略；怠慢 n. 怠慢；轻蔑
latency	 n. 潜伏；潜在因素
polygamy	 n. 一夫多妻，一妻多夫，多配偶
imprint	 n. 印记；痕迹；特征；版本说明 v. 加特征；刻上记号
frightful	 adj. 可怕的；惊人的；非常的
tribulation	 n. 苦难；磨难；忧患
medley	 n. 混合；混杂；混合物 adj. 混合的；拼凑的
annalist	 n. 编年史作者；纪年表编者
renown	 n. 声誉；名望 vt. 使有声望
abase	 v. 使…谦卑；降低…的品格；降低…的地位
abash	 v. 使困窘；使羞愧；使局促不安
keepsake	 n. 纪念品
dilute	 adj. 稀释的；淡的 v. 稀释；冲淡；削弱
impervious	 adj. 不受影响的，无动于衷的；不能渗透的
apology	 n. 道歉；谢罪；辩护；勉强的替代物
efficacy	 n. 功效，效力
predicament	 n. 窘况，困境；状态
prescience	 n. 先见；预知
compress	 v. 受压缩小
recede	 v. 后退；减弱
immigrate	 v. 移入
mawkish	 adj. 令人作呕的，令人厌恶的；自作多情的；淡而无味的
contemplation	 n. 沉思；注视；意图
imperil	 v. 危及；使陷于危险
acclimate	 v. 服水土；适应新环境
tentative	 adj. 试验性的，暂定的；踌躇的 n. 假设，试验
gel	 v. 胶化 n. [物化] 凝胶，胶体
salt	 n. 盐；风趣，刺激性 adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的 v. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化
reflection	 n. 反射；沉思；映象
abate	 v. 减轻；减少；废除 n. (Abate)人名；(英、意、法、埃塞)阿巴特
accentuate	 v. 强调；重读
intangible	 adj. 无形的，触摸不到的；难以理解的
pomp	 n. 盛况；浮华；壮丽；夸耀
misanthropy	 n. 厌恶人类；厌世，愤世嫉俗
area	 n. 区域，地区；面积；范围
erroneous	 adj. 错误的；不正确的
repentant	 adj. 悔改的；后悔的
bumper	 adj. 丰盛的，丰富的 n. 缓冲器，保险杆，减震物 vt. 装满；为…祝酒 vi. 干杯
hypothesis	 n. 假设
discipline	 n. 学科；纪律；训练；惩罚 v. 训练，训导；惩戒
regularity	 n. 规则性；整齐；正规；匀称
fraction	 n. 分数；部分；小部分；稍微
restoration	 n. 恢复；复位；王政复辟；归还
desolate	 adj. 荒凉的；无人烟的 v. 使荒凉；使孤寂
still	 adv. 仍然；更；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的 n. 寂静；剧照；蒸馏室 conj. 仍然；但是；尽管如此 v. 蒸馏；使…静止；使…平静下来
vaccine	 n. 疫苗；牛痘苗 adj. 疫苗的；牛痘的
amnesia	 n. 健忘症，[内科] 记忆缺失
cantata	 n. 大合唱；（意）清唱剧；康塔塔（一种声乐套曲）
augur	 n. 预言者；占兆官；占卜师 v. 预言；是…的预兆
ceremonial	 adj. 仪式的；正式的，礼仪的 n. 仪式，礼节
fetid	 adj. 臭的；恶臭的；腐臭的
eulogize	 v. 颂扬；称赞
enigmatic	 adj. 神秘的；高深莫测的；谜一般的
reprisal	 n. 报复（行为）；报复性劫掠
