misdeed	 n.  罪行， 犯罪
equanimity	 n.  平静， 沉着， 镇定
saturation	 n.  饱和
indigenous	 adj.  本地的； 土产的； 土著的
bridle	 v.  上笼头； 昂首 ； 抑制 n. 马勒，缰绳
visualize	 v.  形象， 形象化
rejuvenate	 v.  使年轻； 使复原
bureau	 n.  局； 办公署
entrance	 n.  进入
introvert	 n. 性格内向的人 vt.  向内弯曲
laggard	 adj. 落后的 n.  落后者
motley	 adj.  混杂的
frolicsome	 adj.  爱闹着玩的， 嬉戏的
charlatan	 n.  庸医； 吹牛者
acreage	 n.  英亩数； 面积
manometer	 n.  流体压强计
acoustic	 adj.  有关声音的， 声学的
parody	 n.   诙谐性的模仿作品； 拙劣的模仿
gastronomy	 n.  美食法， 烹饪法
dignify	 v.  使尊荣， 使高贵
outlandish	 adj.  外国气派的； 古怪的， 奇异的
jocose	 adj.  诙谐的
tropical rain forest	 热带雨林
rigorous	 adj.  严格的， 严厉的
foretell	 v.  预言， 预示， 预测
effete	 adj.   生产力已枯竭的； 衰老的； 疲惫的， 衰微的
strenuous	 adj.  积极的， 奋发的； 费劲的
lethargy	 n.  无生气； 懒洋洋
amusement	 n.  娱乐， 消遣， 娱乐活动
supplicant	 n.  恳求者， 恳请者
precipitate	 v.  猛地落下
mandate	 n.  命令； 训令； 要求
rile	 v.  搅混； 惹怒
meander	 v.  蜿蜒而流； 漫步
progression	 n.  行进
ensemble	 n.  全体合唱团
trick	 v.  欺骗， 哄骗
prudential	 adj.  谨慎的
plaudit	 n.   喝彩
pollute	 v.  弄脏； 污染
transposition	 n.  调换， 变换
larceny	 n.  盗窃罪
reversible	 adj.  可逆的
insipid	 adj.  无情趣的； 乏味的
memorize	 vt.  记住； 记忆
commensurate	 adj.  相称的， 相当的
diaphanous	 adj.  透明的； 精致的
stimulation	 n.  激励， 鼓舞； 刺激
permutation	 n.  改变， 交换
derange	 v.  使精神错乱； 使发狂
remiss	 adj.  玩忽职守的
manifest	 adj.  明白的， 显然的 vt. 表明，证明，显示
prelude	 n.  先驱； 前奏， 序幕
enrage	 v.  激怒
underexposure	 n.  曝光不足
specific	 adj.  明确的， 具体的； 特定的； 特有的， 特殊的
ignoble	 adj.  不光彩的； 卑鄙的； 可耻的
cacophony	 n.  刺耳的音调； 不谐和音； 杂音
regnant	 adj.  在位的； 占优势的； 流行的
gestate	 v.  孕育； 创意
adroit	 adj.  熟练的
chord	 n.  弦
frivolity	 n.  轻薄， 轻率； 无聊的举动
remainder	 n.  余数
neologism	 n.  新语； 新词； 旧词新义
hiatus	 n.  裂缝， 脱落
clumsy	 adj.  笨拙的， 愚笨的
summon	 v.  召唤； 召集； 传讯， 传唤； 鼓起 ， 振作
spurious	 adj.  伪造的， 假的
collage	 n.  抽象拼贴画
maintain	 vt.  维修， 保养； 维持， 保持； 坚持， 主张， 支持
echo	 n.  回声
rehabilitate	 v.  使恢复名誉； 使复原
birthright	 n.  与生俱来的权利
ramify	 v.   分支，  分叉
trammel	 n.  拘束； 阻碍物， 束缚物
annihilate	 vt.  消灭， 歼灭
upshot	 n.  结果
accusation	 n.  谴责； 指控
rabid	 adj.  狂暴的， 激烈的； 患有狂犬病的
implausible	 adj.  难以置信的； 不像真实的
remorse	 n.  懊悔； 自责； 同情， 怜悯
chimerical	 adj.  空想的
beneficence	 n.  善行； 仁慈； 赠物
dissuade	 v.  劝阻
palatial	 adj.  富丽堂皇的； 宫殿般的
witling	 adj.  玩弄小聪明的人
diminutive	 adj.  小的； 小型的
encompass	 v.  包围， 环绕； 包含或包括某事物
cache	 n.  隐藏处所； 隐藏的粮食或物资， 贮藏物
waver	 v. 减弱；动摇
imminent	 adj.  即将来临， 逼近的
primeval	 adj.  原始的
sustenance	 n.  食物， 营养  ； 支持， 维持， 扶持； 生计
congenital	 adj.  天生的， 先天的
velvety	 adj.  像天鹅绒的， 柔软的
prickle	 v.  刺， 扎， 戳
immoral	 adj.  不道德的， 邪恶的
dissipate	 vi. 消散，消失 vt.  使消散， 使消失； 浪费， 挥霍
querulous	 adj.  爱发牢骚的； 易怒的； 爱挑剔的
flask	 n.  烧瓶
fluctuation	 n.  波动， 起伏
impassive	 adj.  冷漠的
occult	 v. 掩蔽，隐藏 adj.  神秘的， 玄妙的； 超自然的； 隐蔽的
needlework	 n.  刺绣， 缝纫
athirst	 adj.  渴望的
simultaneous	 adj.  同时的， 同时发生的
predation	 n.  掠夺； 掠食
guarantee	 v.  保证， 担保 n. 保证，保证书
nebula	 n.  星云
literal	 adj.  文字的； 照字面上的， 无夸张的
prodigious	 adj.  庞大的； 惊异的； 奇妙的
amorous	 adj.  多情的， 恋爱的， 表示爱情的
commingle	 v.  混合
indolent	 adj.  懒惰的； 不痛的
vendor	 n.  小贩； 【律】卖主
mawkish	 adj.  令人作恶的； 无味的
attribute	 v.  把…归于； 认为…是…所为 n.  属性； 品质； 特征
repentant	 adj.  后悔的， 悔改的； 有后悔表现的
genetic	 adj.  基因的， 遗传  的
triumph	 n.  狂喜； 胜利， 成功
cataract	 n.  大瀑布； 白内障
ratification	 n.  批准； 承认
bauxite	 n.  铝氧石
tout	 v.  吹捧
palpable	 adj.  可触知的； 明显的
fortunate	 adj.  幸运的； 侥幸的
tour	 n.  旅行， 游览；  巡回演出， 巡回医疗；  任期
persuade	 v.  说服， 劝说
consensus	 n.  一致同意； 多数人的意见； 舆论
exacting	 adj.  苛求的， 严格的； 吃力的， 需付出极大耐心
irresolute	 adj.  犹豫不决的
judicature	 n.  司法
embellish	 v.  装饰， 美化； 添加细节
retract	 v.  缩回， 缩进； 收回， 取消， 撤销
blazon	 v. 广布，宣布；夸示 n.  细致准确地绘制或描述
swerve	 v.  突然转向
gossip	 v.  传播流言蜚语； 说长道短 n. 闲话，聊天；非议，流言
sarcasm	 n.  挖苦， 讽刺
antecedent	 adj.  先行的 n. 先辈
didactic	 adj.  说教的； 教诲的
colloquial	 adj.  口语的； 通俗语的
sterling	 adj.  纯正的
granular	 adj.  由小粒而成的， 粒状的
fatuous	 adj.  愚昧的； 昏庸的
incorporate	 v.  合并， 纳入， 结合
recapture	 n.  取回， 夺回
clemency	 n.  温和； 仁慈， 和蔼
benediction	 n.  祝福
reiterate	 v.  反复地说， 重申； 重做
segment	 n.  弓形； 部分
sinister	 adj.  左边的； 险恶的
menacing	 adj.  威胁的； 险恶的
pendulum	 n.  钟摆； 摆锤
aerosol	 n.  气溶胶
termination	 n.  结局； 末端， 终点
superb	 adj.  极好的， 高质量的
regress	 v.  复原； 逆行； 使倒退
duplicate	 adj.  复制的， 二重的， 二倍的 v.  复写， 复制， 使加倍 n. 复制品，副本
affable	 adj.  和蔼可亲的
decrease	 v. （使）变小，（使）减少 n. 减少；减少的量
engrossing	 adj.  引人入胜的， 极有趣的
surmise	 v. 推测，猜测 n.  推测， 猜测
eradicate	 v.  根除， 灭绝
germinate	 v.  使发芽； 使发展
conservationist	 n.   保护管理论者
patriotism	 n.  爱国心， 爱国精神
abdominal	 adj.  腹部的
hackneyed	 adj.  陈腐的； 常见的
despondent	 adj.  垂头丧气的； 沮丧的
trifle	 v.  玩忽， 不认真对待 n. 少量，少许；小事，琐事，微不足道的东西
accomplice	 n.  同盟者， 帮凶
apogee	 n.  远地点
string	 v.  缚， 捆； 悬挂 n. 弦，线，细绳；一串，一行
submit	 v.  使服从， 屈服； 呈送， 提交
affluent	 adj.  丰富的； 富裕的
garble	 v.  断章取义； 混淆
macabre	 adj.  恐怖的， 令人毛骨悚然的
redundant	 adj.  多余的
racy	 adj.  有活力的； 有原来风味的， 天然的， 地道的
contrition	 n.  悔悟， 后悔
admissible	 adj.  容许的； 可采纳的
mellifluous	 adj.  嗓音如蜜般的； 甜美的； 流畅的
condensation	 n.  凝结
statement	 n.  声明， 陈述
factor	 v.  将…分解因子 n. 因子
asinine	 adj.  愚笨的
respiratory system	 [解剖] 呼吸系统
carbon dioxide	 n. 二氧化碳
mischievous	 adj.  恶作剧的； 淘气的
dumbfound	 v.  使人哑然失声； 使发愣
aural	 adj.  听觉的
barometer	 n.  气压计
triennial	 adj.  每三年一度的
sensation	 n.  感觉， 知觉
brightness	 n.  亮度
refer	 v.  提交， 谈及
stellar	 adj.  星的； 星形的； 主要的； 主角的
flame	 n.  火焰
occupant	 n.  占有者； 居住者
typography	 n.  排版， 排印
truism	 n.  公认的真理， 自明之理
prohibitive	 adj.  禁止的， 抑制的； 价格极高的
flair	 n.  天赋； 天资
modest	 adj.  谦虚的， 谦让的， 谦逊的； 适度的
moribund	 adj.  垂死的
unaccountable	 adj.  无法解释的
conflagration	 n.  大火， 大火灾
miasma	 n.  沼气
fat	 n.  脂肪
electron	 n.  电子
citadel	 n.  根据地， 大本营
panegyric	 n.  颂词； 颂文
brooch	 n.  胸针， 领针
ambivalent	 adj.  矛盾的
practicable	 adj.  能实行的， 行得通的， 可以实行的
esoteric	 adj.  深奥的； 隐秘的
probability	 n.  概率
browbeat	 vt.  恫吓， 吓唬
explicit	 adj.  清晰的， 明确的， 清楚的； 直率的， 不含糊的
propriety	 n.  适当， 正当， 得体； 礼节， 礼仪
abash	 vt.  使局促不安， 使困窘
mastermind	 n.  具有极高才智的人， 出谋划策的人， 设计者
imbue	 v.  浸透
abase	 vt.  降低自己， 使卑下
aerostat	 n.  航空器
utilize	 v.  利用
idealist	 n.  理想主义者
subside	 v.  下沉； 沉淀； 平息； 减退
antilogy	 n.   前后矛盾
epistolary	 adj.  书信的； 书信体的
elated	 adj.  兴高采烈的； 得意洋洋的
purity	 n.  纯度
portion	 n.  一部分
futile	 adj.  无效的， 无用的， 无希望的， 无意义的； 琐细的
algae	 n.  海藻； 藻类
pensive	 adj.  沉思的； 悲伤的
isotope	 n.  同位素
clothier	 n.  衣商
engross	 v.  吸引， 使全神贯注； 独占
acumen	 n.  敏锐， 聪明
abate	 v.  减少； 减轻
wee	 adj.  很少的， 微小的
wistful	 adj.  伤感的， 徒然神往的
risible	 adj.  可笑的, 滑稽的
eschew	 v.  避开， 回避
melee	 n.  混战， 搏斗， 格斗
amass	 vt.  收集， 积聚
souvenir	 n.  纪念品
seminary	 n.  神学院
quaint	 adj.  离奇有趣的； 奇怪的； 做得很精巧的
comical	 adj.  好笑的， 滑稽的
grip	 n. 紧握，紧抓；握力 v. 紧握，紧抓
adjutant	 adj. 辅助的 n.  副官
bronchitis	 n.  【医】 支气管炎
biennial	 adj.  两年生的； 两年一次的
tentative	 adj.  试验性的， 试探的
egoism	 n.  自我主义； 利己主义
criticize	 v.  批评， 评论
wanton	 adj.  荒唐的， 嬉戏的； 恣意的
incredulous	 adj.  怀疑的， 不轻信的
whet	 v.  磨， 磨快； 兴奋
circumference	 n.  圆周， 周长； 周围
crystallization	 n.  结晶
behold	 v.  目睹， 看见
dominance	 n.  优势； 统治
indebted	 adj.  负债的； 感恩的
economic	 adj.  经济  的， 经济学的
indicator	 n.  指示剂
whim	 n.  一时的兴致； 幻想
thrall	 n.  奴隶； 束缚； 奴役
distinction	 n.  区别， 差别
retrace	 v.  折回； 退回
heretofore	 adv.  迄今
abnegate	 v.  放弃
section	 n.  断面； 一部分
ruinous	 adj.  破坏性的， 灾难性的， 毁灭性的； 已成废墟的
malignant	 adj.  恶性的， 致命的； 恶意的， 恶毒的
precedence	 n.  优先， 居先
undercharge	 v.  索价低于常价
protocol	 n.  草案； 协议
overflow	 v.   泛滥，  溢出，  充溢 n. 溢出
provoke	 v.  挑动； 激发； 招惹
foil	 v.  挫败 n. 箔，金属薄片
respite	 v.  暂缓
remonstrate	 v.  抗议
gruesome	 adj.  可怕的， 可憎的， 令人厌恶的
foolhardy	 adj.  鲁莽的， 有勇无谋的
rapprochement	 n.  友好关系的恢复， 和解， 亲善
salutatory	 n.  大学毕业典礼的贺词
repugnant	 adj.  令人讨厌的； 冲突的； 不一致的
rail	 v.  责骂， 抱怨
tranquil	 adj.  安静的， 安详的
plea	 n.  恳求， 请求； 抗辩， 答辩， 辩护； 借口， 托辞
boatswain	 n.  水手长
strait	 n. 海峡；〔狭窄的〕水道
choleric	 adj.  易怒的
denominator	 n.  标准； 分母
fastidious	 adj.  难取悦的； 挑剔的； 苛求的
nutrition	 n.  营养
cereal	 n.  谷类食品； 谷类
invigorate	 v.  鼓舞
indifferent	 adj.  不关心的， 冷淡的， 不感兴趣的； 无偏袒的， 中立的， 公平的
undersize d	 adj.  较一般为小的， 不够大的
unfavorable	 adj.  相反的； 不适宜的， 不顺利的； 令人不快的
producer	 n.  生产者
solemn	 adj.  庄严的， 隆重的； 严肃的
dictatorial	 adj.  独裁的； 傲慢的， 专横的
perceive	 vt.  察觉， 感知； 理解， 领悟
sugar	 n.  糖类
electrolyte	 n.  电解质
embarrass	 v.  使窘迫， 使为难
option	 n.  选择， 选择权；  选择的事物 ； 选课
acute	 adj.  敏锐的， 尖锐的；  急性的
stigma	 n.  污名， 耻辱
unveil	 v.  除去面纱； 使暴露； 展示， 介绍
generator	 n.  发电机
sonar	 n.  声纳
endurance	 n.  忍耐， 持久， 耐久
microscope	 n.  显微镜
farcical	 adj.  滑稽的， 引人发笑的
candidate	 n.  候选人； 候补者； 报考者
cognizant	 adj.  认知的
intelligible	 adj.  可理解的， 明白易懂的， 易领悟的， 清楚的
parallel	 adj. 平行的；相同的；类似的 n.  平行线， 平行面； 类似， 相似物
wearisome	 adj.  使疲倦的， 使厌倦的， 乏味的
prattle	 v.  说孩子气的话； 闲聊
inert	 adj.  无活动的； 惰性的； 迟钝的
blunder	 vi.  跌跌撞撞地走； 犯大错， 做错 n. 大错
pertinacious	 adj.  固执的
enzyme	 n.  酶
breach	 n. 违背；破坏；破裂，裂口 vt.  打破； 突破
granule	 n.  细粒
selective	 adj.  选择的， 选择性的； 精挑细选的
stimulus	 n. 刺激（物）；促进因素
agglomerate	 adj.  成块的， 凝聚的 v.  使成团， 使成块， 使凝聚 n. 大团，大块
bewilder	 vt.  使迷惑； 使不知所措； 使昏乱
regiment	 n.  团
curmudgeon	 n.  脾气坏的人
gall	 n.  胆汁； 恶毒； 怨恨； 愚勇
terminal	 n.  终点站； 终端， 接线端； 计算机终端
egalitarian	 adj.  平等主义的
linguist	 n.  语言学家
surpass	 v.  超过， 超越； 胜过
aloof	 adv.  远离地； 冷漠超然地 adj. 孤零的，冷淡的
idealize	 v.  使理想化， 使合乎理想
stagnate	 vt.   停滞，  变萧条
fainthearted	 adj.  懦弱的， 胆小的
succumb	 v.  屈服， 屈从； 死
amatory	 adj.  恋爱的； 情人的
rant	 v.  怒气冲冲地叫嚷； 夸夸其谈
translucent	 adj.   透明的
conciliatory	 adj.  抚慰的， 调和的
arbitrate	 v.  做出公断
brine	 n.  盐水
aversion	 n.  厌恶； 讨厌的事和人
dipper	 n.  药勺
pension	 n.  养老金， 年金
preparatory	 adj.  预备的
vein	 n.  静脉
veil	 v.  用面纱掩盖； 掩饰 n. 面纱，遮蔽物
hierarchy	 n.  等级制度； 统治集团
licentious	 adj.  放肆的
posterior	 adj.  较晚的
amphitheater	 n.  古罗马的圆形剧场， 竞技场， 似圆形剧场的场所
panic	 n.  恐慌， 惊慌
proxy	 n.  代理人
fold	 v.  对折
patter	 v.  喋喋不休
boiling	 n.  沸腾
impervious	 adj.  不可渗透的； 不可破坏的
intermediate	 adj. 中间的，居间的；中级的 n.  中间体， 媒介物
simultaneously	 adv.  同时地
competitive	 adj.  竞争的
compression	 n.  浓缩， 压缩， 压榨；  压缩
ambrosial	 adj.  芳香的， 特别美味的
sentient	 adj.  有感觉力的
frank	 adj.  坦白的， 直率的
exacerbate	 v.  使恶化， 使加剧； 使发怒
rapt	 adj.  全神贯注的
heterodox	 adj.  异端的； 非正统的
virus	 n.  病毒
aerate	 v.  使充满气体
anterior	 adj.  前面的； 逻辑上在前的
blaspheme	 v.  亵渎； 咒骂， 辱骂
recourse	 n.  求援， 求助
virtu	 n.  古董类
revocation	 n.  撤回
extinction	 n.  灭绝
cadaver	 n.  死尸， 尸体
contestant	 n.  竞争者； 参赛者
nickname	 n. 诨号，绰号 vt.  给…起绰号
genre	 n.  类型； 流派
trickery	 n.  欺骗
relinquish	 v.  放弃
ignition	 n.  灼烧
humanity	 n.  人类， 人性， 人情； 人文科学
radiance	 n.  光辉； 闪烁
charge	 n. 费用，价钱 v. 控告，指控
appendage	 n.  附属肢体
alternate	 v. 交替，轮流 adj.  交替的， 轮流的
infuriate	 adj.  狂怒的 v.  激怒
cacophonous	 adj.  发音不和谐的
recreate	 v.   得到休养，  得到娱乐
assuage	 vt.  缓和， 减轻； 镇定
tropical	 adj.  热带的
repulsion	 n.  斥力
forgery	 n.  伪造
renascent	 adj.  新生的， 复活的， 复兴的
enchant	 v.  对…施行妖法， 用妖术迷惑； 使心醉， 使销魂， 使迷住
burgeon	 vi.  萌芽； 快速成长
naive	 adj.  天真的； 幼稚的
clarify	 v.  澄清， 阐明
duplicity	 n.  奸诈， 狡猾
residual	 n.  残留
congenial	 adj.  性格相似的， 意气相投的
generosity	 n.  慷慨， 宽大
acclimate	 v.  使适应新环境
exclude	 v.  把…排除在外， 排斥
enlighten	 v.  启发， 启蒙， 教导， 启迪， 开导
utmost	 adj. 极度的，极端的 n.  极限， 极度， 最大可能
perturb	 v.  使感到不安
needy	 adj.  贫困的， 非常贫穷的
oxidize	 v.  氧化
buffoonery	 n.  打诨； 滑稽
deduct	 v.  扣除， 减去
specious	 adj.  华而不实的， 徒有其表的； 似是而非的
voracious	 adj.  狼吞虎咽的； 贪婪的
image	 n.  像
caricature	 n. 讽刺画，漫画；讽刺描述法；歪曲的模仿 vt.  画成漫画讽刺
terse	 adj.  简洁的， 扼要的
pallid	 adj.  苍白的； 暗淡的
topography	 n.  地形， 地形学
quorum	 n.  法定人数； 选出的团体
portray	 v.  画 ， 画  ； 描绘， 描写， 描述
inexplicable	 adj.  无法说明的； 难以理解的
blight	 vt.  毁灭
ruddy	 adj.  红色的； 红润的
pontiff	 n.  罗马教皇； 主教
confrontation	 n.  对抗
comestible	 adj. 可吃的 n.  食物
profound	 adj.  深刻的， 意义深远的； 渊博的， 造诣深的
homogeneous	 adj.  同种类的， 同性质的， 有相同特征的
penumbra	 n.  半影
usurp	 v.  篡夺； 篡位； 侵占
aggress	 v.  攻击； 侵犯
condone	 v.  宽恕， 赦免
electroscope	 n.  验电器
aspiration	 n.  强烈的愿望； 志向， 抱负
usury	 n.  高利贷； 高利
necessity	 n.  必要性，  需要； 必需品
foible	 n.  小缺点； 弱点
abeyance	 n.  暂时无效； 中止
recreant	 n.  懦夫
compelling	 adj.  强制的； 引人注目的
halcyon	 adj.  平静的
origin	 n.  起源， 由来； 出身， 来历； 原点
vocal	 adj.  嗓音的， 声音的， 有声的
precaution	 n.  预防， 警惕， 谨慎， 小心； 预防措施
personality	 n.  人格， 个性； 人物
subterfuge	 n.  托辞； 借口
rate	 n.  率， 比率； 速度， 速率
sanction	 v.  同意， 许可， 准许
deduce	 v.  推论， 演绎出
obsolescent	 adj.  逐渐被废弃的； 即将过时的
extemporaneous	 adj.  无准备的， 即席的
oak	 n.  橡树
proverb	 n.  谚语
tangential	 adj.  切线的
prosperity	 n.  繁荣， 兴旺
divide	 v.  除
adulatory	 adj.  奉承的
contend	 v.  斗争， 竞争； 主张
covert	 adj.  隐蔽的， 偷偷摸摸的
potion	 n.  一服， 一剂
thwart	 v.  反对， 阻碍； 横过
armory	 n.  兵工厂， 军械库
gamble	 v. 赌博 n. 冒险，碰运气
gaucherie	 n.  笨拙
deport	 v.  举止； 驱逐
luminescent	 adj.  发冷光的
counter	 n.  计数器
crestfallen	 adj.  垂头丧气的
coagulate	 v.  凝结
cylinder	 n.  圆柱体
affray	 v.   吵架， 打架
starch	 n.  淀粉
sedate	 adj.  安静的； 稳重的
withdraw	 v.  取回， 收回； 撤销
promotion	 n.  提升， 晋级；  宣传， 推销
colloquialism	 n.  口语体； 口语用法
wry	 adj.  扭歪的； 挖苦的， 揶揄的
straightforward	 adj.  直截了当的， 简单明了的； 正直的， 诚实的， 坦率的
transcription	 n.  转录
exhilarate	 v.  使高兴； 使振奋
languish	 v.  憔悴； 凋萎
tabulate	 v.  把…制成表格
capricious	 adj.  任性的； 反复无常的
legislative	 adj.  立法的， 立法机关的
transcribe	 v.  转录
lunatic	 adj.  精神错乱的， 疯狂的； 极端愚蠢的
intricate	 adj.  错综复杂的， 难以理解的
capacious	 adj.  容积大的； 宽敞的； 广阔的
ciliate	 adj. 有纤毛的；有睫毛的；纤毛虫的 n.  纤毛虫
context	 n.  上下文， 文章前后关系
abidance	 n.  居住； 遵守
augur	 v.  占卜， 预言 n. 占兆官；占卜师，预言者
advisory	 adj.  咨询的； 劝告的
issue	 v. 流出，放出；发行，发表，颁布 n.  发行 ，  期号； 问题， 争论点， 争端
pundit	 n.  博学者
lingual	 adj.  语言的
subsistence	 n.  生存； 生活
dejected	 adj.  沮丧的， 灰心的
metal	 n.  金属
audacity	 n.  大胆， 厚颜
autarchy	 n.  独裁； 专制
germination	 n.  发芽
habitable	 adj.  可居住的
malign	 v. 诽谤 adj.  恶毒的
plaintive	 adj.  悲哀的， 哀伤的
lively	 adj.  活泼的， 活跃的
malleable	 adj.  有延展性的， 可锻的； 易受影响的， 能根据环境的变化而调整的， 适应的
supplement	 n.  补角， 指两角之和为180度
alteration	 n.  变更， 改造
brittle	 adj.  易碎的； 脆弱的
affinity	 n.  构造相似； 特点相近； 密切关系
gypsy	 n.  吉普赛人
pedestal	 n.   基座， 台座， 柱脚
pertinacity	 n.  顽固
semblance	 n.  外表； 伪装
solicitude	 n.  关怀
admonish	 vt.  劝告， 训诫， 警告
indefinitely	 adv.  无限定地
gibberish	 n.  快速而含混不清的言语， 胡言乱语
occurrence	 n.  发生， 出现； 事件， 事故， 发生的事情
bauble	 n.  小玩意
recede	 vi.  退， 退去， 渐渐远去； 向后倾斜； 缩进
delegate	 n.  代表， 代表团成员 vt.  委派  …为代表； 授 ， 把…委托给
literature	 n.  文学； 文学作品； 文献
sphere	 n.  球体
digest	 v.  消化 n. 摘要，文摘
melodious	 adj.  旋律优美的
irreparable	 adj.  不能挽回的
abyss	 n.  深渊
belief	 n.  信仰， 信条； 相信， 信念
veto	 v. 否决〔尤指他人或其他组织已赞同之事〕 n. 否决(权)
centipede	 n.  蜈蚣
encore	 n.  要求再演； 加演
exuberant	 adj.  繁茂的； 丰富的； 兴高采烈的， 热情洋溢的
proficient	 adj.  精通的， 熟练的
remembrance	 n.  回想， 记忆
halve	 v.  把…平分为二； 将…减半
obnoxious	 adj.  不愉快的； 讨厌的
penitent	 adj.  忏悔的； 悔过的
impromptu	 n.  即席演出， 即兴之作
verbose	 adj.  冗长的； 嗦的
photon	 n.  光子
slender	 adj.  修长的， 苗条的； 微小的， 微薄的
terminus	 n.  终点
compensate	 v.  偿还， 补偿， 付报酬
attache	 n.  随员； 大使馆馆员
conscious	 adj.  意识到的， 自觉的； 有意识的， 神志清醒的
dilatory	 adj.  拖拉的
malodorous	 adj.  有恶臭的
animadversion	 n.  批评， 非难
prodigal	 adj. 浪费的 n.  挥霍者
outcast	 n.  被驱逐者， 流浪者
placid	 adj.  平静的
coax	 v.  劝诱； 诱骗
contentment	 n.  满足， 满意
beatify	 v.  使享福；  为  行宣福礼
laudable	 adj.  值得赞美的， 值得称赞的
edge	 n.  立体的边或棱
brotherhood	 n.  手足情谊， 兄弟关系
skirt	 n.  边缘
orchestra	 n.  管弦乐队
widespread	 adj.  分布广泛的， 普遍的
antique	 adj.  古时的， 古老的 n. 古物，古玩，古董
asexual	 adj.  无性的； 无性生殖的
morose	 adj.  郁闷的； 乖僻的
toxic	 adj.  有毒的， 因中毒引起的
coalescence	 n.  合并， 接合； 联合
contest	 v.  争论， 争辩， 竞赛， 争夺 n.  竞争， 竞赛， 比赛
turmoil	 n.  骚动； 混乱
organelle	 n.  细胞器
overleap	 v.  越过
diagnosis	 n.  诊断
doctrinaire	 n.  空谈家； 教条主义者
plus	 adj.  表示加的； 正的 prep. 加，加上
raze	 v.  夷为平地
license	 n.  许可  ； 执照
expand	 v.   膨胀，  扩张； 张开， 展开
dismissal	 n.  免职， 解雇
ohm	 n.  欧姆
squander	 v.  浪费
perimeter	 n.  周长
suggestive	 adj.  提示的， 暗示的
retrieve	 v.  重新得到； 恢复
cantata	 n.  清唱剧； 康塔塔； 大合唱
malice	 n.  恶意， 怨恨
thermometer	 n.  温度计
athwart	 adv. 横跨着，斜穿过；逆，相反 prep.  横过， 反对， 逆
heat	 n.  热
discrepant	 adj.  差异的
furrow	 n.  分裂沟
code	 n.  密码； 代码， 代号， 编码
legacy	 n.  遗赠的财物， 遗产
displace	 v.  移置， 转移； 取代， 置换
nutriment	 n.  营养品
swindle	 v.  诈骗
veritable	 adj.  真正的
hemoglobin	 n.  血红蛋白
inestimable	 adj.  无价的， 无法估计的
illusion	 n.  错觉， 幻觉； 假象
whine	 v.  哭诉， 发牢骚， 发呜呜声
considerable	 adj.  相当大  的， 可观的； 值得考虑的， 重要的
toxin	 n.  毒素
subsist	 v.  生存， 生活； 供养
brief	 adj.  简短的； 短暂的 n. 摘要，大纲 vt. 简短介绍；简要汇报
recover	 v.  重新获得； 痊愈， 复原
influx	 n.  流入
devastate	 v.  毁坏
prodigy	 n.  天才  ； 奇观， 奇事
exonerate	 v.  免罪； 免除
surfeit	 v.  使饮食过度
disavow	 v.  不承认， 否认； 否定， 抵赖
maple	 n.  枫树
compliant	 adj.  顺从的； 适应的
obsequies	 n. 葬礼，丧礼
diagonal	 adj. 对角的，对角线的
prophetic	 adj.  预言的
aroma	 n.  芳香， 香气， 香味
transmute	 v.  改变
readily	 adv.  容易地； 乐意地， 欣然地
projector lens	 放映机镜头
oratory	 n.  讲演术
wrest	 n.  夺取， 强夺； 歪曲
determination	 n.  决心， 果断
discipline	 v.  训练； 锻炼 n. 纪律；学科；规定；训练
burnish	 vi.  磨光； 擦亮
calculus	 n.  微积分学； 结石
ensconce	 v.  使隐藏； 安置
proclamation	 n.  宣布
valediction	 n.  告别； 告别词
suspension	 n.  吊； 悬浮； 悬浮液； 暂停， 中止； 悬而未决， 延迟
inevitable	 adj.  不可避免的， 必然发生的
relapse	 v.  旧病复发
antecede	 v.  先前， 先行
insensible	 adj.  失去知觉的； 麻木不仁的； 无感觉的
vaccinate	 v.  进行预防接种
cognitive	 adj.  认知的， 认识的， 有感知的
sear	 v.  烤焦， 使枯萎
disingenuous	 adj.  不真诚的， 无诚意的
placenta	 n.  胎盘
bridge	 n. 桥 vt.  架桥； 渡过
evaporation	 n.  蒸发
commentary	 n.  注释， 解说词
impeccable	 adj.  完美的； 无懈可击的
minus	 adj.  表示减  的， 负的； 阴性的 prep. 减，除
mistrust	 n.  不信任， 猜疑
conservative	 adj.  保守的； 谨慎的 n. 保守主义者
serenity	 n.  平静
seed	 n.  种子
lifelong	 adj.  终身的， 毕生的
anaerobic respiration	 [植] 无氧呼吸；[微] 厌氧呼吸
torque	 n.  扭矩
dais	 n.  台， 讲台
workmanlike	 adj.  精巧的， 技巧熟练的
belle	 n.  美女， 美人
chromatic	 adj.  彩色的； 半音的
disturb	 v.  扰乱； 打乱； 打扰， 使不安； 使烦恼
lecherous	 adj.  淫荡的； 好色的
vector	 n.  矢量
armful	 n.  一抱之量
sensual	 adj.  感觉的
righteous	 adj.  正直的， 正当的； 公正的， 正义的
abominable	 adj.  讨厌的， 令人憎恶的
speculate	 v.  推测， 思索； 做投机买卖
recrudescent	 adj.  复发的
adorn	 vt.  装饰
dismantle	 v.  拆掉…覆盖物； 拆卸  ； 摧毁， 粉碎
bedaub	 v.  涂污； 过分地装饰
cantonment	 n.  宿营地，  军营， 兵营
acquaint	 v.  使认识， 使了解
censorship	 n.  审查； 审查制度
acquiescence	 n.  默许
