cancel	 vt.  取消
calm	 adj. 镇静的，沉着的 v.  镇静， 沉着
boring	 adj.  令人厌烦的
classic	 adj.  经典的， 一流的
kick	 v&n.  踢
absolute	 adj.  完全的， 绝对的
ask	 v.  询问； 要求
canteen	 n.  餐厅； 食堂
describe	 vt.  描写， 叙述
suck	 v.  吸， 吮
dilemma	 n.  进退两难的局面
wealthy	 adj.  富有的
strength	 n.  力量， 力气
dusk	 n.  黄昏
administration	 n.  管理； 行政部门
run	 vi.  跑， 奔跑； 褪色； 经营， 管理
challenging	 adj.  具有挑战性的
research	 n.  研究， 调查
debate	 n&v.  讨论， 辩论
view	 n.  看法； 景色
either	 determiner. 〔两者中的〕任何一个 adv. 也(不)
furniture	 n.  〈总称〉 家具
jet	 v. 喷射 n.  喷气式飞机； 喷射
donate	 v.  捐赠， 赠送
helpful	 adj.  有帮助的， 有益的
dust	 n.  灰尘， 尘土
worry	 v&n.  担忧， 烦恼
cater	 v.  投合； 备办食物
imagine	 v.  想象， 设想
attractive	 adj.  迷人的， 有吸引力的
superb	 adj.  庄重的， 华丽的， 极好的
might	 modal verb. 可以〔用于礼貌地提出建议〕 n. 力量；威力；权力
bleed	 v.   出血， 流血
catalogue	 n.  目录
whatever	 conj&pron.  无论什么
decrease	 v.  减小， 减少
camp	 n&vi.  野营， 宿营
difficulty	 n.  困难， 费力； 异议
volunteer	 v. 自愿 n.  志愿者
everywhere	 adv.  到处
clothing	 n.  〈总称〉 衣服
aloud	 adv.  大声地； 出声地
thunderstorm	 n.  雷暴， 雷雨交加
mourn	 v.  哀痛； 哀悼
next	 adv. 随后，然后，下一步 adj. 最近的；紧挨着的，隔壁的；下一次 n.  下一个人
blind	 adj.  瞎的， 盲的
nod	 v&n.   点头
string	 n.  细绳， 线， 带
import	 n.  进口， 输入
distance	 n.  距离
occupy	 vt.  占领， 占据
submit	 vt.   提交， 递交
boom	 v.  发出隆隆声； 兴隆， 使繁荣 n. 繁荣；隆隆声
abolish	 vt.  废止； 废除
absence	 n.  不在， 缺席； 没有
nearly	 adv.  将近； 几乎
attract	 v.  吸引； 引起
show	 v. 给…看，出示，
edition	 n.   版， 版本
cautious	 adj.  小心的， 谨慎的
disappear	 vi.  消失
perfume	 n.  香味； 香水
shot	 n.  射击， 开枪， 开炮， 射击声； 子弹； 拍摄
conclusion	 n.  [C] 结论； 结束
nor	 conj.  也不
central	 adj.  中心的， 中央的； 主要的
defend	 vt.  保护， 防御
arrive	 vi.  到达， 达到
memorial	 adj.  纪念的 n. 纪念碑，纪念物
wag	 v.   摇动， 摆动
race	 v.  赛跑， 比赛 n. 种族；比赛
introduce	 vt.  介绍； 引进
greet	 vt.  问候， 向…致敬
sculpture	 n.  雕塑  ， 雕像
bond	 v.  黏合； 结合 n. 联结；联结物
way	 n.  道路； 方法； 作风
target	 n.  目标， 对象； 靶子
wax	 n.  蜡， 蜡状物
grey	 adj.  灰色的； 灰白的
what	 pron&adj&conj.  什么
urban	 adj.  城市的， 市内的
guidance	 n.  引导， 指导
refer	 v.   谈到， 提到
nervous	 adj.  紧张不安的， 神经质的
duty	 n.  责任； 义务； 税
risk	 n. 冒险，风险 vt.  冒…的危险
flame	 n.  火焰， 光辉
rise	 n.  上升， 上涨
play	 v. 玩；打；播放 n.  玩耍； 戏剧
delicate	 adj.  精巧的， 精致的
fancy	 adj. 奇特的；空想的 n. 空想，假想 vt.  想象， 空想
bounce	 v.  使反弹； 跳跃
tissue	 n.  薄的纱织品； 薄纸；  组织
decide	 v.  决定， 下决心
rent	 v.  租用； 出租 n. 租金
when	 adv.  在那时 conj. 什么时候；当…的时候
nearby	 adv.  在附近 adj. 附近的
carpenter	 n.  木匠
modest	 adj.  谦虚的， 谦逊的
cast	 vt. 扔，抛 n.  演员表
anxious	 adj.  忧虑的； 焦急的
fan	 n.   迷， 狂热的爱好者、 支持者； 风扇
slice	 n.  片， 薄片
far	 adj&adv.   远的
frost	 n.  霜
catch	 vt.   接住； 捉住； 赶上； 染上
fax	 n.  传真
plan	 n&v.   计划， 打算
cash	 n. 现金，现钞 vt.  兑现
case	 n.  情况； 病例； 案件； 容器
generation	 n.  代， 一代
give	 v.   给， 付出
double	 adj. 两倍的；双重的 v.  加倍 n. 两个；双打
downtown	 n&adj.  市区 ， 闹市区
trunk	 n.  树干； 大箱子
stainless	 adj.  无污染的； 无瑕疵的； 不锈的
explicit	 adj.  清楚的； 直率的
rely	 vi.  依赖， 依靠； 信任
phone	 v. 打电话 n.  电话； 电话机
slide	 v. 滑行，滑动 n.  幻灯片； 滑道
comfortable	 adj.  舒服的； 安逸的； 舒服自在的
waist	 n.  腰部， 腰围
style	 n.  风格， 时尚
jungle	 n.  丛林， 密林
flesh	 n.  肉， 肉体
suit	 vt. 适合 n.  一套
grill	 n.   烤架； 烤肉
care	 v. 介意，在乎；在意；关心 n.  照料； 保护； 小心
damage	 n&v.  毁坏， 损害
guard	 v. 保卫，看守 n.  防护装置； 警戒
settle	 vi. 安家，定居 vt.  解决
direct	 adj. 直接的；直达的 v.  指挥， 指导
pattern	 n.  式样； 模式
exercise	 v.  锻炼 n. [C]练习；[U]锻炼
labour	 n.  劳动， 劳力
gain	 v. 获得，挣得 n.  收获
vehicle	 n.  车辆
hardship	 n.  困难， 艰辛
confuse	 vt.  使糊涂； 搞乱
kilo	 n.  千克； 公斤
freedom	 n.  自由
cushion	 n.  垫子
scold	 vt.  责骂， 谴责
modern	 adj.  现代的， 近代的； 时尚的
physics	 n.  物理
seldom	 adv.  很少， 不常
physician	 n.   医生
protect	 vt.  保护
architecture	 n.  建筑， 建筑学
souvenir	 n.  纪念品， 纪念物
dial	 v.  拨
stress	 n. 压力 vt.  强调
explore	 v.  探险； 探索
more	 adv. 更 pron.  更多的…； 另外的… adj. 更多的
wet	 adj.  湿的
born	 adj.  出生的
strawberry	 n.  草莓
electricity	 n.  电； 电流
tentative	 adj.  试验性的； 试探的 n. 试验；假设
climate	 n.  气候； 风气； 环境气氛
kill	 vt.  杀死， 弄死； 消磨
conductor	 n.  管理人； 指导者； 售票员， 列车员； 乐队指挥
porridge	 n.  稀饭， 粥
pleased	 adj.  高兴的
certain	 adj.  某些； 确定的， 无疑的； 一定会…
woolen	 adj.  羊毛的， 羊毛制的
board	 n. 木板；布告牌；委员会 vt.  上
statistics	 n.  统计表， 数字， 数据
shut	 v. （使）关[合]上，（使）关闭 adj. 关闭的，关上的
arrest	 vt&n.  逮捕， 拘留
distinction	 n.  区别； 差别
widow	 n.  寡妇
mature	 adj.  成熟的， 成年的
navy	 n.  海军
disability	 n.  残疾； 无能
fee	 n.  费， 费用
section	 n.  段； 部分； 部门
simple	 adj.  简单的， 简易的
used	 adj.  用过的； 旧的， 二手的
influence	 n&vt.  影响
mustard	 n.  芥末， 芥子粉
percentage	 n.  百分率； 比例
talent	 n.  天才， 才能
few	 pron.  不多， 少数 adj. 不多的，少数的
otherwise	 adv.  否则， 要不然
negotiate	 v.  谈判， 协商
hunt	 v&n.  寻找； 狩猎， 猎取
package	 n.  一包， 一袋， 一盒； 包裹
pronunciation	 n.  发音
kind	 adj.  善良的， 亲切的， 和蔼的， 仁慈的 n. [C]种；类
survival	 n.  幸存； 生存
strait	 n.  海峡
both	 pron.  两者都； 双方都 adj. 双方的
voyage	 n.  航行， 旅行
important	 adj.  重要的
nutrition	 n.  营养
detective	 n.  侦探
phrase	 n.  短语， 习惯用语
personally	 adv.  就自己而言
outside	 adv. 在外面，向外面，出界 adj. 外面的，外表的 prep.  在…外 n. 外面，外表，外界
passer-by	 n.  过客， 过路人
keep	 v. 保留；保存；使…保持某种状态； 保持， 继续
effect	 n.  效果； 作用， 影响
affection	 n.  友爱； 爱情
yoghurt	 n.  酸乳酪
skate	 vi.  溜冰， 滑冰
correction	 n.  改正
embarrass	 vt.  使困窘， 使局促不安
who	 pron.  谁
weigh	 v.  称量； 重
sponsor	 n. 赞助者；主办者 vt.  赞助； 主办
acute	 adj.  尖锐的； 敏锐的； 严重的； 急性的
kindergarten	 n.  幼儿园
jog	 v.   慢跑
terrify	 vt.  使人感到害怕， 使恐惧
contribute	 v.  捐款， 捐献
faith	 n.  信仰， 信念； 信任
insert	 vt.  插入
why	 adv. 为什么 interjection. 哎呀，嗨〔表示惊讶或突然意识到某事〕
remark	 n&v.  陈述， 评论
forbid	 v.   禁止， 不许
microscope	 n.  显微镜
tortoise	 n.  乌龟
candidate	 n.  候选人
alone	 adj.  单独的， 孤独的
database	 n.  资料库， 数据库
parallel	 adj.  平行的 n. 平行线；类似
patient	 adj.  耐心的 n. 病人
reject	 vt.  拒绝
dialogue	 n.  对话
diet	 v.  节食 n. 饮食；节食
profit	 v.  赢利， 获益于 n. 利润，益处
win	 v.   赢得， 获胜
rest	 vi.  休息， 歇息 n. 休息；剩余的部分，其余的人
move	 v.  移动， 搬动， 搬家
amount	 vi. 总计；等于 n.  数量
handful	 n.  把； 少数， 少量
album	 n.  照相簿； 集邮本； 签名纪念册
electric	 adj.  电的
yawn	 v.  打呵欠
say	 v.   说， 讲
also	 adv.  也
terminal	 n.   终点站； 终端
enough	 n&adj&adv.  足够  ； 充足
increase	 v.  增加， 繁殖 n.  增加， 加大
differ	 vi.  不一致， 有区别
shine	 v.  发光； 照耀
spread	 n&v.   延伸， 展开； 传播
various	 adj.  各种各样的， 不同的
attention	 n.  注意； 关心
latter	 n.   后者
front	 adj. 前面的；前部的 n.  前面； 前部； 前线
visit	 n&v.  参观， 访问， 拜访
clinic	 n.  诊所
customer	 n.   顾客， 主顾
stupid	 adj.  愚蠢的， 笨的
greeting	 n.  祝贺； 问候； 致谢
bring	 vt.   拿来， 带来， 取来
beddings	 n.  被褥
awake	 v. 唤醒 adj.  醒着的
kiss	 n. [C]吻，亲吻 vt.  吻， 亲吻
ban	 vt. 禁止；取缔 n.  禁令
hamburger	 n.  汉堡包
fond	 adj.  喜爱的， 爱好的
fit	 v. 适合 adj.  适合的， 健康的
offer	 v&n.  提供； 提出； 出价
robot	 n.  机器人
bar	 n.  酒吧； 条， 横木； 栅栏
suffer	 v.  受苦， 遭受
fix	 v.  修理， 安装； 确定， 决定
neighbourhood	 n.  四邻， 邻近地区
complex	 adj. 复杂的；联合的 n.  联合体
draft	 vt. 起草 n.  草稿
honest	 adj.  诚实的， 正直的
pension	 n.  养老金
assumption	 n.  假设， 假定
rank	 n.  等级， 级别； 职衔， 军衔
rubbish	 n.  垃圾； 废物
addition	 n.  增加； 加法
afterwards	 adv.  后来
sure	 adv.  〈口语〉 的确， 一定， 当然 adj. 确信，肯定
grow	 v. 种植；生长，发育； 渐渐变得， 变成
carve	 v.  刻； 雕刻
shrink	 v.   收缩； 缩短
ancestor	 n.  祖宗， 祖先
league	 n.  联盟， 社团
personal	 adj.  个人的， 私人的
angry	 adj.  生气的， 愤怒的
former	 adj.  以前的， 从前的；  前者
panic	 v. 惊恐，恐慌 n.  惊慌， 恐慌
fold	 v.  折叠； 合拢； 包围
stewardess	 n.  女乘务员， 空中小姐
as	 adv.  像…一样 conj. 当…时；正如；因为；尽管 prep. 作为，以…身份
delay	 n&v.  拖延
at	 prep.  在…； 以…
chemical	 adj. 化学的 n.  化学制品
turning	 n.  拐弯处， 拐角处
peace	 n.  和平； 安宁
plant	 vt. 种植；播种 n.  植物
folk	 adj.  民间的
enquiry	 n.  询问
drive	 v.  驾驶， 开； 驱赶
hurt	 v.   伤害
deal	 v. 处理 n.  量， 数额； 交易
abuse	 vt.  滥用 n.  辱骂， 粗话
prove	 vi.  证明是， 结果是， 原来是 vt. 证明，证实
homeland	 n.  祖国
affect	 vt.  影响
deaf	 adj.  聋的
admire	 vt.  钦佩； 羡慕
virus	 n.  病毒
amuse	 vt.  使快乐， 逗乐
see	 v.   看见， 看到； 领会
search	 n&v.  搜寻， 搜查
furnished	 adj.  配备了家具的
responsibility	 n.  责任
sudden	 adj.  突然的
fool	 v.  欺骗； 做蠢事； 游手好闲 n. 傻子，蠢人，白痴
civil	 adj.  国内的； 平民的； 民事的
by	 prep.  靠近； 到…时； 被； 由； 以…的标准
whom	 pron&conj.  谁
indicate	 vt.  指出， 显示
set	 vt. 设置，调整；树立；摆放；日落 n.  一套； 设备
charge	 v. 收费；指控；索价；充电 n.  费用， 价钱
contain	 vt.  包含； 包括
outstanding	 adj.  突出的， 显著的； 杰出的
litter	 v.  乱丢杂物
oval	 adv. 椭圆
procedure	 n.  程序， 手续
familiar	 adj.  熟悉的
biography	 n.  传记
breathe	 v.  呼吸
applicant	 n.  申请人
battle	 n.  战斗； 战役
awesome	 adj.  可怕的； 引起敬畏的
partner	 n.  搭档， 合作者
gifted	 adj.  有天赋的， 有才华的
visa	 n.  签证
zipper	 n.  拉链
Arctic	 n.  北极
unfit	 adj.  不适宜的， 不相宜的
interview	 n&v.  采访； 会见； 面试
clarify	 v.  澄清， 阐明
beauty	 n.  美， 美丽； 美人
beg	 v.  请求， 乞求
scare	 v.  惊吓， 威吓； 受惊
do	 v.  用以构成疑问句及否定句 vt. 做，干
observe	 v.  观察； 遵守
humorous	 adj.  幽默的
garment	 n.  衣服， 外衣
rare	 adj.  罕见的， 稀有的
useless	 adj.  无用的
which	 pron.  哪一个； 哪一些
disadvantage	 n.  不利条件； 弱点
garbage	 n.  垃圾
mainland	 n.  大陆
downstairs	 adv.  在楼下， 到楼下
marble	 n.  大理石
never	 adv.  决不， 从来没有
anxiety	 n.  忧虑； 焦急
piece	 n.  一块  ； 小的部分
adjust	 v.  适应； 调整， 调节
carry	 v.  携带； 搬运； 背
burst	 v.   突然发生； 爆炸
western	 adj.  西方的； 西部的
debt	 n.  债务， 欠款
little	 adj.   小的； 少的
however	 adv.  可是， 然而， 尽管如此； 无论如何
deep	 adv.  深深地； 在深处 adj. 深的；深厚的；沉睡的；渊博的
goose	 n.   鹅
forgive	 vt.   原谅， 宽恕
origin	 n.  起源； 由来
for	 conj.  因为， 由于 prep. 为了；在…期间；对于
mistaken	 adj.  错误的
content	 adj.  满意的 n.  内容； 含量
deed	 n.  行为， 事迹
burden	 n.  担子， 负担
salute	 n&v.  敬礼； 问候
random	 adj.  随意的， 任意的
perhaps	 adv.  可能， 或许
plot	 vt. 密谋 n.  情节
rate	 v.  估价； 认为 n. 比率；价格；速度
skill	 n.  技能， 技巧
trouble	 n. 问题；疾病；麻烦 vt.  使苦恼； 使忧虑； 使麻烦
unfair	 adj.  不公平的， 不公正的
divide	 v.  分， 划分； 除以
contrary	 adj.  相反的 n. 反面
sit	 vi.  坐
digital	 adj.  数字的， 数码的
over	 adv. 越过 adj.  完了， 结束了 prep. 在…之上；超过
brilliant	 adj.  闪耀的； 有才气的
practical	 adj.  实际的； 适用的； 实用的； 应用的
pesticide	 n.  杀虫剂
bound	 adj. 被束缚的；有义务的 v.  跳跃
false	 adj.  假的； 不正确的
go	 v. 去，走；进行；进展； 变得， 变成
tease	 v.  取笑， 嘲弄
fork	 n.  叉； 餐叉
form	 v.  形成， 组建 n. 表格；形式；结构
publish	 v.  出版， 发行
pyramid	 n.  角锥形； 金字塔
cheque	 n.  支票
avoid	 vt.  避免， 躲开， 逃避
bid	 v&n.  出价， 投标
fresh	 adj.  新鲜的； 不熟练的
astonish	 vt.  使惊讶
withdraw	 v.   缩回， 撤回
straightforward	 adj&adv.  正直的， 坦率的
very	 adv. 很，非常 adj.  恰好的， 正好的
decade	 n.  十年
expert	 n.  专家， 能手
practice	 n.  实践； 练习； 惯例， 常规
select	 adj.  精选的 vt. 选择，挑选，选拔
crowd	 v.  拥挤， 群聚 n. 人群；堆
sick	 adj.  有病的， 患病的， 不舒服的；  呕吐的
bit	 n.  一点， 一些， 少量
welfare	 n.  福利； 安宁， 幸福
output	 n.  产量， 输出量
corner	 n.  角； 角落； 拐角
else	 adv.  别的， 其他的
modem	 n.   调制解调器
majority	 n.  多数
beside	 prep.  在…旁边； 靠近
join	 v.  参加， 加入； 连接； 会合
drag	 v.   拖， 拽
reduce	 vt.  减少， 缩减
likely	 adj.  很可能的
large	 adj.  大的； 巨大的
bakery	 n.  面包店
vain	 adj.  自负的； 徒劳的
ordinary	 adj.  普通的， 平常的
fry	 v.  油炸， 油煎
somebody	 pron.  某人； 重要人物
drink	 v. 喝 n.  饮酒
announce	 v.  宣布， 宣告
traditional	 adj.  传统的
lively	 adj.  活泼的； 充满生气的
operate	 v.  动手术； 操作， 运转
begin	 v.   开始， 着手
become	 vt.   变得， 成为
bacterium	 n.   细菌
paragraph	 n.   段落
oilfield	 n.  油田
alive	 adj.  活着的， 存在的
eventually	 adv.  最终地
neighbour	 n.  邻居
tournament	 n.  比赛， 锦标赛
cycle	 vi. 骑自行车，循环 n. 周期；循环 vt.  使循环
thinking	 n.  思索； 见解； 想法
literature	 n.  文学
astronomer	 n.  天文学家
prejudice	 n.  偏见， 成见
digest	 v.  消化； 领会 n.  摘要， 概要； 文摘
angle	 n.  角度
tradition	 n.  传统， 惯例
ability	 n.  能力； 才能
everything	 pron.  每件事； 一切， 所有的东西
unbearable	 adj.  无法忍受的
urgent	 adj.  急迫的， 紧急的
programme	 v.  为…编制程序 n. 节目；项目
belief	 n.  [C] 信条， 信念， 信仰； [U] 信任， 相信
delight	 n. 快乐，乐事 vt.  使高兴， 使快乐
immigration	 n.  移民
break	 v. 打破，弄坏；撕开 n.  间歇； 休息
chain store	 n.  连锁店
vest	 n.  背心， 内衣
change	 vt. 改变；更换；兑换 n.  零钱； 变化
suggestion	 n.  [C] 建议
fluency	 n.  流利， 流畅
draw	 v.   绘画； 拉， 吸引； 提取
systematic	 adj.  系统的， 有体系的
trolleybus	 n.  无轨电车
lantern	 n.  灯笼
cupboard	 n.  碗柜， 橱柜
off	 prep&adv.  离开， 走开
comfort	 v. 安慰，缓和 n.  安慰， 慰问
joke	 n.  笑话
knee	 n.  膝盖
punishment	 n.  惩罚， 处罚
hide	 v.   掩饰； 隐藏
troublesome	 adj.  令人烦恼的； 讨厌的
instruction	 n.  说明， 须知； 教导
report	 n&vt.  报道， 报告
oral	 adj.  口头的， 口述的
complete	 adj.  完成的， 完整的 vt. 完成；结束
compensate	 v.  补偿， 赔偿
fun	 n.  乐趣， 娱乐
constant	 adj.  经常的， 不断的
smog	 n.  烟雾
sob	 n&v.   抽泣， 呜咽地说
political	 adj.  政治的
while	 conj. 正当…的时候；然而 n.  一小会儿
anger	 n.  愤怒
second	 adj.  二等的 num. 第二 n. 秒
that	 determiner. 那，那个〔指已经提到或已经知道的人、事物、想法等〕 conjunction. 〔用于动词、名词或形容词后引导一个从句，表示某人所说或所想，或陈述一个事实或理由〕 adv. 那么〔大、多等〕〔尤指通过手势比画来表示大小、数量等〕
edge	 n.  边缘
download	 n&vt.  下载
split	 vt.   撕开， 切开
than	 conj.  比
limit	 vt.  限制， 限定； 减少
widespread	 adj.  分布广的
antique	 n.  古董
sow	 v.   播种
different	 adj.  不同的， 有差异的
fasten	 v.  扎牢， 扣住
porter	 n.   搬运工
level	 adj.  平坦的 n. 水平线，水平
dirt	 n.  污物， 脏物； 尘土
videophone	 n.  可视电话
preserve	 vt.  保护， 保存
plus	 prep.  加， 加上
relevant	 adj.  有关的
license	 n.  执照， 许可证
entry	 n.  进入； 入口
expand	 vi.  发展 vt. 扩张
dream	 n. 梦 v. 梦想，希望
noble	 adj.  高贵的， 贵族的
plug	 vt. 把…塞住；接通电源 n.  塞子， 插头
bunch	 n.  串， 束
spy	 v.  侦探， 刺探 n. 密探，间谍
postpone	 vt.  推迟， 延期
tense	 adj. 紧张的；拉紧的 n.  时态
bride	 n.  新娘
heat	 v.  加热 n. 热
behind	 adv.  在后面； 向后 prep. 在…后面
hammer	 v.  敲， 锤击 n. 锤子，锣锤
seal	 n.  海豹
recipe	 n.  食谱
ambassadress	 n.  大使夫人； 女大使
mental	 adj.  精神的， 脑力的
bow	 v&n.  鞠躬， 弯腰
storage	 n.  贮藏， 储存； 存放
racial	 adj.  种族的
switch	 v&n.  更换， 转换
total	 adj. 总数的；总括的；完全的 n. 合计 vt.  合计为
of	 prep.  …的
reserve	 n&vt.  保留， 储备； 预订
somehow	 adv.  以某种方式； 不知怎么地
brick	 n.  砖； 砖块
dive	 vi.  跳水
heap	 v.  堆起来 n. 堆
sympathy	 n.  同情
hear	 v.   听见， 听说， 得知
fight	 n&v.   打仗， 打架； 争论
roundabout	 adj. 绕道的；不直接的 n.  转盘路
rescue	 vt&n.  营救， 援救
facial	 adj.  面部用的
on	 adv.  继续 prep. 在…上；在…时候；在…地方；关于
zebra	 n.  斑马
brief	 adj.  简洁的
unfortunate	 adj.  不幸的， 倒霉的
recover	 vi. 痊愈 vt.  恢复； 重新获得
or	 conj.  或者； 还是， 否则
chance	 n.  机会； 可能性
determine	 v.  决定； 测定； 确定
nature	 n.  自然； 性质； 本性
social	 adj.  社会的； 社交的； 群居的
wheel	 n.  轮， 车轮； 方向盘
interesting	 adj.  有趣的
cross	 n. 十字形的东西；十字架 vt.  越过； 穿过
control	 vt&n.   控制
drill	 v. 钻；重复训练 n.  钻头；  训练
friction	 n.  摩擦； 摩擦力
clerk	 n.  书记员； 办事员； 职员
walnut	 n.  胡桃， 胡桃木
acknowledge	 vt.  答谢； 承认
equip	 vt.   装备； 训练
radiation	 n.  放射； 放射物； 放射疗法
quarrel	 n&vi.  争吵， 吵架
Christian	 adj.  基督教徒的 n. 基督教徒
pulse	 v.  搏动， 跳动 n. 脉搏；脉冲
maple	 n.  枫树
spiritual	 adj.  精神的； 心灵的
worthwhile	 adj.  值得做的
nation	 n.  民族， 国家
upper	 adj.  较高的， 较上的
splendid	 adj.  灿烂的， 辉煌的； 〈口语〉 极好的
adaptation	 n.  [U] 适应， 适合； [C] 改编本
behalf	 n.  利益； 代表
somewhere	 adv.  在某处， 到某处
scene	 n.   一场， 场景， 布景； 景色， 风景
injure	 vt.  损害， 伤害
freeze	 v.    结冰
eastward	 adv.  向东
geography	 n.  地理学
horrible	 adj.  令人恐惧的， 恐怖的
strengthen	 v.  加强， 增强
injury	 n.  损伤； 受伤处
diploma	 n.  毕业文凭， 学位证书
brand	 n.  商标， 牌子
suspension	 n.  暂停， 中止； 悬挂， 悬浮
choke	 n&v.  窒息
alcohol	 n.  酒精， 酒
pleasure	 n.  高兴， 愉快
old	 adj.  老的， 旧的
recreation	 n.  消遣， 娱乐
allowance	 n.  津贴， 补贴
interpreter	 n.  翻译员， 口译人员
hurricane	 n.  飓风， 狂风
portable	 adj.  轻便的， 便携的
then	 adv.  当时， 那时； 然后； 那么
ancient	 adj.  古代的， 古老的
accept	 v.  接受
glory	 n.  光荣， 荣誉
seat	 n. 座位，座 vt.  使就座； 可容纳
wander	 v.  游荡； 漫步； 流浪
adopt	 vt.  采用； 收养
oppose	 v.  反对
minus	 adj. 负的 prep.  减去
belly	 n.  肚子
conservative	 adj.  守旧的； 保守主义的； 谨慎的
access	 n. 通道；机会，权利 vt.  进入； 存取
conference	 n.   会议
primitive	 adj.  原始的， 远古的
activity	 n.  活动
dormitory	 n.  学生宿舍
overcome	 v.  战胜， 克服， 胜过
recite	 v.  背诵
seek	 v.   试图； 寻找， 寻求
seem	 v.  似乎， 好像
heel	 n.  脚后跟
variety	 n.  种种； 种类
disturb	 v.  打扰， 扰乱
adore	 vt.  爱慕， 崇拜
lecture	 n.  [C] 讲课， 演讲
civilian	 n.  平民， 老百姓
so	 adv. 也，同样〔用于表示刚说过的情况也适用于某人或某物〕 conjunction. 因此，所以 n. 全音阶的第五音
pump	 vt. 用泵抽水；抽 n.  抽水机， 泵
caution	 n.  小心， 谨慎
key	 n.  [C] 钥匙； 答案； 键； 关键
teenager	 n.  青少年， 十几岁的少年
dumpling	 n.  饺子
silent	 adj.  无声的， 沉默的
decision	 n.  决定； 决议
addicted	 adj.  入迷的， 上瘾的
necessary	 adj.  必需的， 必要的
one	 num&pron.  一个  ； 任何人
garage	 n.  汽车间， 汽车库
badminton	 n.  羽毛球
confirm	 vt.  确定； 批准
single	 adj.  单一的， 单个的
pull	 v. 拉，拖 n.  拉力， 引力
unconditional	 adj.  无条件的， 绝对的
gallon	 n.  加仑
appoint	 vt.  指定， 任命
assist	 v.  帮助， 协助
bun	 n.  馒头； 小甜面包
but	 conj. 但是，可是 prep.  除了， 除…外
symbol	 n.  符号， 象征
sincerely	 adv.  真诚地
commercial	 adj.  商业的， 贸易的
separate	 v.   分开，  分离 adj.  单独的， 分开的
declare	 v.  宣布， 声明； 申报
reasonable	 adj.  合理的， 有道理的； 通情达理的， 合乎情理的
dislike	 n&vt.  不喜欢， 嫌恶
willing	 adj.  情愿的， 乐意的
available	 adj.  有空的； 可得到的， 可用的
express	 vt. 表达；表示 n.  快车
advocate	 vt.  提倡； 鼓吹
amazing	 adj.  令人惊异的
luggage	 n.  〈总称〉 行李
drawback	 n.  缺点； 障碍
dynamic	 adj.  有活力的； 动力的， 动力学的
up	 adv. 从下往上地，向上地 v. 提高；增加
unusual	 adj.  不平常的， 异常的
extreme	 adj.  极端的， 偏激的
usual	 adj.  通常的， 平常的
sink	 v. 下沉；消沉；陷入 n.  洗涤槽， 污水槽
degree	 n.  程度； 度数； 文凭
astronomy	 n.  天文学
suppose	 vi.  料想 vt. 猜想，假定
brake	 v.  刹车 n. 闸
tube	 n.  管子
outspoken	 adj.  坦率的
especially	 adv.  特别， 尤其
once	 adv. 一次，一回 conjunction. 一…便，一旦，一经
failure	 n.  失败
quake	 n&vi.  震动
know	 v.  知道， 了解； 认识； 懂得
sing	 v.  唱， 唱歌
organise	 v.  组织
support	 vt&n.  支持， 赞助； 赡养
drop	 v. 掉下，落下 n.  滴； 下降
preview	 vt.  预演， 预习
questionnaire	 n.  调查表， 问卷
saucer	 n.  茶碟； 小圆盘
hire	 vt.  租用
breakthrough	 n.  突破
idea	 n.  主意， 意见； 打算， 想法
destination	 n.  目的地
apron	 n.  围裙； 台口
vertical	 adj.  垂直的， 直立的； 纵向的
monument	 n.  纪念碑， 纪念物
pure	 adj.  纯的， 不掺杂的
vivid	 adj.  生动的， 鲜明的
damp	 adj. 潮湿的 n. 潮湿；湿气 v. 使潮湿
throughout	 prep.  遍及， 贯穿
virtue	 n.  美德， 正直的品行
overweight	 adj.  过重的， 超重的
gay	 adj. 快活的，愉快的 n.   同性恋
successful	 adj.  成功的， 有成就的
lovely	 adj.  美好的， 可爱的
normal	 adj. 正常的 n.  正常， 常态， 普通
gradual	 adj.  逐渐的， 渐进的
figure	 v.  认为；  描绘 n. 数字；人物
socialist	 adj.  社会主义的 n. 社会主义者
airmail	 n.  〈总称〉航空邮件
slight	 adj.  轻微的， 细小的
corrupt	 adj. 腐败的，贪污的 v.  腐烂， 腐蚀
wide	 adj.  宽的， 宽阔的； 广泛的
previous	 adj.  在前的， 早先的
teach	 v.  教书； 教
socialism	 n.  社会主义
argue	 v.  争论； 说服
technology	 n.  技术， 科技
superior	 adj.  较高的， 上好的 n. 长者；上级
succeed	 vi. 成功 vt.  继承， 接替
choir	 n.  唱诗班
punctual	 adj.  准时的
advertise	 vt.  为…做广告
compromise	 v.  妥协， 折中
software	 n.  软件
seminar	 n.  研究会， 讨论发表会
reach	 v.  到达；  够到
react	 vi.  起反应， 起作用； 反抗
competition	 n.  比赛， 竞赛
none	 pron.  无任何东西或人
type	 vt.  打字， 用打字机打出
beyond	 prep.  超过；  在…的那边
practise	 v.  练习； 实习； 经常做； 养成…的习惯
review	 vt. 复习；重新调查 n.  复习； 复查； 评论
sight	 n.  情景， 风景； 视力
voluntary	 adj.  自愿的
asleep	 adj.  睡着的， 熟睡的
nobody	 pron. 没有人，谁也不 n.  小人物
guide	 v.  指导； 指引 n. 向导，导游
between	 prep.  在之间； 在…中间
surrounding	 adj. 周围的 n. 围绕；
goal	 n.  目标； 进球得分；  球门
collar	 n.  衣领
