abandon	 v. 离弃；放弃
ornament	 n. 装饰(物)
orthodox	 adj. 正(传)统的
oscillate	 v. 摆动，振动；踌躇，犹豫
ostensible	 adj. (指理由)表面的；假装的
ostentation	 n. 夸耀，卖弄
otherwise	 adv. 用其他方法；不同地 conj. 否则，不然
oust	 v. 驱赶，驱逐
outbreak	 n. (战争、愤怒等)爆发
outcast	 a&n. 被遗弃的；被遗弃者，被逐出者
outcome	 n. 结果，后果
outcry	 n. 公开反对
outdated	 adj. 过时的，不流行的
outdo	 v. 超过；胜过
outfit	 n. 装备，全部用品
outlaw	 n. 被剥夺公民权者 v. 禁止
partial	 adj. 不完全的；偏袒的
participate	 v. 参与，分享
particle	 n. 颗粒，微粒，[语]小品词
partisan	 n. 党派人士
partition	 n. 分开，分割
pass	 n&v. 穿过；经过
passion	 n. 激情
passive	 adj. 被动的
passport	 n. 护照，保障，手段
pastime	 n. 消遣，娱乐
pesticide	 n. 杀虫剂，农药
pester	 v. 烦扰，纠缠
petal	 n. 花瓣
petition	 n. 祈求，请求；请愿，请求书
petroleum	 n. 石油
petty	 adj. 小的；次要的
pharmaceutical	 adj. 制药的；药物的
pharmacy	 n. 制药，配药；药房；药店
phase	 n. 阶段；月的盈亏；方面;相位vt按计划进行
phenomenal	 adj. 非凡的，出众的，庞大的
phenomenon	 n. 现象；非凡的人；奇迹(pl-na)
phobia	 n. (病态的)恐惧，憎恶
phonetic	 adj. 语音的
physician	 n. 医生
physiological	 adj. 生理学的
physique	 n. 体格，体魄
pick	 n. 镐；挑选；选择 vt&vi. 挑选；采
porch	 n. 门廊，走廊
pore	 n. 毛孔 v. 钻研
porous	 adj. 多孔的，能渗透的
port	 n. 港口，舱门，舱口；(船、飞机)左舷
portable	 adj. 手提式的，便携式的
portfolio	 n. 公事包；文件夹；大臣及部长职位
portion	 n. 一部分，一份，一客
portray	 v. 描绘；描述
pose	 v&n. 摆姿势；提出；姿势
positive	 adj. 确定的；确信的，实际的；正的；阳性的
possession	 n. 所有，拥有；财产
postage	 n. 邮费，邮资
poster	 n. 招贴画，广告；广告画
posterity	 n. 后裔，子孙，后代
postgraduate	 adj. 大学毕业后的，研究院的 n. 研究生
posthumous	 adj. 遗腹的；父亡后出生的；死后的；身后的
postmortem	 n&a. ，验尸，尸体解剖；事后的，死后的
postpone	 v. 推迟；延缓
postscript	 n. 信件中附笔，附言
posture	 n. 姿势，姿态；态度
potent	 adj. 有力的，有效的
potential	 adj. 潜在的; adj. 可能的 n. 潜能；潜力
potion	 n. (药等的)一服；一剂
profit	 n. 利益；利润
profound	 adj. 深的，极深的；渊博的；深奥的
profuse	 adj. 极其丰富的；很多的；大量的
prohibit	 v. 禁止
project	 n. 方案，计划 v. 设计；投影；抛
prolific	 adj. 多产的，丰富的
prologue	 n. 序言；开端
prolong	 v. 延长，拖延
prominent	 adj. 突出的，显要的，著名的
promise	 n&v. 诺言；指望；前途
promising	 adj. 有希望的；有出息的
promote	 v. 开放；促进，宣传
prompt	 adj. 迅速的 v. 敦促
prone	 adj. 俯伏的；有倾向
propaganda	 n. 宣传；宣传方法
propagate	 vt&vi. 繁殖；增殖；传播，宣传
propel	 v. 推进
property	 n. 财产；房产；性质
prophecy	 n. 预言，预言能力
proportion	 n. 比率，比例；大小，容积
propose	 v. 提议；求婚
proposition	 n. 陈述，主张；报价
propriety	 n. 正当行为；正当；适当
quit	 v. 离开；停止
quiver	 vt&vi. 颤动，抖动
quota	 n. 配额，限额(进口及移民人数)
rack	 n. 行李架
racket	 n. 吵闹声；球拍
radar	 n. 雷达
radiate	 v. 发射，放射
radical	 adj. 根本的，基本的，政治激进的
radius	 n. 半径；以半径度量的面积
raft	 n. 木排，木筏
rage	 n&vi. 狂怒
ragged	 adj. 褴褛的，外形参差不齐的
raid	 v&n. 袭击
rail	 n. 栏杆；横杆
rally	 v&n. 集合
ramble	 v. 闲逛，漫步；漫谈；蔓延
rampant	 adj. (指植物)繁茂的；蔓生的；不能控制的
random	 n&a. 随便；无目的的，任意的
range	 vt&vi. 排列
ransom	 n. 赎金，赎救
rarely	 adv. 非常地，难得
ratio	 n. 比率
rational	 adj. 有推理能力的；合理的
remind	 v. 提醒
remittance	 n. 汇款(海外)，汇款额
remnant	 n. 残(剩)余
remorse	 n. 懊悔，悔恨
renaissance	 n. 文艺复兴；复兴，勃发
render	 v. 提供，报答；表演，演奏；翻译
rendezvous	 n. 约会；集会，聚会之地点
renovation	 n. 修理，恢复
renowned	 adj. 有名望的，声誉鹊起的
repel	 v. 击退；使厌恶
repatriate	 v. 遣返；返回
repent	 vi&vt. 悔悟，后悔
repertoire	 n. 全部剧目，全部节目
repetition	 n. 重复
represent	 v. 代表；声称
reproach	 vt&n. 责备，指责
reptile	 n. 爬行动物；爬虫
reputation	 n. 名誉，名声
request	 n&vt. 要求；请求
rescue	 vt&n. 援救；营救
resemblance	 n. 相似，类似
resemble	 v. 类似，像
rumour	 n&v. 传闻；谣传
rupture	 n&v. 破裂
rural	 adj. 农村的
rust	 n&v. 锈，生锈；荒废
ruthless	 adj. 残忍的，无情的
sabotage	 n. 故意毁坏，故意破坏，阴谋
sack	 n. 麻袋，解雇 v. 解雇；劫掠
sacred	 adj. 神圣的
sacrifice	 n&v. 献祭；牺牲
saddle	 n. 马鞍，鞍座；鞍状山脊
safeguard	 v. 保护；维护
sake	 n. 缘故；目的
saline	 adj. 含盐的；咸的
salute	 n. 行礼，敬礼；礼炮
salvage	 n. (从火灾及其他灾难中)抢救财物救助
sanction	 n. 批准，认可，赞许；制裁
sanitary	 adj. 清洁的，保健的，卫生的
sanity	 n. 心智健全，神智正常；判断正确
sarcasm	 n. 讽刺，挖苦，嘲笑
saturate	 v. 浸透，浸湿；使满，使饱和
sauce	 n. 调味汁，酱油；莽撞，冒失
savage	 adj. 未开化的；凶猛的
setting	 n. 镶嵌；环境，背景；(日月)沉落
settle	 v. 定居，停留；解决；支付
severe	 adj. 严重的；严厉的，剧烈的
sewer	 n. 下水道，阴沟
shabby	 adj. 破旧的，褴褛的，卑鄙的，不公平的
shaft	 n. 矛；矿井；车辕；轴；光线
shallow	 adj. 浅的；肤浅的
shamble	 v. 蹒跚，拖沓
shanty	 n. 小屋，棚屋；贫民区
shatter	 v. vi粉碎，毁损
smart	 adj. 漂亮的；聪明的；轻快的
smash	 vt&vi. 打碎；打破；击溃
smooth	 adj. 光滑的；平稳的 v. 使光滑；使平稳
smother	 v. 使窒息，使闷死；闷住；抑制；忍住
smuggle	 v. 走私，私运
snack	 n. 快餐，小吃
snap	 v. out v. of it从. 中迅速恢复过来；改变
snatch	 vt&vi. 抢夺，迅速获得
soak	 v. 浸，使浸透；淋湿
soar	 v. 鸟高飞，翱翔；[喻]高涨，猛增
sober	 adj. 严肃的，认真的，清醒的
sociable	 adj. 友好的，喜好交际的
sociology	 n. 社会学
soil	 v. 弄脏 n. 泥土
solar	 adj. 太阳的
sole	 n. 脚底 adj. 单独的；惟一的
solemn	 adj. 庄严的，严肃的，隆重的
solidarity	 n. 团结一致
solitary	 adj. 独居的，孤独的，惟一的；荒凉的
solo	 n. 独唱，独奏
standard	 n. 标准；旗帜
standing	 adj. 永存的，常务的 n. 持续，期间；地位
staple	 n. 主要产品；名产；纤维；主要成分，主食
starch	 n. 淀粉
startle	 v. 使大吃一惊
starve	 v. 挨饿
statesman	 n. 政治家，政客
static	 adj. 静止的，固定的 n. 静电干扰
stationary	 adj. 固定的，定置的；不变动的，不移动的
stationery	 n. 文具
statistics	 n. 统计，统计数字；统计学
statue	 n. 雕像
status	 n. 身份，地位
statute	 n. 法令，法规
steadfast	 "a. 坚定的, 不变的，不动摇的 "
steady	 adj. 稳定的，不变的
substantial	 adj. 坚固的，巨大的；富有的
substantiate	 v. 证实；证明
substitute	 n. 代替人，代用品 v. 代替
subtitle	 n. (书籍)副标题；译文字幕
subtle	 adj. 微妙的；难以捉摸的；精明的
subtract	 v. 减去，扣除
succession	 n. 连续；继续；一连串；继承权
succinct	 adj. 简明的，扼要的
succumb	 v. 屈服，屈从，死
suck	 n&v. 吸，舔
sue	 vt&vi. 控诉，控告；请求
sufficient	 adj. 足够的，充分的
suicide	 n. 自杀
suitcase	 n. 衣箱
suite	 n. 一套家具，一套房间，酒店套房
sulphur	 n. (化学)硫
summary	 n. 摘要，概要 adj. 概括的；即时的
summit	 n. 顶点，高峰；峰会(最高级会谈)
summon	 v. 召唤，传唤；鼓起，聚集
superb	 adj. 壮丽的，头等的
superficial	 adj. 表面的；表皮的；肤浅的，一知半解的
superfluous	 adj. 过剩的，多余的，不必要的
superintend	 vt&vi. 监督，指挥(工作)
talented	 adj. 有才能的，有才干的
tame	 adj. 驯服了的；(人)顺从的，听话的
tamper	 v. 干预，乱弄
tangible	 adj. 可触知的；明确的；确实的
tangle	 n&v. 缠结；混乱(交通)
tap	 n. 龙头；轻拍，轻敲 v. 轻拍，轻敲
tar	 n. 焦油，沥青
target	 n. 靶，标；批评对象；指标
tariff	 n. (酒店)价目表；关税税率
tarnish	 vt&vi. (尤指金属表面)失去光泽；玷污
taxation	 n. 税制，税项
tear	 n. 眼泪 vt&vi. 撕裂，撕碎；破坏安宁
tease	 v. 取笑，嘲笑；戏弄
tidy	 adj. 整洁的；有条理的
tighten	 vt&vi. (使)变紧，(使)绷紧，扣紧
tile	 n. 瓦，瓦片
tilt	 vt&vi. (使)倾斜 n. 倾斜，斜坡
timber	 n. 木材，木料；树木，树林
time	 n. 时间
timely	 adj. 及时的；适时的
timidity	 n. 胆怯
tinge	 v. (较淡)着色于，染色；使带有气息
trifle	 n. 小事，无价值的东西；少量的钱
trigger	 n. (枪)扳机 v. 引起，激发
trim	 adj. 整洁的，整齐的
triple	 adj. 三部分合成的，三方的 vt&vi. 增至三倍
triumph	 n. 凯旋；成功
trivial	 adj. 琐碎的，不重要的；平常的，平凡的
tropic	 n. 回归线
troupe	 n. 剧团，戏班
truant	 n. 旷课者；逃学者
truce	 n. 休战
trumpet	 n. 喇叭(声)
trunk	 n. 树干；人躯干；大衣箱
trustworthy	 adj. 可信赖的，可靠的
tube	 n. 管；(伦敦)地下铁道
tuck	 n. 缝 v. 打褶裥
tug	 vt&vi. 用力拉，猛拉，拖拉
tuition	 n. 教学，学费
tumble	 vt&vi. 跌倒，跌落；摇摇欲坠；使倾覆
tumour	 n. 肿瘤
tumult	 n. 喧哗；激动，混乱；吵闹
tune	 n. 曲调，旋律；协调，调动
vanish	 v. 消失
vanity	 n. 自大，虚荣；无价值，空虚
vanquish	 v. 征服，击败
variable	 adj. 可变的，变化的 n. 可变物，变量
variant	 adj. 不同的，变异的 n. 变体，异体
variation	 n. 变化，改变；变量；变异
varied	 adj. 各种各样的
variety	 n. 多样化；种；变种；综艺演出
vary	 vt&vi. 变化
vegetarian	 n. 素食者
vegetation	 n. 植被
vehement	 adj. 感情强烈的；热烈的；(人)有强烈感情的
vehicle	 n. 车辆交通工具；思想媒介
veil	 n. 面纱；掩饰物
vein	 n. 静脉，叶脉；(石头)纹理；矿脉
velocity	 n. 速度，速率
venerate	 v. 崇敬，崇拜
vengeance	 n. 报仇
vent	 n&vt. 出口；发泄
ventilate	 v. 使空气流通；通风
venture	 n. 冒险，冒险事业
verbal	 adj. 言语的，字句的；口头的
verdict	 "n. (陪审团)裁决, 定论；意见 "
whereby	 adv. 凭什么，靠那个，借以
whilst	 conj. =while 当. 时候
whip	 n. 鞭子；政党的组织秘书 v. 鞭笞；抽打
whirl	 vt&vi. 使旋转；眩晕
whistle	 n. 口哨声；哨子 v. 吹哨汽笛
wholesale	 n. 批发
wholesome	 adj. 健康的，有益于健康的
wicked	 adj. 坏的；邪恶的
width	 n. 宽阔，宽度
wield	 v. 使用，行使
wilderness	 n. 荒地, 废墟 "
wisdom	 n. 智慧，才智；明智的思想言论
wit	 n. 智力，才智
withdraw	 vt&vi. 收回，取回；撤回；撤退
wither	 vt&vi. 使枯萎,使凋谢；使人感觉羞愧或迷惑 "
withhold	 v. 制止，扣留，不给予
withstand	 v. 抵抗，反抗
witness	 n. 目击者；证人；证明
wording	 n. 措辞
worship	 n. 礼拜；崇拜
worthwhile	 adj. 值得(花时间、精力)的；合算的
wrap	 vt&vi. 包裹
adequate	 adj. 充分的；可胜任的
adhere	 v. 粘着；忠于；坚持
adjacent	 adj. 邻接的，邻近的
adjoin	 v. 贴近，与毗连
adjust	 v. 校准，调整
administer	 v. 管理，支配；给予
administration	 n. 管理，经营；行政
admission	 n. 准入，接纳，承认
adolescence	 n. 青春，青春期
adopt	 v. 收养；采用
adore	 v. 崇拜；非常喜爱
advent	 n. 降临，出现
adverse	 adj. 不利的；劣的
advertise	 v. 做广告
advocate	 n. 辩护人；倡导者 v. 提倡，支持
aerial	 adj. 空气的；空中的 (无线电)天线
aesthetic	 adj. 美学的；艺术的
affect	 v. 影响
affection	 n. 友好；爱情
affiliate	 v. 使加入，接受为分支机构
ambassador	 rn. 大使；授权代表
ambiguous	 adj. 有歧义的；暧昧的
ambiguity	 n. 模棱两可；多义词句
ambition	 n. 雄心，抱负
ambitious	 adj. 有抱负的
ambulance	 n. 救护车
amend	 v. 改进，修正
amends	 n. (pl)赔偿，道歉
amid	 prep. 在当中
amidst	 prep. =amid 在. 当中
ammunition	 n. 弹药
amount	 vi&n. 等于；总数；数量
amphibian	 n. 两栖动物；水陆两用飞机和车辆
ample	 adj. 宽敞的，丰富的
amplify	 v. 详述；引申；增强
amuse	 v. 使娱逗，逗…笑
analogy	 n. 类推，类似
analytical	 adj. 分析的；分解的
ancestor	 n. 祖先
anchor	 n&v. 锚；危难时可依靠的人或物；用锚泊船
anecdote	 n. 轶事，趣闻
articulate	 a&v. 发音清晰的；说话表达力强
artificial	 adj. 人工的；娇揉造作的
ascend	 v. 登(山等)；上升
ascent	 n. 上升，上坡
ascertain	 v. 查明，探查
ascribe	 v. 归因于，把归于
ashamed	 adj. 羞愧的；害臊的
aspiration	 n. 渴望；抱负
aspire	 v. 渴望
assassination	 n. 暗杀
assault	 n&vt. 袭击
assemble	 v. 聚集；装配
assert	 v. 宣称；维护
assess	 v. 估值，评价
asset	 n. 财产，资产
carpenter	 n. 木工，木匠
carrier	 n. 运货人；带菌者；运输军队的交通工具
carrot	 n. 胡萝卜
carry	 v. 传送，运送；带有；支持；赞同
cart	 n. 马车 v. 用车运送，携带
carton	 n. 纸板箱，塑料箱
cartoon	 n. 漫画，动画片
carve	 v. 雕刻；切(熟肉等)
cash	 n. 现金，钱款 v. 兑现，兑付
cashier	 n. 出纳员
cassette	 n. 磁带盒；照相软片盒
cast	 n&v. 投，掷，抛；铸造；扮演角色
chop	 n&v. 砍，劈；剁
chord	 n. 弦，和弦
chore	 n. 日常工作；琐碎烦人的杂务
chorus	 n&vt. 合唱；齐声说
Christian	 a&n. 基督教的；基督教徒
chronic	 adj. (疾病)慢性的
chronological	 adj. 按时间顺序的
chunk	 n. 厚块
circuit	 n. 周游；电路；协会
circulate	 v. 循环，流通
circumference	 n. 圆周，圆周长度
circumstance	 n. 情况，形势；环境；事件
circus	 n. 马戏表演；广场
cite	 v. 引用，传讯；举例
civic	 adj. 城市的；市民的
civilian	 n&a. 平民，民用的，民间的
claim	 n. 要求；款项；要求权；要求之物 v. 宣称
clamp	 n&v. 螺丝钳，用钳夹；取缔
clan	 n. 氏族，部落；宗派
clarify	 v. 澄清，使液体清洁
clarity	 n. 清澈，明晰
comedy	 n. 喜剧；一出喜剧，喜剧性事件
comet	 n. 慧星
comic	 adj. 喜剧的，滑稽的n连环漫画杂志；喜剧演员
commemorate	 v. 纪念
commence	 v. 开始
commend	 v. 委托保管；称赞
comment	 n&v. 评论；批评
commentary	 n. 集注；评论
commercial	 adj. 商业的，贸易的 n. 电视电台广告
commission	 n. 委任；佣金；军事任职；考察团 v. 委任
commit	 v. 犯(罪);干(坏事)；把交托给
commitment	 n. 所承诺之事
committee	 n. 委员会
commodity	 n. 日用品，商品
commonplace	 adj. 普通的，平凡的
commonwealth	 n. 全体国民；联邦
confuse	 v. 使混乱，弄错
confusion	 n. 混乱，混同
congestion	 n. 拥挤，混杂
congress	 n. 代表会议，(C-)(美国等)议会
congruent	 adj. 适合的，一致的，全等的
conjunction	 n. 连词；联合；连接
conquer	 v. 征服；攻克
conquest	 n. 征服，征服地，掠取物
conscience	 n. 良心，犯罪感
conscientious	 adj. 认真的，诚心诚意的
conscious	 adj. 清醒的；故意的
consecutive	 adj. 连续的，连贯的
consensus	 n. 一致，合意
consent	 vi&n. 同意，允许
consequence	 n. 结果，后果；重要性
consequent	 adj. 随之发生的
conservation	 n. 保存，保护
conservative	 adj. 守旧的，保守的 n. 保守主义，保守党人
conservatory	 n. 温室；公立艺术学校
conserve	 v. 保存，保藏 n. 果酱，蜜饯
corresponding	 adj. 一致的，相同的，相应的
corrode	 v. 腐蚀，侵蚀
corrupt	 adj. 腐败的，贪污的 v. (使)腐败，贿赂
cosmic	 adj. 宇宙的
cosmopolitan	 adj. 全世界的，世界主义的
costume	 n. 服装式样；戏服
cosy	 adj. 温暖而舒适的，安逸的
couch	 n. 长沙发 v. 表达
council	 n. 政务会，理事会；委员会
counsel	 n. 劝告；评议；忠告；律师
counter	 n. 柜台 v. 反对，反击
counterbalance	 n. 平衡，平衡力 v. 使平衡，抵销
counterfeit	 adj. 伪造的 n. 伪造 v. 伪造，仿造
counterpart	 n. 对应的物或人
coupon	 n. 证明持券人有某种权利的卡片，票证，赠券
courier	 n. (旅行)服务员；信使；送急件的人
courtesy	 n. 礼貌，谦恭
coverage	 n. 承保险别；新闻报道(范围)；保证金
coward	 n. 胆怯者，懦夫
crack	 n. 裂缝，破裂声；v使破裂；噼啪作响；解开
cradle	 n. 摇篮，策源地；支船架vt把放在摇篮里
cutting	 n. 开凿出来的公路，铁路；剪报 adj. 锋利的
cylinder	 n. 圆桶，汽缸
cynical	 adj. 愤世嫉俗的
dairy	 n. 牛奶及乳品店，牛奶场
dam	 n&vt. 水坝，筑坝，抑制，阻拦
damp	 n&a&v. 潮湿(的)，湿气，使潮湿
dart	 n. 标，镖 v. 投掷 v. 急冲
dash	 n&v. 撞击；冲，短跑；破折号；闯劲
database	 n. 数据库
date	 n&v. 日期；约会
dawn	 n&v. 黎明；开始；发生
day	 n. 白天，一天
dazzle	 v. 眩目，耀眼
deadlock	 n. 僵局，僵局
deadly	 adj. 致命的，殊死的 adv. 死一般地，非常
deaf	 adj. 聋的；不愿听的
depart	 v. 离开，启程
depict	 v. 描写，描绘
deplete	 v. 耗尽，用尽
depletion	 n. 取尽，用尽
deplore	 "vt. 哀悼, 非难"
deposit	 n&vt. 存款；定金；沉淀，沉积
depress	 v. 降低，使沮丧；使萧条
depression	 n. 沮丧 消沉 凹陷 萧条时期
deprive	 v. 剥夺，使丧失
deputy	 n. 代表，代理人
derelict	 adj. 被抛弃的
derive	 v. 得到，起源于
descend	 v. 下降；下来；遗传；袭击
descent	 n. 下降；斜坡；血流
description	 n. 描写，描绘，叙述
desert	 n&a. 沙漠 n. 无人居住的 v. 丢弃 n. 离开
deserve	 v. 应得，应受
design	 n&v. 设计，构思；设计制图术
designate	 v. 把定名为，指派，标出
discard	 v. 抛弃，遗弃
discern	 v. 看出，辨出
discharge	 v&n. 卸货；排出(液体，气体)；释放
discipline	 n&vt. 训练，纪律，戒律，惩罚
disclose	 v. 透露，泄露
discord	 n. 不和，争吵，(声音)不和谐
discount	 n. 折扣 v. 不全信，低估，漠视
discreet	 adj. 谨慎的，思虑两全的
discrete	 adj. 分离的，不相关联的
discrepancy	 n. 不一致，差异，不符
discriminate	 v. 区别，区分；岐视
disdain	 vt&n. 蔑视, 轻视 "
disguise	 vt/n. 假扮；隐蔽；掩饰
disgust	 n&vt. 厌恶，讨厌
dismay	 n&vt. 灰心丧气；惊愕
dismiss	 v. 解散；解雇；不考虑；消除
disorder	 n&vt. 混乱，骚动，(身心)失调
dispatch	 v&n. 派遣，发送，迅速办理，急件
dispel	 v. 驱逐，消除
disperse	 v. (使)散开，使疏开，使分散
displace	 v. 转移，取代
display	 vt&n. 展览，陈列
dispose	 v. 处理，处置，除去
dull	 adj. 阴暗的，迟钝的，沉闷的，钝的 v. 变钝
duly	 adv. 按时地，适当地
dumb	 adj. 哑的；暂不说话的；愚笨的
dump	 v. 倒垃圾，倾销 n. 堆垃圾的地方
duplicate	 adj. 完全一样的，复制的 n. 复制品 v. 复写
durable	 adj. 耐用的 n. 耐用品
dwarf	 n. 矮子，矮小的动植物 v. 使矮小
dwell	 v. 居住；详述
dwindle	 "vi. 缩小, 减小"
dynamic	 adj. 精力充沛的；动力的 n. (pl)力学，动力学
earnest	 adj. 认真的，坚决的
ease	 v&n. 减轻，放松，小心移置；舒适
Easter	 n. 复活节
eccentric	 n&a. 古怪(的)，偏执(的)，不同心(的)
echo	 n&v. 回声，反响
eclipse	 n&v. [天](日，月)蚀
ecology	 n. 生态学
economic	 adj. 经济的；经济学的，便宜的
economical	 adj. 节约的
economics	 n. 经济学
economy	 n. 经济；节约
eddy	 n&v. 漩涡
edge	 n. 加；边界 v. 给加上边，徐徐移动
enormous	 adj. 巨大的，庞大的
enquire	 v. 询问，打听
enquiry	 n. 询问，打听
enrich	 v. 使丰富，加料于，增进
enroll	 v. 招收，入伍，入学
enrolment	 n. 登记，入学
ensemble	 n. 全体；演唱组
ensue	 v. 跟着发生；结果是
entail	 v. 使必需
entangle	 v. 缠住，套住
enterprise	 n. 艰巨的事业；事业心，企业
entertainment	 n. 娱乐，招待，表演
enthusiasm	 n. 娱乐，招待，表演
enthusiastic	 adj. 热情的，热心的
entitle	 v. 给(书)题名；给予权利
entity	 n. 实体；存在
entreat	 v. 恳求，央求
entrepreneur	 n. [法]企业家, 演出承包人 "
entry	 n. 进入，入口；条目，词条
environment	 n. 环境
envisage	 v. 想象；期望；设想
envy	 n&vt. 忌妒，妒忌的对象；羡慕
enzyme	 n. 酶
exile	 n&vt. 流放，离乡背井
exorbitant	 adj. 要价过高的，过分的
exotic	 adj. 外国种的；奇异的
expand	 v. 使扩大，展开，膨胀
expedient	 adj. 有用的，有利的 n. 紧急的办法，权宜之计
expedition	 n. 远征，探险(队)，考察(队)
expel	 v. 驱逐，开除；排出
expend	 v. 消费，用尽
expenditure	 n. 支出，花费，消费量
expertise	 n. 专门知识，专门技能
expire	 v. 满期，到期
explicit	 adj. 清楚的，明确的
explode	 v. (使)爆炸，爆发
exploit	 n. 英雄行为，辉煌功绩 v. 开拓，开采，剥削
explore	 v. 勘察，考查；探索
explosive	 n&a. 爆炸(的)，爆发性(的)
export	 v. 输出，出口 n. 出口，出口企业，出口品
expose	 v. 揭发, 使暴露，使曝光"
exposition	 n. 阐述，讲解；展览会
expulsion	 n. 驱逐; 开除
exquisite	 adj. 优美的，精巧的
extend	 v. 伸出，延长；给予；扩大
extent	 n. 广度，长度，程度
feasible	 adj. 可行的，可信的
feast	 n&v. 筵席，宴请，使享受
feat	 n. 技艺，功绩，武艺
feature	 n&vt. 脸一部分，面貌，特征，特写，故事片
federation	 n. 联邦, 联盟, 同盟 "
fee	 n. 费，报名费，会费
feeble	 adj. 虚弱的，无力的
feedback	 n. 反应，用户反应
feel	 v&n. 感觉，摸，感知；同情
fellowship	 n. 交情；团体；奖学金
female	 n&a. 女性(的)，[语]阴性(的)
fend	 v. 抵挡
ferocious	 adj. 凶猛的，凶残的
ferry	 n&v. 渡船；渡口，摆渡
fertile	 adj. 肥沃的，创造力丰富的，能结果实的
fervent	 adj. 热烈的；热情的
fester	 v. 脓疮，(怨恨等)郁积，恶化
festival	 n&a. 节日(的)，表演会期(的)
fetch	 v. (去)取，拿来；(货物)售的(价钱)
fortify	 v. 设防于；增强
fortnight	 n. 两星期
forum	 n. 论坛
fossil	 n. 化石
foster	 v. 养育，领养
foul	 adj. 恶臭的；邪恶的；暴风雨的n犯规v弄脏
fountain	 n. 泉水，喷泉；源泉
fraction	 n. 小部分；片断；分数
fracture	 n. 碎片，片断；分数
fragile	 adj. 脆的；易断的
fragment	 n. 碎片，片断 v. 裂成碎片
fragrance	 n. 香味，香气
frail	 adj. 脆弱的；脆弱的
framework	 n. 构架，框架
frantic	 adj. 激动得发狂似的；狂暴的
fraud	 n. 诈骗，骗子
fraught	 adj. 充满的；伴随的
freak	 n. 怪诞的思想、行动或事件；畸形的
freight	 n. 运货，货物 v. 运输
fret	 v&n. 烦恼，侵蚀
friction	 n. 摩擦，不和，倾轧
fridge	 n. 冰箱
fringe	 n. 缘饰，毛边，边缘，刘海 v. 装上缘饰
ghastly	 adj. 苍白的；可怕的；令人不快的
gigantic	 adj. 巨大的；庞大的
giggle	 v&n. 咯咯地笑，傻笑
gist	 n. 要领
give	 v. 给，付给，允许，供给，传达
given	 adj. 假设的；约定的；同意的
glacier	 n. 冰河，冰川
glamour	 n. 魔力，魅力 v. 迷住
gland	 n. 腺
grease	 n. 动物脂肪；油脂状物 v. 涂油脂于
greedy	 adj. 贪吃的；贪婪的
grid	 n. 高压输电线路网；地图坐标方格；格栅
grief	 n. 悲伤，悲痛
grieve	 v. (使)悲痛，(使)伤心
grill	 n. (烤肉用的)烤架
grim	 adj. 严格的，严厉的
grin	 n&vi. 露齿而笑，咧嘴一笑
grind	 v&n. 磨碎，折磨，压榨，磨光；苦差使
grip	 v&n. 紧握，抓紧，握力；柄
grit	 n. 粗砂；刚毅，勇气 v. 铺沙砾于
groa	 n v&n. 呻吟，呻吟着表示;承受重压发出的声音
grope	 v. 暗中摸索
gross	 adj. 粗俗的；过胖的；总的；毛的 v. 计得
growl	 v&n. 嗥叫；轰鸣；咆哮着说
grudge	 v. 吝惜，不愿给 n. 恶意，怨恨，忌妒
grumble	 vi&n. 埋怨，咕哝，发牢骚
guarantee	 n&vt. 保证; 担保，保证人，担保物
guardian	 n. 监护人; 保护人
guideline	 n. (常作pl)
guild	 n. 行会；同业公会
gush	 n. 迸发 v. 涌出，滔滔不绝地说
gust	 n. 阵风，(感情的)迸发
hereditary	 adj. 遗传的; 世袭的
heritage	 n. 传统，遗产
hierarchy	 n. 等级制度
highlight	 n. 光线最强处，最突出部分
hijack	 v. 劫持，劫机，拦路抢劫
hike	 v&n. 徒步旅行；增加；抬起
hilarious	 adj. 狂欢的，热闹的
hinder	 v. 阻碍，阻止
hinge	 "n. 合页，铰链，关键 v. 给安铰链,随而定 n. "
hint	 n&v. 暗示，提示
historian	 n. 历史学家
historic	 adj. 有历史意义的
hit	 n. 打击，巨大的成功 v. 打，打击，打倒
hitchhike	 v. 免费搭乘他人便车
hitherto	 adv. 到目前为止，迄今
hobby	 n. 业余爱好
hoist	 v. 升起，扯起，向上推 n. 起重机，升降机
hold	 n&v. 握，抓；支持；装得下；认为；举行
implicit	 adj. 含蓄的，暗示的，无保留的
impose	 v. 把…强加于；征(税)，利用
imposing	 adj. 壮观的，气势雄伟的
impressive	 adj. 给人深刻印象的，惊人的
impromptu	 a&ad. 无准备的(地)；即兴的(地)
improvise	 v. 即席创作，临时凑成
impulse	 n. 推动，冲力，冲动
inapt	 adj. 不适当的，不合适的
inaugurate	 v. 为举行就职典礼，为展览会揭幕，开创
incentive	 n. 鼓励，激励，动机
incidence	 n. 发生率，影响的方式
incidentally	 adv. 偶然地，顺便地
incipient	 adj. 开始的；早期的
incite	 v. 激励；煽动
inclination	 n. 倾向，意愿
incline	 v. 低头，屈身，倾斜，倾向于 n. 斜坡，斜面
inclusive	 adj. 包括的，包含的
incongruous	 adj. 不适宜的
incorporate	 v. 结合，合并，组成公司
incredible	 adj. 难以置信的，惊人的
increment	 n. 增值，增额
incur	 v. 招致; 遭受
indefinite	 adj. 模糊的，不明确的，无定限的
intellectual	 n. 知识分子 adj. 智力的，理智的，有理解力的
intelligible	 adj. 可理解的，明白的
