reproduce	 v. 复制；再生；生殖；使…在脑海中重现
ski	 n. 滑雪橇 v. 滑雪 adj. 滑雪（用）的
intermingle	 v. 使混合；使搀和
inventory	 n. 存货，存货清单；详细目录；财产清册
intensive	 adj. 加强的；集中的；透彻的；加强语气的 n. 加强器
cracker	 n. 爆竹；饼干；胡桃钳；解密高手
dismantle	 v. 拆除；取消；解散；除掉…的覆盖物
rampage	 n. 暴怒；暴跳；乱闹 v. 狂暴；乱闹；发怒
incomprehensible	 adj. 费解的；不可思议的；无限的
profession	 n. 职业，专业；声明，宣布，表白
lastly	 adv. 最后，终于
taunt	 n. 嘲弄；讥讽 v. 奚落；逗弄 adj. 很高的
truthful	 adj. 真实的；诚实的
astronomer	 n. 天文学家
paddy	 n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
ensemble	 n. 全体；总效果；全套服装；全套家具；合奏组 adv. 同时
bankrupt	 adj. 破产的 v. 使破产 n. [经] 破产者
upstairs	 adv. 在楼上，向楼上；上楼；往楼上 adj. 楼上的 n. 楼上
serviceman	 n. 军人；维修人员
splinter	 n. 碎片；微小的东西；极瘦的人 v. 分裂；裂成碎片
schedule	 v. 安排，计划；编制目录；将……列入计划表 n. 时间表；计划表；一览表
tattooist	 n. 文身的人
outdoors	 adv. 在户外 n. 户外 adj. 户外的（等于outdoor）
swerve	 v. 转弯；突然转向；背离 n. 转向；偏离的程度
espouse	 v. 支持；嫁娶；赞成；信奉
swoop	 v. 猛扑；突然袭击；突然下降；飞扑 n. 猛扑；俯冲；突然袭击
fauna	 n. 动物群；[动] 动物区系
disjunctive	 adj. 分隔的；分离的 n. 反意连接词
employment	 n. 使用；职业；雇用
emotion	 n. 情感；情绪
description	 n. 描述，描写；类型；说明书
sensational	 adj. 轰动的；耸人听闻的；非常好的；使人感动的
slimy	 adj. 黏滑的；泥泞的；谄媚的，虚伪的
snooker	 n. 斯诺克台球 v. 阻挠
quitter	 n. 轻易放弃的人；懒人
reunion	 n. 重聚；（班级或学校的）同学会，同窗会
livelihood	 n. 生计，生活；营生
mug	 n. 杯子；脸；苦读者 v. 扮鬼脸，做怪相
rickets	 n. [内科] 佝偻病
ankle	 n. 踝关节，踝
deduct	 v. 扣除，减去；演绎
fetus	 n. 胎儿，胎
yummy	 adj. 好吃的；美味的；愉快的 n. 美味的东西；令人喜爱的东西
socialist	 n. 社会主义者；社会党党员 adj. 社会主义的
holiness	 n. 神圣；圣座（大写，对教宗等的尊称）
axis	 n. 轴；轴线；轴心国
wheat	 n. 小麦；小麦色
silence	 n. 沉默；寂静；缄默；不谈；无声状态 v. 使沉默；使安静；压制；消除噪音 int. 安静！；别作声！
gusto	 n. 爱好；由衷的高兴；嗜好
rooster	 n. 公鸡；狂妄自负的人
anagram	 n. 相同字母异序词，易位构词，变位词
malaria	 n. [内科] 疟疾；瘴气
fell	 adj. 凶猛的；毁灭性的 v. 砍伐；打倒；击倒 n. [林] 一季所伐的木材；折缝；兽皮
undo	 v. 取消；解开；破坏；扰乱
subtraction	 n. [数] 减法；减少；差集
canter	 n. 慢跑；流浪汉 v. 慢跑
graceful	 adj. 优雅的；优美的
voluble	 adj. 健谈的；缠绕的；易旋转的
cursed	 adj. 被诅咒的 v. 诅咒（curse的过去分词）
spacecraft	 n. [航] 宇宙飞船，航天器
infrastructure	 n. 基础设施；公共建设；下部构造
hedonist	 n. 快乐主义者；享乐主义者 adj. 享乐主义者的
leisure	 n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
dockyard	 n. [船] 造船厂；海军工厂
stranger	 n. 陌生人；外地人；局外人
steward	 n. 管家；乘务员；膳务员；工会管事 vi. 当服务员；当管事 vt. 管理
spout	 n. 喷口；水龙卷；水落管；水柱 v. 喷出；喷射；滔滔不绝地讲；把…典当掉
hiding	 n. 隐匿；躲藏处；殴打
illusion	 n. 幻觉，错觉；错误的观念或信仰
fine	 adj. 好的；优良的；细小的，精美的；健康的；晴朗的 n. 罚款 v. 罚款；澄清 adv. 很好地；精巧地
malnutrition	 n. 营养失调，营养不良
ninth	 num. 第九 adj. 第九的；九分之一的 n. 九分之一
hairpin	 n. 簪；束发夹；夹发针
insatiable	 adj. 贪得无厌的；不知足的
curable	 adj. 可治愈的；可医治的；可矫正的
slap	 v. 拍击；侮辱；掌击；掴…的耳光 n. 掴；侮辱；掌击；拍打声 adv. 直接地；猛然地；恰好
Messiah	 n. 弥赛亚（犹太人所期待的救世主）；救星，解放者
brown	 adj. 棕色的，褐色的；太阳晒黑的 v. 变成褐色 n. 褐色，棕色
slanderous	 adj. 诽谤的；诽谤性的；中伤的
silhouette	 n. 轮廓，剪影 v. 使…照出影子来；使…仅仅显出轮廓
tar	 n. 焦油；柏油；水手 v. 涂以焦油；玷污
heinous	 adj. 可憎的；极凶恶的
coin	 v. 铸造（货币）；杜撰，创造 n. 硬币，钱币
tax	 v. 向…课税；使负重担 n. 税金；重负
straw	 n. 稻草；吸管；一文不值的东西 adj. 稻草的；无价值的
underline	 v. 强调；在…下面划线；预告 n. 下划线；下期节目预告
diddle	 v. 骗取；欺骗；浪费
balloon	 v. 激增；膨胀如气球 n. 气球 adj. 像气球般鼓起的
prefix	 n. 前缀 v. 加前缀；将某事物加在前面
eminent	 adj. 杰出的；有名的；明显的
resistance	 n. 阻力；电阻；抵抗；反抗；抵抗力
criticize	 v. 批评；评论；非难
those	 adj. 那些的 pron. 那些（that的复数）
eyesight	 n. 视力；目力
variant	 adj. 不同的；多样的 n. 变体；转化
attentive	 adj. 留意的，注意的
accompanist	 n. 伴奏者；伴随者
reversal	 n. 逆转；[摄] 反转；[法] 撤销
humanly	 adv. 以人力；像人地；在人力所能及的范围
metre	 n. 米；公尺；韵律
nymph	 n. 女神；居于山林水泽的仙女；美丽的少女；蛹
folklore	 n. 民俗学；民间传说；民间风俗
repetitive	 adj. 重复的
wobble	 v. 摇晃；摇摆；游移不定 n. 摆动；摇晃；不稳定
broadcast	 v. 播送，播放；（无线电或电视）广播；播撒（种子） n. 广播；播音；广播节目 adj. 广播的
erect	 v. 使竖立；建造；安装 adj. 竖立的；笔直的；因性刺激而勃起的
christen	 v. 为…命名；为…施洗礼 n. (Christen)人名；(法、德、西、丹、挪)克里斯滕；(英)克里森
elastic	 adj. 有弹性的；灵活的；易伸缩的 n. 松紧带；橡皮圈
excitement	 n. 兴奋；刺激；令人兴奋的事物
electricity	 n. 电力；电流；强烈的紧张情绪
hungry	 adj. 饥饿的；渴望的；荒年的；不毛的
takeover	 n. 接管；验收
blouse	 n. 宽松的上衣；女装衬衫 vt. 使…宽松下垂 vi. 宽松下垂
contest	 v. 争辩；质疑 n. 竞赛；争夺；争论
quail	 v. 畏缩，胆怯；感到恐惧 n. 鹌鹑
assert	 v. 维护，坚持；断言；主张；声称
icing	 n. 结冰；糖衣；酥皮 v. 冰冻（ice的ing形式）
suffocate	 v. 受阻，受扼制；窒息
grit	 v. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关 n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
weekly	 adj. 每周的；周刊的；一周一次的 n. 周刊 adv. 每周一次；逐周
tally	 n. 计数器；标签；记账 v. 使符合；计算；记录
deify	 v. 把…奉若神明；把…神化；崇拜
suffer	 v. 遭受；忍受；经历 n. (Suffer)人名；(意)苏费尔
repertoire	 n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
skyrocket	 n. 流星烟火；冲天火箭 v. 飞涨，突然高升
episode	 n. 插曲；一段情节；插话；有趣的事件
unkind	 adj. 无情的；不仁慈的，不厚道的
decent	 adj. 正派的；得体的；相当好的
insurgent	 adj. 叛乱的；起义的 n. 叛乱者；起义者
ambitious	 adj. 野心勃勃的；有雄心的；热望的；炫耀的
nail	 v. 钉；使固定；揭露 n. [解剖] 指甲；钉子
recitation	 n. 背诵；朗诵；详述；背诵的诗
withdrawal	 n. 撤退，收回；提款；取消；退股
irony	 n. 讽刺；反语；具有讽刺意味的事 adj. 铁的；似铁的
table	 n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
overdraft	 n. [金融] 透支；[金融] 透支额 vt. [金融] 透支
pistol	 n. 手枪；信号枪 vt. 用手枪射击
hey	 int. 喂！（引起注意等）；你好！（表示问候） n. 干草（等于hay）
deficit	 n. 赤字；不足额
settler	 n. 移居者；殖民者
predecessor	 n. 前任，前辈
flabby	 adj. 松弛的；软弱的；没气力的；优柔寡断的
convincing	 adj. 令人信服的；有说服力的 v. 使相信；使明白（convince的现在分词）
ballot	 n. 投票；投票用纸；投票总数 v. 投票；抽签决定
malicious	 adj. 恶意的；恶毒的；蓄意的；怀恨的
bombshell	 n. 炸弹；突发事件；引起震惊的人或事
cheque	 n. 支票
ginger	 n. 姜；姜黄色；精力；有姜味 v. 用姜给…调味；使某人有活力 adj. 姜黄色的
calendar	 n. 日历；[天] 历法；日程表 v. 将…列入表中；将…排入日程表
intermediary	 adj. 中间的；媒介的；中途的 n. 中间人；仲裁者；调解者；媒介物
diplomacy	 n. 外交；外交手腕；交际手段
unconcern	 n. 不关心；不感兴趣；冷淡
tone	 n. 语气；色调；音调；音色 v. 增强；用某种调子说
underdone	 adj. 半生不熟的；未煮透的 v. 不尽全力做；使…不煮透（underdo的过去分词）
bare	 adj. 空的；赤裸的，无遮蔽的 v. 露出，使赤裸 n. (Bare)人名；(英)贝尔
alchemy	 n. 点金术；魔力
percentage	 n. 百分比；百分率，百分数
type	 n. 类型，品种；模范；样式 v. 打字；测定（血等）类型
battle	 n. 战役；斗争 v. 斗争；作战
receive	 v. 收到；接待；接纳
conventional	 adj. 符合习俗的，传统的；常见的；惯例的
despotism	 n. 专制，独裁；专制政治
weary	 adj. 疲倦的；厌烦的；令人厌烦的 v. 疲倦；厌烦
partner	 n. 伙伴；合伙人；配偶 v. 合伙；合股；成为搭档
confinement	 n. 限制；监禁；分娩
infiltrate	 v. 使潜入；使渗入，使浸润 n. 渗透物
bipartisan	 adj. 两党连立的；代表两党的
unwise	 adj. 不明智的；愚蠢的；轻率的
equate	 v. 使相等；视为平等
pot	 n. 壶；盆；罐 v. 把…装罐；射击；节略
systematic	 adj. 系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
sixtieth	 num. 第六十；六十分之一 adj. 第六十的；六十分之一的 n. 第六十；六十分之一
obsessive	 adj. 强迫性的；着迷的；分神的
qualify	 v. 限制；使具有资格；证明…合格
balance	 n. 平衡；余额；匀称 v. 使平衡；结算；使相称
outer	 adj. 外面的，外部的；远离中心的 n. 环外命中
satiation	 n. 饱满；饱食；满足；厌腻
transcribe	 v. 转录；抄写
earring	 n. 耳环，耳饰 v. 抽穗；听见（ear的ing形式）
corpus	 n. [计] 语料库；文集；本金
pawn	 n. 典当；抵押物；兵，卒；人质 v. 当掉；以……担保
only	 adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
charisma	 n. 魅力；神授的能力；非凡的领导力
dog	 n. 狗；丑女人；卑鄙的人；(俚)朋友 v. 跟踪；尾随
Australian	 adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人
masculinity	 n. 男性；男子气；刚毅
nectar	 n. [植] 花蜜；甘露；神酒；任何美味的饮料
beam	 n. 横梁；光线；电波；船宽；[计量] 秤杆 v. 发送；以梁支撑；用…照射；流露
connote	 v. 意味着；含言外之意
guerrilla	 n. 游击战；游击队
faithfully	 adv. 忠实地；如实地；诚心诚意地；深信着地
taper	 n. 细蜡烛，烛芯；逐渐变弱；锥形物 v. 逐渐减少；逐渐变弱
midwife	 n. 助产士；促成因素 vt. 助胎儿出生；促成
lobby	 n. 大厅；休息室；会客室；游说议员的团体 v. 对……进行游说
crescent	 n. 新月；新月状物；伊斯兰教的标记；土耳其的新月形国徽 adj. 新月形的；逐渐增加的 vt. 以新月形物装饰；使成新月形
coastline	 n. 海岸线
lord	 n. 主；上帝 int. 主，天啊 v. 使成贵族
singer	 n. 歌手，歌唱家
incomparable	 adj. 无比的；无可匹敌的；不能比较的 n. 盖世无双的人
smoky	 adj. 冒烟的；烟熏味的；熏着的；呛人的；烟状的
disposition	 n. 处置；[心理] 性情；[军] 部署；倾向
disclaim	 v. 否认，拒绝；放弃，弃权；拒绝承认
zoo	 n. 动物园
lentil	 n. [作物] 兵豆，[作物] 小扁豆
assemble	 v. 集合，聚集；装配；收集
sacrament	 n. 圣礼；圣餐；神秘的事物 vt. 立誓
sheriff	 n. 州长；郡治安官；执行吏
parsley	 n. 荷兰芹，欧芹
whirl	 n. 旋转，回旋；昏乱；一连串的事；短暂的旅行 v. 旋转，回旋；急走；头晕眼花
groan	 v. 呻吟；抱怨；发吱嘎声 n. 呻吟；叹息；吱嘎声
savings	 n. 储蓄；存款；救助；节省物（saving的复数形式）
punctuation	 n. 标点；标点符号
wand	 n. 魔杖；棒；权杖；嫩枝；识别笔（等于wand reader） v. 用扫描笔在…上扫描条形码
correct	 v. 改正；告诫 adj. 正确的；恰当的；端正的
flank	 n. 侧面；侧翼；侧腹 v. 守侧面；位于…的侧面；攻击侧面 adv. 在左右两边
thereupon	 adv. 于是；随即；关于那，在其上
increasingly	 adv. 越来越多地；渐增地
ventricular	 adj. 心室的；脑室的；膨胀的；腹部的
segment	 v. 分割 n. 段；部分
invasion	 n. 入侵，侵略；侵袭；侵犯
foreleg	 n. 前脚；前腿
stint	 n. 节约；定额，定量 v. 节省；限制
connoisseur	 n. 鉴赏家；内行
gateway	 n. 门；网关；方法；通道；途径
saunter	 n. 漫步；闲逛 v. 闲逛；漫步
rapt	 adj. 全神贯注的；入迷的
discount	 n. 折扣；贴现率 v. 贴现；打折扣出售商品
ramble	 n. 漫步；漫游；随笔 v. 漫步于…
annals	 n. 年报；编年史；年鉴
our	 pron. 我们的
autonomy	 n. 自治，自治权
indeterminate	 adj. 不确定的；模糊的；含混的
plural	 adj. 复数的 n. 复数
rabid	 adj. 激烈的；狂暴的；偏激的；患狂犬病的
repairable	 adj. 可修理的；可挽回的；可补偿的
inarticulate	 adj. 口齿不清的；说不出话的；[无脊椎] 无关节的
wield	 v. 使用；行使；挥舞
anthropology	 n. 人类学
crucial	 adj. 重要的；决定性的；定局的；决断的
thirty	 n. 三十年代 num. 三十 adj. 三十个的
enclave	 n. 飞地（指在本国境内的隶属另一国的一块领土）；被包围的领土；被包围物
demeanour	 n. 行为
cardigan	 n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）
palate	 n. 味觉；上颚；趣味
hemline	 n. 底边，底缘
panorama	 n. 全景，全貌；全景画；概论
newscast	 n. 新闻广播
beforehand	 adv. 事先；预先 adj. 提前的；预先准备好的
icebreaker	 n. 碎冰船；破冰设备
prey	 v. 捕食；掠夺；折磨 n. 捕食；牺牲者；被捕食的动物
attachment	 n. 附件；依恋；连接物；扣押财产
monochrome	 n. 单色；单色画 adj. 单色的；黑白的
Canadian	 adj. 加拿大（人）的 n. 加拿大人
ultraviolet	 adj. 紫外的；紫外线的 n. 紫外线辐射，紫外光
performer	 n. 演出者；执行者；演奏者
token	 n. 表征；代币；记号 adj. 象征的；表意的；作为对某事的保证的 vt. 象征；代表
moonlighting	 n. 夜间活动；夜袭；（尤指夜间）从事第二职业
pleasure	 n. 快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐
wind	 n. 风；呼吸；气味；卷绕 v. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
quench	 v. 熄灭，[机] 淬火；解渴；结束；冷浸
forebode	 v. 预示；预感；预兆
themselves	 pron. 他们自己；他们亲自
modernise	 v. 现代化（等于modernize）
appeal	 v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
buckle	 v. 扣住；变弯曲 n. 皮带扣，带扣
perceptive	 adj. 感知的，知觉的；有知觉力的
antagonist	 n. 敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
gibber	 v. 喋喋而言；胡扯 n. 三棱石；无法听懂的话
incident	 n. 事件，事变；插曲 adj. [光] 入射的；附带的；易发生的，伴随而来的
taffeta	 n. 塔夫绸；平纹皱丝织品 adj. 似塔夫绸的；塔夫绸做的
vanish	 v. 消失；突然不见；成为零 n. 弱化音
civilisation	 n. （英）文明（等于civilization）
grasp	 n. 抓住；理解；控制 v. 抓住；领会
affection	 n. 喜爱，感情；影响；感染
chairman	 n. 主席，会长；董事长
economic	 adj. 经济的，经济上的；经济学的
jetty	 n. 码头；防波堤 adj. 乌黑发亮的，煤玉似的 vi. 伸出
somewhat	 n. 几分；某物 adv. 有点；多少；几分；稍微
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
folly	 n. 愚蠢；荒唐事；讽刺剧
incredible	 adj. 难以置信的，惊人的
rail	 n. 铁轨；扶手；横杆；围栏 v. 抱怨；责骂
polite	 adj. 有礼貌的，客气的；文雅的；上流的；优雅的
advanced	 adj. 先进的；高级的；晚期的；年老的 v. 前进；增加；上涨（advance的过去式和过去分词形式）
Buddha	 n. 佛陀；佛像
stealthy	 adj. 鬼鬼祟祟的；秘密的
deluxe	 adj. 高级的；豪华的，奢华的 adv. 豪华地
outreach	 vt. 超越，伸出；超出…的范围 vi. 拓广，延伸 n. 延伸，拓广；扩大服务范围 adj. 扩大服务的
hardly	 adv. 几乎不，简直不；刚刚
steer	 v. 控制，引导；驾驶 n. 阉牛
scream	 v. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心 n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
gasoline	 n. 汽油
condom	 n. 避孕套；阴茎套
civic	 adj. 市的；公民的，市民的
fifty	 n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
plum	 n. 李子；梅子；洋李；紫红色 adj. 人所希望的；有利的；上等的
wed	 v. 与结婚；娶；嫁
fret	 v. 使烦恼；焦急；使磨损 n. 烦躁；焦急；磨损
fissure	 v. 裂开；分裂 n. 裂缝；裂沟（尤指岩石上的）
whale	 v. 猛揍；使惨败 n. 鲸；巨大的东西
obstacle	 n. 障碍，干扰；妨害物
ignorant	 adj. 无知的；愚昧的
infantry	 n. 步兵；步兵团
snivel	 n. 流鼻涕；啜泣 v. 流鼻涕；哭泣
southwest	 n. 西南方 adj. 西南的 adv. 往西南；来自西南
disappointment	 n. 失望；沮丧
till	 n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
revolutionary	 adj. 革命的；旋转的；大变革的 n. 革命者
inspiration	 n. 灵感；鼓舞；吸气；妙计
Friday	 n. 星期五
homogenise	 v. （英）使均匀（等于homogenize）
offspring	 n. 后代，子孙；产物
monotony	 n. 单调；千篇一律
peculiar	 adj. 特殊的；独特的；奇怪的；罕见的 n. 特权；特有财产
remedial	 adj. 治疗的；补救的；矫正的
loll	 v. 懒洋洋地倚靠 n. (Loll)人名；(德)洛尔
indispensable	 adj. 不可缺少的；绝对必要的；责无旁贷的 n. 不可缺少之物；必不可少的人
funeral	 n. 葬礼；麻烦事 adj. 丧葬的，出殡的
submissive	 adj. 顺从的；服从的；柔顺的
dining	 n. 吃饭，进餐 v. 吃饭（dine的现在分词）
secure	 adj. 安全的；无虑的；有把握的；稳当的 v. 保护；弄到；招致；缚住
inconceivable	 adj. 不可思议的；难以置信的；不能想象的；非凡的
potluck	 n. 家常便饭；百乐餐（每人自带一个菜的家庭聚会）
evasive	 adj. 逃避的；托辞的；推托的
comfortable	 adj. 舒适的，舒服的 n. 盖被
licence	 n. 许可证，执照；特许 v. 特许，许可；发给执照
plenary	 adj. 充分的；全体出席的 n. 全体会议
martyr	 v. 牺牲；折磨；杀害 n. 烈士；殉道者
moment	 n. 片刻，瞬间，时刻；重要，契机
straight	 adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的 adv. 直接地；不断地；立即；坦率地 n. 直；直线；直男，直女，异性恋者
thereof	 adv. 它的；由此；在其中；关于…；将它
chastity	 n. 贞洁；纯洁；简洁
ranch	 n. 大农场；大牧场 v. 经营牧场；在牧场工作
firsthand	 adj. 直接的；直接采购的；直接得来的 adv. 直接地
grenade	 n. 手榴弹；灭火弹 vt. 扔手榴弹；用催泪弹攻击
palatable	 adj. 美味的，可口的；愉快的
accurate	 adj. 精确的
usage	 n. 使用；用法；惯例
contradictory	 adj. 矛盾的；反对的；反驳的；抗辩的 n. 对立物；矛盾因素
weigh	 v. 权衡；考虑；称…重量 n. 权衡；称重量
misty	 adj. 模糊的；有雾的 n. (Misty)人名；(英)米斯蒂，米丝蒂(女名)；(法)米斯蒂
party	 n. 政党，党派；聚会，派对；当事人 [复数 parties] v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]
hum	 v. 发低哼声 n. 嗡嗡声；哼声；杂声 int. 哼；嗯
inhumanity	 n. 不人道，无人性；残暴
province	 n. 省；领域；职权
count	 v. 计算；认为 n. 计数；计算；伯爵
certainty	 n. 必然；确实；确实的事情
sentinel	 n. 哨兵 vt. 守卫，放哨
integral	 adj. 积分的；完整的，整体的；构成整体所必须的 n. 积分；部分；完整
mink	 n. 貂；貂皮衣 adj. 豪华的；富裕的
pyramid	 n. 金字塔；角锥体 v. 渐增；上涨；成金字塔状
real	 adj. 实际的；真实的；实在的 adv. 真正地；确实地 n. 现实；实数
kennel	 n. 狗屋；养狗场；[建] 阴沟；一群狗 v. 把…关进狗舍；宿于狗舍
homicide	 n. 过失杀人；杀人犯
guide	 n. 指南；向导；入门书 v. 引导；带领；操纵
muse	 n. 沉思；冥想 v. 沉思；沉思地说
condolence	 n. 哀悼；慰问
revise	 v. 修正；复习；校订 n. 修订；校订
brood	 v. 孵；沉思 n. 一窝；一伙
globe	 n. 地球；地球仪；球体 vt. 使…成球形 vi. 成球状
janitor	 n. 看门人；守卫；门警
operation	 n. 操作；经营；[外科] 手术；[数][计] 运算
enormity	 n. 巨大；暴行；极恶
terry	 n. 厚绒布；毛毛圈 adj. 起毛毛圈的
defoliate	 v. 使落叶
atmospheric	 adj. 大气的，大气层的
timber	 n. 木材；木料
merit	 n. 优点，价值；功绩；功过 v. 值得
night	 n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的
dweller	 n. 居民，居住者
common	 adj. 共同的；普通的；一般的；通常的 n. 普通；平民；公有地
compliance	 n. 顺从，服从；承诺
interval	 n. 间隔；间距；幕间休息
hobbyist	 n. 业余爱好者；沉溺于某嗜好之人
cavalry	 n. 骑兵；装甲兵；装甲部队
slug	 n. 鼻涕虫；动作缓慢的人；金属小块 v. 偷懒；动作迟缓
epitome	 n. 缩影；摘要；象征
Sabbath	 n. 安息日
few	 adj. 很少的；几乎没有的 pron. 很少 n. 很少数
fiscal	 adj. 会计的，财政的；国库的 n. (Fiscal)人名；(法)菲斯卡尔
profess	 v. 自称；公开表示；宣称信奉；正式准予加入
fudge	 n. 软糖；胡说；谎话 v. 捏造；粗制滥造；回避 int. 胡说八道！
excellence	 n. 优秀；美德；长处
fibre	 n. 纤维；纤维制品
tent	 n. 帐篷；住处；帷幕 v. 用帐篷遮盖；使在帐篷里住宿
craven	 adj. 畏缩的；怯懦的 n. 懦夫
freewheel	 v. 靠惯性滑行；随心所欲 n. 自由轮
censorious	 adj. 挑剔的；受批判的（名词censoriousness，副词censoriously）
tweed	 n. 花呢；花呢服装
fare	 v. 经营；进展；遭遇；过活 n. 票价；费用；旅客；食物
soap	 n. 肥皂 v. 将肥皂涂在……上；对……拍马屁（俚语）
householder	 n. 户主，家长；房主
fowl	 n. 家禽；鸟；飞禽 v. 打鸟；捕野禽
without	 prep. 没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面
engineer	 n. 工程师；工兵；火车司机 v. 设计；策划；精明地处理
redundancy	 n. [计][数] 冗余（等于redundance）；裁员；人浮于事
decision	 n. 决定，决心；决议
exodus	 n. 大批的离去
mortality	 n. 死亡数，死亡率；必死性，必死的命运
picket	 n. 警戒哨；纠察队；[建] 尖木桩 v. 派……担任纠察；用尖桩围住
republic	 n. 共和国；共和政体
condemn	 v. 谴责；判刑，定罪；声讨
up	 adv. 起来；上涨；向上 prep. 在…之上；向…的较高处 adj. 涨的；起床的；向上的 n. 上升；繁荣
disposed	 adj. 有…倾向的；打算做…的；有某种健康状态的 v. 处理；配置；使适应（dispose的过去分词）；使有倾向
evangelist	 n. 福音传道者；圣经新约福音书的作者
unearth	 v. 发掘；揭露，发现；从洞中赶出
interview	 n. 接见，采访；面试，面谈 v. 采访；接见；对…进行面谈；对某人进行面试
downward	 adj. 向下的，下降的 adv. 向下
electorate	 n. 选民；选区
oral	 adj. 口头的，口述的 n. 口试
fraught	 adj. 担心的，忧虑的；充满…的
funk	 n. 恐惧；怯懦；恐怖；臭味 v. 害怕；畏缩；使闻到臭味
pact	 n. 协定；公约；条约；契约
valiant	 adj. 英勇的，勇敢的 n. 勇士；勇敢的人
typography	 n. 排印；[印刷] 活版印刷术；印刷格式
retell	 v. 复述；再讲；重述
secretariat	 n. 秘书处；书记处；秘书（书记，部长等）之职
momentum	 n. 势头；[物] 动量；动力；冲力
amplify	 v. 放大，扩大；增强；详述
satchel	 n. 书包；小背包
touchdown	 n. 着陆，降落；触地；触地得分
barbaric	 adj. 野蛮的，粗野的；原始的
left	 adj. 左边的；左派的；剩下的 adv. 在左面 n. 左边；左派；激进分子 v. 离开（leave的过去式）
voltage	 n. [电] 电压
settee	 n. 有靠背的长椅；中型沙发
racialism	 n. 种族主义；种族歧视；人种偏见
sadden	 v. 使悲伤，使难过；使黯淡
pornography	 n. 色情文学；色情描写
icebox	 n. 冰箱；冷藏库
barricade	 n. 街垒；路障；争论之处 v. 设路障；阻碍
hatch	 n. 孵化；舱口 v. 孵；策划
near	 adj. 近的；亲近的；近似的 adv. 近；接近 prep. 靠近；近似于
thoughtless	 adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
reversible	 adj. 可逆的；可撤消的；可反转的 n. 双面布料
intent	 n. 意图；目的；含义 adj. 专心的；急切的；坚决的
egocentric	 adj. [心理] 自我中心的；利己主义的 n. 利己主义者
arithmetic	 n. 算术，算法
gregarious	 adj. 社交的；群居的
roughly	 adv. 粗糙地；概略地
stimulant	 n. [药] 兴奋剂；刺激物；酒精饮料 adj. 激励的；使人兴奋的
smother	 v. 使窒息；抑制；（用灰等）闷熄；忍住 n. 窒息状态；令人窒息的浓烟
writer	 n. 作家；作者
allegiance	 n. 效忠，忠诚；忠贞
plaza	 n. 广场；市场，购物中心
slender	 adj. 细长的；苗条的；微薄的
project	 v. 设计；计划；表达；投射 n. 工程；计划；事业
pair	 n. 一对，一双，一副 v. 把…组成一对
unduly	 adv. 过度地；不适当地；不正当地
sufficiency	 n. 足量，充足；自满
farmer	 n. 农夫，农民
prohibit	 v. 阻止，禁止
birthplace	 n. 出生地
affordable	 adj. 负担得起的
derrick	 n. 起重机，[机] 转臂起重机；油井的铁架塔
appendicitis	 n. [医] 阑尾炎；盲肠炎
mutilate	 v. 切断，毁坏；使…残缺不全；使…支离破碎
banker	 n. 银行家；银行业者；掘土工
mussel	 n. 蚌；贻贝；淡菜
capable	 adj. 能干的，能胜任的；有才华的
annex	 v. 附加；获得；并吞 n. 附加物；附属建筑物
seventy	 n. 七十；七十个；七十岁；七十年代 adj. 七十的；七十个的；七十岁的 num. 七十
sheikh	 n. 族长；阿拉伯酋长（等于sheik）
clever	 adj. 聪明的；机灵的；熟练的
placid	 adj. 平静的；温和的；沉着的
sanguinary	 adj. 血腥的；流血的；残暴的
cede	 v. 放弃；割让（领土）
magnet	 n. 磁铁；[电磁] 磁体；磁石
viral	 adj. 病毒性的
