sensible	 adj. 可感觉的；明智的
wander	 v. 漫游；迷路；离题
acute	 adj. 厉害的，敏锐的，(疾病等)急性的
delectable	 adj. 使人愉快的；美味的
context	 n. 上下文，(事情)来龙去脉
dominate	 v. 统治，支配，俯瞰，俯视
flyover	 n. 公路上的陆桥
quaint	 adj. 古雅的；离奇的
dispose	 v. 处理，处置，除去
regulate	 v. 管理，控制；调整
antibiotic	 n&a. 抗生素；抗菌的
influence	 n&vt. 影响(力)，感化(力)，有影响的人或事
vein	 n. 静脉，叶脉；(石头)纹理；矿脉
obsession	 n. 缠住，被困扰；观念固执，死脑筋
capital	 n. 资本，大写字母；首都 adj. 可处死刑的
swerve	 vt&vi. 突然转向
remnant	 n. 残(剩)余
tilt	 vt&vi. (使)倾斜 n. 倾斜，斜坡
pass	 n&v. 穿过；经过
opaque	 adj. 不透光的，不透明的
prestige	 n. 威信，声望；(由于成功等而产生)显赫
precipice	 n. 悬崖，峭壁
outskirts	 n. (尤指城市)郊区
refusal	 n. 拒绝
patrol	 vt&vi. 巡逻，巡查
ambassador	 rn. 大使；授权代表
shower	 n. 阵雨；淋浴
dilapidated	 adj. 破旧的，坍坏的
description	 n. 描写，描绘，叙述
ignorance	 n. 无知，愚昧
corps	 n. 技术兵种；军团
amphibian	 n. 两栖动物；水陆两用飞机和车辆
patriotism	 n. 爱国主义，民族主义
periodical	 adj. 周期的；定期的 n. 期刊；杂志
energetic	 adj. 精力充沛的；精力旺盛的
promising	 adj. 有希望的；有出息的
rim	 n. 边；边缘，轮辋
put	 v. 放
artery	 n. 动脉，干线
resort	 vi&n. 求助
petal	 n. 花瓣
deficiency	 n. 缺乏，不足，不足之数
locality	 n. 地区，地方
handsome	 adj. 漂亮的；大方的
myriad	 n. 极大数量
percussion	 n. 碰撞；震动
routine	 n. 例行公事，惯例，常规
strip	 vt&vi. 剥去；除去；剥夺财产 n. 狭长一片
amidst	 prep. =amid 在. 当中
minister	 v. 照顾，给予帮助
funeral	 n. 葬礼，丧葬
corrode	 v. 腐蚀，侵蚀
incidence	 n. 发生率，影响的方式
scheme	 n&v. 安排；计划，阴谋
rail	 n. 栏杆；横杆
ponderous	 adj. 沉重的，笨重的；(文章)冗长的
degrade	 v. 降级，堕落，贬黜
confirm	 v. (权力)使巩固；认可(任命)
scalpel	 n. 解剖刀，(外科用)小刀
complexion	 n. 肤色；情况；局面；气质
outcast	 a&n. 被遗弃的；被遗弃者，被逐出者
prior	 adj. 较早的；更重要的
pimple	 n. 丘疹，脓疱
theft	 n. 偷盗
compose	 v. 组成，构成；创作；排字；使安静
infect	 v. 传染，受影响，受感染
symmetry	 n. 对称；匀称
significant	 adj. 意义深长的；重要的
currency	 n. 通用，流通，货币
prelude	 n. 序言，序幕
typhoon	 n. 台风，强热带风暴
discriminate	 v. 区别，区分；岐视
drawback	 n. 障碍；不利
vacant	 adj. 空的；未被占用的；空虚的，无表情的
track	 n&v. 行迹；踪迹；跟踪
culture	 n. 人类能力的高度发展，文化，教养，文明
excavate	 v. 挖掘，挖出
fit	 adj. (病的)发作，痉挛 v&a. n合适,试穿,安装 v. "
motion	 n. 运动，动态；手势；眼色，姿势；提议
expel	 v. 驱逐，开除；排出
allowance	 n. 津贴
coward	 n. 胆怯者，懦夫
germ	 n. 幼芽；起源；微生物
flash	 n&v. 闪光，闪现；简讯，浮华
subtract	 v. 减去，扣除
glitter	 vi&n. 闪闪发光，闪光
predictable	 adj. 可预言的
undue	 adj. 过分的，过度的
dart	 n. 标，镖 v. 投掷 v. 急冲
coincide	 v. 恰好相合，时间巧合；意见一致
consecutive	 adj. 连续的，连贯的
in	 prep. favour of赞成，以. 为收款人
gamble	 v&n. 赌博；投机
committee	 n. 委员会
dumb	 adj. 哑的；暂不说话的；愚笨的
hygiene	 n. 卫生
smother	 v. 使窒息，使闷死；闷住；抑制；忍住
wilderness	 n. 荒地, 废墟 "
signal	 n&v. (发)信号
furnace	 n. 炉子，熔炉
confess	 v. 承认；向祖父忏悔
minority	 n. 未成年；少数；少数民族
nostalgia	 n. 怀乡病，留恋过去，怀旧
cautious	 adj. 谨慎的，小心的
pillow	 n. 枕头
adjacent	 adj. 邻接的，邻近的
transcript	 n. 抄本，副本
crevice	 n. (岩石、墙等)裂缝
slander	 n&vt. 诽谤，污蔑
subdue	 v. 使屈服、征服，克制；使柔和，使安静
magnify	 v. 放大，扩大；夸大，夸张
neutralize	 v. 使中立；使无效
stripe	 n. 条纹
suite	 n. 一套家具，一套房间，酒店套房
nothing	 n&ad. 没有什么；毫不
siege	 n. 围困；围城
consequence	 n. 结果，后果；重要性
manure	 n. 粪，肥，肥粒 v. 施肥
mobile	 adj. 易动的，运动的；易变的
solidarity	 n. 团结一致
glue	 n. 胶水，胶 v. 粘贴，紧贴
misguided	 adj. 误入歧途的
vigorous	 adj. 强有力的，精力充沛的
cricket	 n. 板球；蟋蟀
novice	 n. 新手; 初学者
likelihood	 n. 可能性
premium	 n. 保险费；额外费用
genial	 adj. 和蔼的，亲切的，温和的
ludicrous	 adj. 荒谬的，可笑的
prestigious	 adj. 有威信的；有声望的
oblique	 adj. 斜的，偏斜的
overhear	 v. 无意中听到，偷听到
anticipation	 n. 预期；预料
chaste	 adj. 有道德的；善良的；贞洁的；简朴的
explore	 v. 勘察，考查；探索
pungent	 adj. 刺鼻的，刺激性的
indulge	 v. 放纵，沉迷于
simplify	 v. 简化
vicious	 adj. 邪恶的，堕落的；恶意的
counterbalance	 n. 平衡，平衡力 v. 使平衡，抵销
kit	 n. (士兵)所有装备，成套工具 v. 发给装备
shrub	 n. 灌木，灌木丛
sceptical	 adj. 怀疑的，表示疑惑的
comprise	 n. (止血用)敷布
pathetic	 adj. 可怜的，悲惨的；不适当的
mall	 n. 大型购物中心
manipulate	 v. 熟练地使用；操纵
rational	 adj. 有推理能力的；合理的
vulnerable	 adj. 易受攻击的
heave	 v. 用力举起；说出；掷扔 n. 举，拉，扔
come	 v. 来，达到；开始；出现；成为
justification	 n. 理由
arc	 n. 弧
wrestle	 v. 摔跤，角斗；斗争，努力
treaty	 n. 条约；协定
mammal	 n. 哺乳动物
advocate	 n. 辩护人；倡导者 v. 提倡，支持
fickle	 adj. 感情易变的；无常的
salute	 n. 行礼，敬礼；礼炮
clear	 a&ad. 清楚的(地)，清白的(地) v. 清除
otherwise	 adv. 用其他方法；不同地 conj. 否则，不然
arduous	 adj. 艰巨的，艰苦的
punctual	 adj. 严守时刻的；准时的
directory	 n. 名录
vanquish	 v. 征服，击败
oblivious	 adj. 不在意的，忘却的
apprentice	 n. 学徒 v. 使当学徒
excursion	 n. 远足，短途旅行
downpour	 n. 倾盆大雨
mandatory	 adj. 命令的；强制性的
loom	 v. 隐隐呈现，赫然耸现 n. 织机，织造(术)
variant	 adj. 不同的，变异的 n. 变体，异体
council	 n. 政务会，理事会；委员会
meager	 adj. 瘦的，不足的，贫乏的
chord	 n. 弦，和弦
tolerable	 adj. 可忍受的，可容许的，尚好的
fabric	 n. 织物，构造；结构
setting	 n. 镶嵌；环境，背景；(日月)沉落
inference	 "n. 推论, 推断 "
summon	 v. 召唤，传唤；鼓起，聚集
observe	 v. 看到；遵守；评论
exotic	 adj. 外国种的；奇异的
superior	 adj. 优越的；优良的，较高的
single	 adj. 单一的；未婚的；单人的 n. 单打，单程票
spectacle	 n. 场面；景象；壮观
equilibrium	 n. 平衡，均衡
soluble	 adj. 可溶解的
gale	 n. 大风，一阵喧闹
crust	 n. 面包、饼皮；硬外皮；屯饪
junction	 n. 交**点，接合点
heap	 n&vt. 堆；一堆；堆积；许多，大量；装载
mourn	 v. 哀悼
hound	 n. 猎狗；卑鄙的人 v. 用猎狗追，追逐
mutation	 n. 变化，变异，转变
mantle	 n. 斗篷，披风；覆盖物，(煤气灯)白热罩
superfluous	 adj. 过剩的，多余的，不必要的
set	 v. (日，月)落，vt放
insert	 v. 插入 n. 插入物，插页
portray	 v. 描绘；描述
studio	 n. 工作室；摄影棚；播音室
ashamed	 adj. 羞愧的；害臊的
arise	 v. 发生；起来；出现
repel	 v. 击退；使厌恶
flux	 n. 流动；流
raw	 adj. 生的；未加工的
elapse	 v. (时间)流逝
diffuse	 v. 散开，扩散 adj. 扩散的；冗长的
delicate	 adj. 细软的 柔嫩的 精美的 微妙的 难办的
vow	 n. 誓约，许愿
gist	 n. 要领
specific	 adj. 具体的；特定的
candidate	 n. 候选人；应试人
magistrate	 n. 地方法官
accessory	 n. 同谋者；附件
submarine	 adj. 水下的 n. 潜水艇
thermal	 adj. 热的；热量的
indelible	 adj. 去不掉的，擦不掉的
protract	 v. 延长，拖延
quit	 v. 离开；停止
ramble	 v. 闲逛，漫步；漫谈；蔓延
lash	 n&v. 鞭打，责骂；眼睫毛
pottery	 n. 陶器，陶器制造厂
prosecute	 v. 告发，起诉
aggravate	 v. 使恶化；使加剧；使气恼
mediate	 v. 调停；居间促成
conscience	 n. 良心，犯罪感
scenery	 n. 风景
chronic	 adj. (疾病)慢性的
sustain	 v. 支撑；支持，维持
stuff	 n. 原料，材料；素质；东西 v. 把装满
site	 n. 位置 v. 设置
veteran	 n. 老练者；老手；老兵；老式古董车
accompany	 v. 陪伴，伴奏
pace	 n. 一步；走或跑的速度
annual	 adj. 每年的，一年生的 n. 年刊；一年生植物
cosmic	 adj. 宇宙的
majestic	 adj. 威严的；庄严的
give	 v. 给，付给，允许，供给，传达
outspoken	 adj. 直言的，坦率的
storage	 n. 仓库，货栈
unique	 adj. 唯一的，独一无二的
screw	 n. 螺旋，螺丝；螺旋浆 vt&vi. 钉住，拧
pore	 n. 毛孔 v. 钻研
slap	 v. 拍 ，掌击
stick	 n. 枝条；木棍 v. 刺；粘；陷往
keen	 adj. 锋利的，尖锐的，强烈的；敏锐的；渴望的
status	 n. 身份，地位
lubricate	 v. 使润滑，使顺利
overwhelm	 v. 压倒，淹没
pains	 n. 辛苦
variable	 adj. 可变的，变化的 n. 可变物，变量
handbook	 n. 手册，便览
rigid	 adj. 僵硬的，不易弯的；严格的
embrace	 v&n. 拥抱；利用；包含
ivory	 n. 象牙；象牙制品 adj. 象牙色的
radical	 adj. 根本的，基本的，政治激进的
identity	 n. 身份; 同一; 一致；特性
prevail	 v. 流行，盛行
ferry	 n&v. 渡船；渡口，摆渡
pinpoint	 v. 精确发现目标
refreshment	 n. 点心
essence	 n. 本质，香精
hail	 n&v. (下)冰雹；(冰雹般)一阵，落下
litter	 n. 杂乱物；一胎生下的小动物 v. 使杂乱,乱丢 n. "
shiver	 v. 颤抖，哆嗦
portion	 n. 一部分，一份，一客
courtesy	 n. 礼貌，谦恭
feast	 n&v. 筵席，宴请，使享受
propriety	 n. 正当行为；正当；适当
surplus	 n. 余款，盈余；过剩，剩余)
odyssey	 n. 长途冒险旅行；一连串的冒险
portfolio	 n. 公事包；文件夹；大臣及部长职位
superficial	 adj. 表面的；表皮的；肤浅的，一知半解的
session	 n. 开庭，开庭期；集会；学期
obliging	 adj. 乐于助人的
shutter	 n. 百叶窗；照相机快门
petty	 adj. 小的；次要的
cripple	 n. 跛子；残疾人 v. 使跛，使残疾
probation	 n. 试用，试读；见习，试用；缓刑
pendulum	 n. 钟摆
exile	 n&vt. 流放，离乡背井
convince	 v. 使信服
righteous	 adj. 正直的，正当的，公正的
champagne	 n. 香槟酒
appetite	 n. 食欲
sophisticated	 adj. 老练的，有经验的，世故的；尖端的
poke	 v&n. 拨；戳
elevator	 n. [美]电梯，升降机
touchy	 adj. 暴躁的；易怒的
recommendation	 n. 推荐，介绍；推荐信
tap	 n. 龙头；轻拍，轻敲 v. 轻拍，轻敲
shed	 n. 棚；车库 v. 发出；脱落
outweigh	 v. 比更重，比更重要
reinforce	 v. 增援；加强
loaf	 n. 一块面包，块，团 v. 消磨时间
feat	 n. 技艺，功绩，武艺
cumulative	 adj. 累积的，累加的
nylon	 n. 尼龙；尼龙长袜
madden	 v. 使发疯，使发狂
technique	 n. 技术，技能；行家手法
guideline	 n. (常作pl)
hang	 v. 挂，悬挂；吊死；贴，糊
emotion	 n. 感情；情绪；激动
tuck	 n. 缝 v. 打褶裥
magnitude	 n. 重要性；大小
cereal	 n. 各类粮食
jungle	 n. 丛林，密林
misappropriate	 v. 滥用，误用
erosion	 n. 腐蚀，侵蚀
hijack	 v. 劫持，劫机，拦路抢劫
meteoric	 adj. 流星的，转瞬即逝的，突然的
clearance	 n. 清除，清理，净空；许可
scrape	 v&n. 刮, 擦"
sicken	 vt&vi. (使)生气；(使)厌恶
statue	 n. 雕像
occupy	 v. 居住；占
nil	 n. 无；零
culminate	 v. 使达高潮，使结束
file	 n&vt. 锉，锉刀；文件夹；归档；纵列
ghastly	 adj. 苍白的；可怕的；令人不快的
ugly	 adj. 险恶的，丑陋的
chip	 n. 片屑，薄片；集成电路 v. 削,铲,形成缺口"
occurrence	 n. 发生；出现
propel	 v. 推进
once	 conj. 一旦 adv. 一次；从前
approach	 v. 接近，着手处理 n. 接近；方法；途径
overture	 n. 提议，建议；序曲
wholesale	 n. 批发
stationery	 n. 文具
liquor	 n. 酒；酒类
legend	 n. 传说，传奇，传奇文学；地图图例
contaminate	 v. 弄脏；污染
loll	 v. 懒洋洋地倚靠,(头等)垂下n游手好闲的人"
inspire	 v. 激励，鼓励，灌注以创造力
constant	 adj. 不变的；经常的；坚定的
perimeter	 n. 周边，周长，周界
neurotic	 adj. 神经病的，神经过敏的 n. 神经过敏者
assemble	 v. 聚集；装配
origin	 n. 起源，血统
hurl	 vt&n. 猛掷，猛投
coed	 n. 男女同校的学生
upright	 adj. 垂直的，直立的；正直的
volcano	 n. 火山
momentous	 adj. 重要的，重大的
amid	 prep. 在当中
fierce	 adj. 凶猛的，狂热的，强烈的，愤怒的
grill	 n. (烤肉用的)烤架
primary	 adj. 最初的；首要的
flexible	 adj. 易弯曲的；柔软的，灵活的
affiliate	 v. 使加入，接受为分支机构
famine	 n. 饥荒
say	 v. 说
undoubtedly	 adv. 无疑地，必是地
naval	 adj. 海军的，军舰的
uneven	 adj. 不平坦的，不均匀的
perishable	 a&n. (尤指食物)易坏的,易腐烂的;易坏之物"
grudge	 v. 吝惜，不愿给 n. 恶意，怨恨，忌妒
fabulous	 adj. 寓言般的；惊人的，难以置信的
granary	 n. 谷仓，粮仓
psychology	 n. 心理学
slaughter	 n&vt. 屠杀，屠宰
ingredient	 n. (混合物的)组成部分，配料
refugee	 n. 避难者，难民
signify	 v. 表示；意味
convert	 v. 转变，兑换；使改变信仰
extract	 v. 拔出；榨取；摘录 n. 抽出物，选录
invisible	 adj. 看不见的，无形的
contrive	 v. 发明; 设计; 设法；造成
descend	 v. 下降；下来；遗传；袭击
perturb	 v. 使不安，烦扰
instantaneous	 adv. 瞬间，霎时
terrace	 n. 斜坡地，梯田；看台，大阶级
permissible	 adj. 许可的，容许的
allegiance	 n. 忠诚
plaster	 n&vt. 膏药；(涂)灰泥
practically	 adv. 实践地；几乎
infirmary	 n. 医务，医务室
distil	 v. 蒸馏
unanimous	 adj. 一致同意的；全体一致的
scissors	 n. 剪刀
accelerate	 v. 加速，变快
disable	 v. 使无能力，使伤残
lapse	 n. 小错，记错；(时间)流逝；[律]权利终止
antique	 a&n. 古代的；古玩；古物
crease	 n. 折缝，皱痕 v. 起折痕
evolution	 n. 演变，进展，进化
sow	 v. 播种
prodigious	 adj. 巨大的，奇妙的
embark	 v. 上船；从事；开始
questionnaire	 n. 问题单，调查表，征求意见表
voucher	 n. 凭单，收据
puzzle	 n. 难题；谜 v. 迷惑
foil	 n. 金属薄片；陪衬物；钝头剑
grant	 v. 同意给予，授予，承认 n. 拨款；补助款
request	 n&vt. 要求；请求
subtle	 adj. 微妙的；难以捉摸的；精明的
sewer	 n. 下水道，阴沟
consumption	 n. 消费；结核病
hence	 adv. 从此地，从此时，因此
texture	 n. (织物)组织，结构；(材料)构造，结构
vary	 vt&vi. 变化
fleeting	 adj. 飞逝的, 短暂的 "
hostage	 n. 人质
pledge	 n&vt. 抵押品，典当物；象征
pry	 v. 细查；探问
synthesis	 n. 合成法；综合，合成物
distress	 n&vt. 悲痛，忧伤；贫苦；危难
intimidate	 v. 恫吓，威胁
oppose	 v. 反对，反抗
orientate	 v. 定位；给定位
ornament	 n. 装饰(物)
teem	 v. 大量出现，涌现
precipitate	 v. 猛然抛下；突然发生；加速 n. 沉淀物
ordeal	 n. (对品格或忍耐力的)严格考验
placid	 adj. 平静的，安静的
conversely	 adv. 相反地，逆地
worthwhile	 adj. 值得(花时间、精力)的；合算的
realm	 n. 世界；王国
vocational	 adj. 职业的；业务的
inaugurate	 v. 为举行就职典礼，为展览会揭幕，开创
loyal	 adj. 忠诚的
crystal	 n. 水晶，水晶饰品，结晶体；最好的玻璃器皿
embarrass	 v. 使为难，使尴尬
howl	 n&v. 嚎叫，怒吼
release	 vt&n. 释放；发表
sanity	 n. 心智健全，神智正常；判断正确
visible	 adj. 可见的
transistor	 n. 晶体管
pasture	 n&v. 牧场；放牧
sprint	 v. 全速奔跑，冲刺
cradle	 n. 摇篮，策源地；支船架vt把放在摇篮里
amateur	 n&a. 业余爱好者(的)
determination	 n. 决心；决定；确定
discreet	 adj. 谨慎的，思虑两全的
perverse	 adj. 刚愎的；坚持错误的，行为反常的
perpendicular	 adj. 垂直的，成直角的；直立的 n. 垂直线
scoop	 n. 勺，铲子；独家新闻
refund	 v. 归还 n. 归还；归还额
productive	 adj. 能生产的，肥沃的
yawn	 v. 打呵欠；张开
kidnap	 v. 诱拐；绑架
emit	 v. 散发；发射
accountant	 n. 会计员
glamour	 n. 魔力，魅力 v. 迷住
environment	 n. 环境
stand	 n&v. 架；看台；站；立；处于；忍受
likewise	 adv. 同样地；也
traitor	 n. 叛徒，卖国贼
grind	 v&n. 磨碎，折磨，压榨，磨光；苦差使
mock	 vt&vi. 嘲弄，嘲笑 adj. 假的，模拟的
vacation	 n. 假期;休庭期;腾空
marrow	 n. 髓，骨髓
steadfast	 "a. 坚定的, 不变的，不动摇的 "
assumption	 n. 假定之事；承担，担任
optimum	 adj. 最适宜的
discrepancy	 n. 不一致，差异，不符
presence	 n. 出席，到场；风采，风度
terrain	 n. 地面，地形，地图
dine	 v. 吃饭，进餐
perfume	 n. 香水，香味
echo	 n&v. 回声，反响
cutting	 n. 开凿出来的公路，铁路；剪报 adj. 锋利的
momentum	 n. 动量；势头
nowhere	 adv. 什么地方都没有
shepherd	 n. 牧羊人 v. 带领，照看
superintend	 vt&vi. 监督，指挥(工作)
mythology	 n. 神话学
delinquency	 n. 过失，为非作歹，失职
relief	 n. 减轻；救济
dole	 n. 施舍，悲哀
suspension	 n. 悬挂，暂停
laudable	 adj. 值得称赞的
snack	 n. 快餐，小吃
demolish	 v. 拆毁；废除；驳倒
whistle	 n. 口哨声；哨子 v. 吹哨汽笛
monster	 n. 怪物；畸形的动植物；恶人
doctrine	 n. 教义，教条
trait	 n. 特征，品质
rouse	 vt&vi. 唤醒，唤起；激励；激起
compatible	 adj. 可兼容的，可和谐共存的
deck	 n. 甲板；公共汽车一层的车厢；纸牌 v. 装饰
gratuity	 n. 退职金；小账，小费
historian	 n. 历史学家
desert	 n&a. 沙漠 n. 无人居住的 v. 丢弃 n. 离开
civilian	 n&a. 平民，民用的，民间的
making	 n. 制成
rough	 adj. 不平的；粗鲁的，粗略的；刺耳的
desirable	 adj. 值得弄到手的，吸引人的
profound	 adj. 深的，极深的；渊博的；深奥的
transport	 n. 运输 v. 运输
provisional	 adj. 临时的，暂时性的
fragile	 adj. 脆的；易断的
subscribe	 vt&vi. 捐款，捐助；订阅；同意，赞成
queer	 adj. 奇怪的，不平常的；可疑的；眩晕的
decipher	 v. 译解(密码等)
imaginative	 adj. 想象的，有想象力的
inclusive	 adj. 包括的，包含的
mushroom	 n&v. 蘑菇，迅速发展
horrible	 adj. 可怕的，恐怖的；讨厌的
sparkle	 v. 闪光，闪耀
temperate	 adj. 有节制的，不过分的；(气候)温和的
prerogative	 n. 特权
subtitle	 n. (书籍)副标题；译文字幕
torment	 n. 剧烈痛苦；折磨，烦扰 v. 折磨；纠缠
seemingly	 adv. 好像；似乎
tile	 n. 瓦，瓦片
isle	 n. 岛，小岛
enquiry	 n. 询问，打听
scout	 n. 侦察员，侦察机，侦察舰
ransom	 n. 赎金，赎救
venerate	 v. 崇敬，崇拜
outright	 adj. 断然的；明白无误的
pageant	 n. 露天表演，庆典
graph	 n. 曲线图，图表
liner	 n. 班机，班轮
notary	 n. 公证人，公证员
melody	 n. 音律；歌曲
similar	 adj. 类似的
contemporary	 adj. 同时代的，当代的 n. 同龄人，同时代的人
reckless	 adj. 鲁莽的
goad	 n. 刺棒，刺痛物；激励 v. 激励，刺激
leak	 n. 漏洞，泄漏
politic	 adj. 精明的；明智的
register	 v. 登记，注册
lure	 n&vt. 诱惑(力)；引诱，吸引
eventually	 adv. 终于，最后
negotiable	 adj. 可谈判的，可(通行)商议的；可兑换现金的
resonant	 adj. 反响的；共鸣的
attribute	 v. 归因于 n. 属性；象征；标志
convict	 v. 证明有罪 n. 罪犯
assure	 v. 断言，使确信；保(人寿)险
sightseeing	 n. 观光，游览
latent	 adj. 潜在的；潜伏的
varied	 adj. 各种各样的
override	 v. 不理(某人的愿望要求)，不顾
raft	 n. 木排，木筏
perceive	 v. 察觉，发觉
symposium	 n. 专题论文集，讨论会
appropriate	 adj. 合适的
interior	 adj. 在内的；内部的，内地的，国内的 n. 内部
scum	 n. 泡沫，浮垢，糟粕，渣滓
engagement	 n. 订婚；约会，交战
trap	 n. 陷阱；圈套；双轮轻便马车
transcend	 v. 超出，超过
circumstance	 n. 情况，形势；环境；事件
authorize	 v. 授权
flask	 n. 细颈瓶，扁形酒瓶
spontaneous	 adj. 自发的；自然产生的
penalty	 n. 处罚，惩罚
fortify	 v. 设防于；增强
monsoon	 n. 季风，雨季
retrospect	 n. 回顾；回想
spit	 v. vi吐(唾沫)
negligence	 n. 疏忽，粗心大意
pension	 n&vt. 养老金，退休金；给予养老金
enlighten	 v. 启发，开导
audience	 n. 听众，读者；接见
symbolize	 v. 用符号表示；作为象征
hobby	 n. 业余爱好
petroleum	 n. 石油
classical	 adj. 一流的；古典的
thrill	 n&v. 激动；震颤
stadium	 n. 露天运动场
tyre	 n. 轮胎
review	 v&n. 回顾；检查；评论
spoil	 v. 破坏；宠坏；(食物)变坏
cucumber	 n. 黄瓜
assign	 v. 分配；确定时间或地点；指派
twist	 v. 捻；搓；扭转；盘旋 n. 搓，扭拧；怪癖
privacy	 n. 隐退；秘密
probe	 n&v. 医学探针；新闻调查；探测
ambition	 n. 雄心，抱负
shanty	 n. 小屋，棚屋；贫民区
devastate	 v. 破坏，蹂躏
acknowledge	 v. 承认；表示收到信件，表示感谢
trail	 n. 痕迹，足迹，小径 v. 拖，拉，蔓延
infant	 n. 婴儿
appointment	 n. 职位；约会
auction	 n&vt. 拍卖
constrict	 v. 压缩，缩小
commercial	 adj. 商业的，贸易的 n. 电视电台广告
equivocal	 adj. 暧昧的，可疑的
anonymous	 adj. 无名的；匿名的
duplicate	 adj. 完全一样的，复制的 n. 复制品 v. 复写
farewell	 lint&n&a. 再见；临别的，告别的
consumer	 n. 消费者，用户
welfare	 n. 幸福，福利；社会保障
tributary	 n&a. 支流(的)
measure	 n. 量度，分量，尺寸；量具；行动，步骤
wording	 n. 措辞
spray	 vt&n. 水花；飞沫；喷射
fabricate	 v. 装配，制造，捏造
eke	 v. 增加；放长
might	 n. 力量，强权，势力
uprising	 n. 叛乱
nominee	 n. 被提名者，被任命者
evict	 v. 驱逐
march	 n. 行进，行军；进展
extravagant	 adj. 奢侈的，过分的
recital	 n. 详述；演奏会；独奏会
gush	 n. 迸发 v. 涌出，滔滔不绝地说
cut	 v. 割，切，剪，砍，削；离开；(线条)相交
skip	 v&n. 跳；遗漏
recession	 n. 后退；撤回；(工商业)衷退，价格暴跌
spur	 n&v. 刺激；鞭策
attain	 v. 取得，得到
privilege	 n. 特权；优惠
abrupt	 adj. 突然的，粗暴的
withhold	 v. 制止，扣留，不给予
resemblance	 n. 相似，类似
lethal	 adj. 致死的；致死的
exhort	 v. 劝告
detective	 adj. 侦探的，发觉者的
synthetic	 adj. 人工合成的
collaboration	 n. 协作，合作
henceforth	 adv. 同义于 henceforward今后
dull	 adj. 阴暗的，迟钝的，沉闷的，钝的 v. 变钝
choke	 v. 闷塞，压抑，闷死
legal	 adj. 法律的
furious	 adj. 狂怒的
pivot	 n. 中枢，轴；辩论的要点
timber	 n. 木材，木料；树木，树林
orbit	 n. 天体轨道；势力范围 v. 沿轨道运行
pharmacy	 n. 制药，配药；药房；药店
subject	 n. 国民；主题 adj. 隶属的，受支配的 v. 征服
fry	 v. 油煎，油炒
diligent	 adj. 勤奋的
quantitative	 adj. 量的，定量的
monetary	 adj. 货币的；钱的
deviate	 v. 背离，偏离
clip	 v. 剪短；猛击，痛打 n. 回形针；夹子，剪
maniac	 n. 疯子，躁狂者
optical	 adj. 视觉的，眼睛的，光学的
classify	 v. 把分类(归类)；分等级
metaphor	 n. 隐喻，暗喻
slender	 adj. 细长的，苗条的；纤弱的，微小的，微薄的
desolate	 adj. 荒芜的 adj. 无人居住的 adj. 孤寂的 v. 使荒芜
wit	 n. 智力，才智
hand	 n. 手；掌握；责任；人手；指针 v. 传递
odd	 adj. 古怪的，奇数的；单独的；零头的；临时的
dispatch	 v&n. 派遣，发送，迅速办理，急件
tangle	 n&v. 缠结；混乱(交通)
associate	 n. 伙伴，同事，同伴
slip	 n&v. 滑，失误
retreat	 vi&n. 撤退
revelation	 n. 揭示，揭露
defeat	 vt&n. 打败，战胜
slab	 n. (石材、木材)板，片
lobby	 n. 门廊；院外活动集团 v. 对议员等游说活动
administration	 n. 管理，经营；行政
efficient	 adj. 能胜任的，效率高的
throbbing	 adj. 跳动的，悸动的
lawn	 n. 草地，草坪
superstition	 n. 迷信，迷信行为
exceedingly	 "ad. 非常, 极端地"
pillar	 n. 柱；栋梁
spokesman	 n. 发言人
avert	 v. 避开，防止
cash	 n. 现金，钱款 v. 兑现，兑付
grin	 n&vi. 露齿而笑，咧嘴一笑
stroke	 n. 击；划；一笔；中风
applicant	 n. 请求者，申请者
pull	 v&n. 拉，拖，拔
secondary	 adj. 第二的，中级的；次要的
indicative	 adj. 指示的；表示的
wither	 vt&vi. 使枯萎,使凋谢；使人感觉羞愧或迷惑 "
commuter	 n. 乘公交车辆上下班者
distribute	 v. 分发，分配，散布
excrement	 n. 排泄物，粪便
intelligible	 adj. 可理解的，明白的
contempt	 n. 轻蔑；不尊敬，轻视
palm	 n. 手掌，棕榈
trauma	 n. 损伤，精神创伤
shelter	 n. 隐蔽处；掩蔽，遮蔽；避难所
disregard	 vt&n. 不理，漠视
perennial	 "a. 终年的,四季不断的,持久的 n. 多年生植物"
ownership	 n. 所有权
antagonism	 n. 反对，不喜欢
provided	 conj. 假如，如果
evoke	 v. 唤起；引起
clarity	 n. 清澈，明晰
revolve	 vt&vi. 使旋转；使绕转
ambiguity	 n. 模棱两可；多义词句
charter	 n&v. 特许状，凭照，宪章；租赁 v. 特许
grid	 n. 高压输电线路网；地图坐标方格；格栅
notation	 n. (数学、音乐)的一套符号
slit	 n. 狭长的切口；裂缝 v. 切开，撕裂
hardware	 n. 金属日用器皿，计算机硬件
mercy	 n. 怜悯；宽恕
diameter	 n. 直径
empirical	 adj. 经验主义的
standard	 n. 标准；旗帜
gown	 n. 长袍；长外衣
filter	 n. 滤器，滤光器 v. 滤过，透过
fester	 v. 脓疮，(怨恨等)郁积，恶化
doom	 n. 毁灭，死亡 v. 注定，判定
dub	 v. (以某种称号)授予；给起绰号；复制
matrimony	 n. 婚姻，结婚，婚姻生活
sanitary	 adj. 清洁的，保健的，卫生的
enrich	 v. 使丰富，加料于，增进
