boat	 n. 小船；轮船 v. 划船
ill	 adj. 生病的；坏的；邪恶的；不吉利的 adv. 不利地；恶劣地；几乎不 n. 疾病；不幸
surface	 n. 表面；表层；外观 adj. 表面的，肤浅的 v. 浮出水面
chemistry	 n. 化学；化学过程
twenty	 n. 二十；二十年代 num. 二十 adj. 二十的
suggestion	 n. 建议；示意；微量，细微的迹象
sail	 v. 航行；启航，开船 n. 帆，篷；航行
whether	 conj. 是否；不论 pron. 两个中的哪一个
final	 adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
stay	 v. 停留；坚持；暂住；停下 n. 逗留；停止；支柱
because	 conj. 因为
interview	 n. 接见，采访；面试，面谈 v. 采访；接见；对…进行面谈；对某人进行面试
state	 n. 国家；州；情形 v. 规定；声明；陈述 adj. 国家的；州的；正式的
Wheel	 n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子
which	 pron. 哪/那一个；哪/那一些 adj. 哪一个；哪一些
still	 adv. 仍然；更；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的 n. 寂静；剧照；蒸馏室 conj. 仍然；但是；尽管如此 v. 蒸馏；使…静止；使…平静下来
create	 v. 创造，创作；造成
in	 prep. 按照（表示方式）；从事于；在…之内 adv. 进入；当选；（服装等）时髦；在屋里 adj. 在里面的；时髦的 n. 执政者；门路；知情者
worker	 n. 工人；劳动者；职蚁
these	 pron. 这些 adj. 这些的
solid	 adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
shape	 n. 形状；模型；身材；具体化 v. 形成；塑造，使成形；使符合
homework	 n. 家庭作业，课外作业
chant	 n. 圣歌；赞美诗 v. 唱；诵扬
relation	 n. 关系；叙述；故事；亲属关系
date	 n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）
drug	 n. 药；毒品；麻醉药；滞销货 v. 使服麻醉药；使服毒品；掺麻醉药于
plate	 n. 碟；金属板；金属牌；感光底片 v. 电镀；给…装甲
policy	 n. 政策，方针；保险单
sea	 n. 海；海洋；许多；大量
right	 adj. 正确的；直接的；右方的 v. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地
percent	 n. 百分比，百分率；部分；百分数 adj. 百分之…的 adv. 以百分之…地
corner	 n. 角落，拐角处；地区，偏僻处；困境，窘境 v. 囤积；相交成角
form	 n. 形式，形状；形态，外形；方式；表格 v. 构成，组成；排列，组织；产生，塑造
pity	 n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
lunch	 n. 午餐 v. 吃午餐；供给午餐
towel	 n. 毛巾，手巾；[纸] 纸巾 v. 用毛巾擦
even	 adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 v. 使平坦；使相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文
Christmas	 n. 圣诞节；圣诞节期间
weekday	 n. 平日，普通日；工作日
so	 adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. (So)人名；(柬)索
sad	 adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
dry	 adj. 干的；口渴的；枯燥无味的；禁酒的 v. 把…弄干 n. 干涸
garden	 n. 花园；菜园 v. 栽培花木
tiny	 adj. 微小的；很少的 n. (Tiny)人名；(葡、印)蒂尼
can	 v. 将…装入密封罐中保存 aux. 能； 能够； 可以； 可能 n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
mile	 n. 英里；一英里赛跑；较大的距离
Canada	 n. 加拿大（北美洲国家）
off	 prep. 离开；脱落 adv. 切断；走开 adj. 远离的；空闲的
allow	 v. 允许；给予；认可
invite	 v. 邀请，招待；招致 n. 邀请
thought	 n. 思想；思考；想法；关心 v. 想，思考；认为（think的过去式和过去分词）
handsome	 adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
housework	 n. 家务事
myself	 pron. 我自己；我亲自；我的正常的健康状况和正常情绪
April	 n. 四月
balloon	 v. 激增；膨胀如气球 n. 气球 adj. 像气球般鼓起的
sky	 n. 天空；顶点 v. 把…投向空中；把…挂得过高
storm	 n. 暴风雨；大动荡 v. 起风暴；横冲直撞；狂怒咆哮
biscuit	 n. 小点心，饼干
down	 adv. 向下，下去；在下面 adj. 向下的 n. 软毛，绒毛；[地质] 开阔的高地 prep. 沿着，往下 v. 打倒，击败
Asian	 n. 亚洲人 adj. 亚洲的；亚洲人的
bill	 n. [法] 法案；广告；账单；[金融] 票据；钞票；清单 v. 宣布；开账单；用海报宣传
enjoy	 v. 欣赏，享受；喜爱；使过得快活
heart	 n. 心脏；感情；勇气；心形；要点 vt. 鼓励；铭记 vi. 结心
south	 n. 南方，南边；南部 adv. 在南方，向南方 adj. 南的，南方的
lively	 adj. 活泼的；生动的；真实的；生气勃勃的 n. (Lively)人名；(英)莱夫利
rapid	 adj. 迅速的，急促的；飞快的；险峻的 n. 急流；高速交通工具，高速交通网
frog	 n. 青蛙；[铁路] 辙叉；饰扣 v. 捕蛙
control	 n. 控制；管理；抑制；操纵装置 v. 控制；管理；抑制
toothache	 n. [口腔] 牙痛
clever	 adj. 聪明的；机灵的；熟练的
raise	 v. 提高；筹集；养育；升起 n. 高地；上升；加薪
lead	 n. 领导；铅；导线；榜样 v. 领导；致使；引导；指挥 adj. 带头的；最重要的
deal	 v. 处理；给予；分配；发牌 n. 交易；（美）政策；待遇；份量
package	 n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
what	 pron. 什么；多么；多少 adj. 什么；多么；何等 adv. 到什么程度，在哪一方面 int. 什么；多么
pig	 n. 猪；猪肉 v. 生小猪；像猪一样过活
head	 n. 头；头痛；上端；最前的部分；理解力 v. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 adj. 头的；主要的；在顶端的
experience	 n. 经验；经历；体验 v. 经验；经历；体验
punish	 v. 惩罚；严厉对待；贪婪地吃喝
develop	 v. 开发；进步；使成长；使显影
birthday	 n. 生日，诞辰；诞生的日子
scientist	 n. 科学家
fail	 v. 失败，不及格；破产；缺乏；衰退 n. 不及格
swing	 n. 摇摆；摆动；秋千；音律；涨落 v. 摇摆；转向；悬挂；大摇大摆地行走 adj. 旋转的；悬挂的；强节奏爵士音乐的
everyone	 pron. 每个人；人人 n. 每个人
this	 pron. 这；这个；这里 adj. 这；本；这个；今 adv. 这样地；这么 n. (This)人名；(法)蒂斯
milk	 n. 牛奶；乳状物 v. 榨取；挤…的奶
waste	 n. 浪费；废物；荒地；损耗；地面风化物 v. 浪费；消耗；使荒芜 adj. 废弃的；多余的；荒芜的
absent	 adj. 缺席的；缺少的；心不在焉的；茫然的 v. 使缺席
tomorrow	 n. 明天；未来 adv. 明天；未来地（等于to-morrow）
Internet	 n. 因特网
toothbrush	 n. 牙刷
near	 adj. 近的；亲近的；近似的 adv. 近；接近 prep. 靠近；近似于
body	 n. 身体；主体；大量；团体；主要部分 v. 赋以形体
baby	 n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的
ceiling	 n. 天花板；上限
honest	 adj. 诚实的，实在的；可靠的；坦率的
middle	 adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
away	 adv. 离去，离开；在远处
meaning	 n. 意义；含义；意图 adj. 意味深长的 v. 意味；意思是（mean的ing形式）
evening	 n. 晚上；傍晚；（联欢性的）晚会；后期 adj. 在晚上的；为晚上的；晚上用的 int. 晚上好（等于good evening）
beautiful	 adj. 美丽的
gift	 n. 礼物；天赋；赠品 v. 赋予；向…赠送
pork	 n. 猪肉 vt. 与女子性交
try	 v. 试图，努力；试验；审判；考验 n. 尝试；努力；试验
monkey	 n. 猴子；顽童 v. 胡闹；捣蛋
famous	 adj. 著名的；极好的，非常令人满意的
green	 adj. 绿色的；青春的 n. 绿色；青春 v. 使…变绿色
line	 n. 路线，航线；排；绳 v. 排成一行；划线于；以线条标示；使…起皱纹
factory	 n. 工厂；制造厂；代理店
Saturday	 n. 星期六
trouble	 n. 麻烦；烦恼；故障；动乱 v. 麻烦；使烦恼；折磨
careful	 adj. 仔细的，小心的
cabbage	 n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
winner	 n. 胜利者
protect	 v. 保护，防卫；警戒
correct	 v. 改正；告诫 adj. 正确的；恰当的；端正的
want	 v. 需要；希望；应该；缺少 n. 需要；缺乏；贫困；必需品
rest	 v. 使休息，使轻松；把…寄托于 n. 休息，静止；休息时间；剩余部分；支架
difficult	 adj. 困难的；不随和的；执拗的
accent	 n. 口音；重音；强调；特点；重音符号 v. 强调；重读；带…口音讲话
oneself	 pron. 自己；亲自
coal	 v. 上煤；加煤 n. 煤；煤块；木炭
coin	 v. 铸造（货币）；杜撰，创造 n. 硬币，钱币
real	 adj. 实际的；真实的；实在的 adv. 真正地；确实地 n. 现实；实数
though	 adv. 可是，虽然；不过；然而 conj. 虽然；尽管 prep. 但
divide	 v. 划分；除；分开；使产生分歧 n. [地理] 分水岭，分水线
leaf	 n. 叶子；（书籍等的）一张；扇页 v. 生叶；翻书页
fourth	 adj. 第四的，第四个的；四分之一的 n. 第四，月的第四日；四分之一 num. 第四
treatment	 n. 治疗，疗法；处理；对待
skill	 n. 技能，技巧；本领，技术
their	 pron. 他们的，她们的；它们的 n. (Their)人名；(英)蒂尔；(芬、瑞典)泰尔
danger	 n. 危险；危险物，威胁
cross	 n. 交叉，十字；十字架，十字形物 v. 交叉；杂交；横过 adj. 交叉的，相反的；乖戾的；生气的
point	 n. 要点；得分；标点；[机] 尖端 v. 指向；弄尖；加标点于
now	 adv. 现在；如今；立刻 adj. 现在的 n. 现在；目前 conj. 由于；既然
magic	 n. 巫术；魔法；戏法 adj. 不可思议的；有魔力的；魔术的
would	 aux. 将，将要；愿意 v. will的过去式
cinema	 n. 电影；电影院；电影业，电影制作术
downstairs	 adv. 在楼下 adj. 楼下的 n. 楼下
neither	 conj. 也不；既不 adv. 两个都不；既不……也不 adj. 两者都不的 pron. 两者都不
dirty	 adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的 v. 弄脏
breathe	 v. 呼吸；低语；松口气；（风）轻拂
neck	 n. 脖子；衣领；海峡 v. 搂著脖子亲吻；变狭窄
influence	 n. 影响；势力；感化；有影响的人或事 v. 影响；改变
poor	 adj. 贫穷的；可怜的；贫乏的；卑鄙的 n. (Poor)人名；(英、伊朗)普尔
Sunday	 n. 星期日；礼拜日
bit	 n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt. 控制 adj. 很小的；微不足道的 adv. 有点儿；相当
bird	 n. 鸟；家伙；羽毛球 v. 向…喝倒彩；起哄
happen	 v. 发生；碰巧；偶然遇到
delicious	 adj. 美味的；可口的
operation	 n. 操作；经营；[外科] 手术；[数][计] 运算
pool	 n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
skate	 v. 滑冰；滑过 n. 溜冰；冰鞋
wrong	 adv. 错误地；邪恶地，不正当地 n. 坏事；不公正 adj. 错误的；失常的；不适当的 v. 委屈；无理地对待；诽谤
day	 n. 一天；时期；白昼 adv. 每天；经常在白天地 adj. 日间的；逐日的
golden	 adj. 金色的，黄金般的；珍贵的；金制的 n. (Golden)人名；(英、法、罗、德、瑞典)戈尔登
excuse	 n. 借口；理由 v. 原谅；为…申辩；给…免去
lonely	 adj. 寂寞的；偏僻的 n. 孤独者
silent	 adj. 沉默的；寂静的；无记载的 n. 无声电影
poem	 n. 诗
late	 adj. 晚的；迟的；已故的；最近的 adv. 晚；迟；最近；在晚期
disease	 n. 病，[医] 疾病；弊病 vt. 传染；使…有病
bell	 n. 铃，钟；钟声，铃声；钟状物 v. 装钟于，系铃于
lab	 n. 实验室，研究室
grandson	 n. 孙子；外孙
welcome	 adj. 受欢迎的 n. 欢迎 v. 欢迎 int. 欢迎
daughter	 n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的
meat	 n. 肉，肉类（食用）
path	 n. 道路；小路；轨道
both	 adj. 两个的；两者的 adv. 并；又；两者皆 pron. 双方都；两者都 conj. 既…且… n. (Both)人名；(德、罗、捷、南非、匈)博特
up	 adv. 起来；上涨；向上 prep. 在…之上；向…的较高处 adj. 涨的；起床的；向上的 n. 上升；繁荣
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
thing	 n. 事情；东西；事物；情况
India	 n. 印度（南亚国家）
pick	 v. 挑选；采摘；挖 n. 选择；鹤嘴锄；挖；掩护
area	 n. 区域，地区；面积；范围
explain	 v. 说明；解释
social	 adj. 社会的，社交的；群居的 n. 联谊会；联欢会
weigh	 v. 权衡；考虑；称…重量 n. 权衡；称重量
nine	 n. 九，九个 num. 九；九个 adj. 九的，九个的
nothing	 neg. 没什么；毫不 n. 无；零；不关紧要之事 adv. 毫不；决不 pron. 无事；无物 int. 什么也没有
job	 n. 工作；职业 v. 承包；代客买卖
museum	 n. 博物馆
inside	 n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
patient	 adj. 有耐心的，能容忍的 n. 病人；患者
tomato	 n. 番茄，西红柿
different	 adj. 不同的；个别的，与众不同的
word	 n. [语] 单词；话语；消息；诺言；命令 v. 用言辞表达
lady	 n. 女士，夫人；小姐；妻子
kite	 n. 风筝 v. 使用空头支票；像风筝一样飞；轻快地移动
foreigner	 n. 外地人，外国人
never	 adv. 从未；决不
refuse	 n. 垃圾；废物 v. 拒绝；不愿；抵制
heat	 n. 高温；压力；热度；热烈 v. 使激动；把…加热
fire	 n. 火；火灾；炮火；炉火；热情；激情；磨难 v. 点燃；解雇；开除；使发光；烧制；激动；放枪
perhaps	 adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能 n. 假定；猜想；未定之事
boss	 n. 老板；首领；工头 v. 指挥，调遣；当…的领导
supply	 n. 供给，补给；供应品 v. 供给，提供；补充
socks	 n. 袜子（sock的复数）
yesterday	 n. 昨天；往昔 adv. 昨天
those	 adj. 那些的 pron. 那些（that的复数）
success	 n. 成功，成就；胜利；大获成功的人或事物
website	 n. 网站（全球资讯网的主机站）
similar	 adj. 相似的 n. 类似物
steel	 n. 钢铁；钢制品；坚固 v. 钢化；使冷酷 adj. 钢制的；钢铁业的；坚强的
besides	 adv. 此外；而且 prep. 除…之外
all	 adj. 全部的 adv. 全然地；越发 n. 全部 pron. 全部
advice	 n. 建议；忠告；劝告；通知
music	 n. 音乐，乐曲
practice	 n. 实践；练习；惯例 v. 练习；实习；实行
eight	 num. 八；八个；第八 adj. 八的 n. 八字形
seventy	 n. 七十；七十个；七十岁；七十年代 adj. 七十的；七十个的；七十岁的 num. 七十
worry	 n. 担心；烦恼；撕咬 v. 担心；发愁；折磨
wonder	 n. 惊奇；奇迹；惊愕 v. 怀疑；想知道；惊讶 adj. 奇妙的；非凡的
every	 adj. 每一的，每个的；每隔…的 n. (Every)人名；(英)埃夫里
screen	 n. 屏，幕；屏风 v. 筛；拍摄；放映；掩蔽
hen	 n. 母鸡；女人；雌禽
bread	 n. 面包；生计 v. 在…上洒面包屑
person	 n. 人；身体；容貌，外表；人称
themselves	 pron. 他们自己；他们亲自
chalk	 v. 用粉笔写；用白垩粉擦；记录；规划 n. 粉笔；白垩；用粉笔划的记号 adj. 用粉笔写的
cheese	 n. [食品] 奶酪；干酪；要人 v. 停止 adj. 叛变的；胆小的
sleepy	 adj. 欲睡的；困乏的；不活跃的
sixteen	 adj. 十六的，十六个的 num. 十六
pancake	 n. 薄烤饼；粉饼；平降（全称pancake landing） vi. 平坠着陆；平展 vt. 使平坠著陆；使平展
ton	 n. 吨；很多，大量
hair	 n. 头发；毛发；些微 vt. 除去…的毛发 vi. 生长毛发；形成毛状纤维 adj. 毛发的；护理毛发的；用毛发制成的
granny	 n. 奶奶；外婆；婆婆妈妈的人
cloud	 n. 云；阴云；云状物；一大群；黑斑 v. 使混乱；以云遮敝；使忧郁；玷污
seldom	 adv. 很少，不常
telephone	 n. （美）电话；电话机；电话耳机 v. 打电话
race	 n. 属，种；种族，人种；家庭，门第 v. 使参加比赛；和…竞赛；使急走，使全速行进
computer	 n. 计算机；电脑；电子计算机
listen	 v. 听，倾听；听从，听信 n. 听，倾听
trade	 n. 贸易，交易；行业；职业 v. 交易，买卖；以物易物
may	 aux. 可以，能够；可能，也许；祝，愿；会，能
everything	 pron. 每件事物；最重要的东西；（有关的）一切；万事
instead	 adv. 代替；反而；相反
ours	 pron. 我们的 n. (Ours)人名；(法)乌尔斯
grammar	 n. 语法；语法书
how	 adv. 如何；多少；多么 n. 方法；方式 conj. 如何
she	 pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等） n. 女人；雌性动物
basket	 n. 篮子；（篮球比赛的）得分；一篮之量；篮筐 vt. 装入篮
and	 conj. 和，与；就；而且；但是；然后 n. (And)人名；(土、瑞典)安德
match	 v. 使比赛；使相配；敌得过，比得上；相配；与…竞争 n. 比赛，竞赛；匹配；对手；火柴
perfect	 adj. 完美的；最好的；精通的 v. 使完美；使熟练 n. 完成式
fever	 n. 发烧，发热；狂热 vt. 使发烧；使狂热；使患热病 vi. 发烧；狂热；患热病
especially	 adv. 特别；尤其；格外
problem	 n. 难题；引起麻烦的人 adj. 成问题的；难处理的
bye	 int. 再见 n. 轮空；次要的东西 adj. 次要的
physics	 n. 物理学；物理现象
between	 prep. 在…之间 adv. 在中间
lamp	 n. 灯；照射器 vt. 照亮 vi. 发亮
juice	 n. （水果）汁，液；果汁
animal	 n. 动物
member	 n. 成员；会员；议员
tape	 n. 胶带；磁带；带子；卷尺 v. 录音；用带子捆扎；用胶布把…封住
shame	 n. 羞耻，羞愧；憾事，带来耻辱的人 v. 使丢脸，使羞愧
black	 adj. 黑色的；黑人的；邪恶的 n. 黑色；黑人；黑颜料 v. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
heaven	 n. 天堂；天空；极乐
under	 prep. 低于，少于；在之下 adv. 在下面；在下方 adj. 下面的；从属的
our	 pron. 我们的
national	 adj. 国家的；国民的；民族的；国立的 n. 国民
metal	 n. 金属；合金 v. 以金属覆盖 adj. 金属制的
ready	 adj. 准备好；现成的；迅速的；情愿的；快要…的 n. 现款；预备好的状态 adv. 迅速地；预先 v. 使准备好
celebrate	 v. 庆祝；举行；赞美；祝贺；宣告
fifteen	 n. 十五；十五个；十五人组成的橄榄球队 adj. 十五的 num. 十五
coach	 n. 教练；旅客车厢；长途公车；四轮大马车 v. 训练；指导
sour	 adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的 v. 发酵；变酸；厌烦 n. 酸味；苦事
blind	 adj. 盲目的；瞎的 adv. 盲目地；看不见地 n. 掩饰，借口；百叶窗 v. 使失明；使失去理智
bedroom	 n. 卧室 adj. 两性关系的；城郊住宅区的
chocolate	 n. 巧克力，巧克力糖；巧克力色 adj. 巧克力色的；巧克力口味的
toy	 n. 玩具；小装饰品；不值钱的东西 v. 玩弄；调情；随随便便地对待 adj. 作为玩具的；玩物似的
pound	 n. 英镑；重击，重击声；兽栏；拘留所 v. 捣烂；敲打；监禁，拘留
double	 n. 两倍；双精度型 adj. 双重的；两倍的 v. 加倍，加倍努力；快步走 adv. 双重地；两倍地；弓身地
tiger	 n. 老虎；凶暴的人
strong	 adj. 坚强的；强壮的；牢固的；擅长的 adv. 强劲地；猛烈地 n. (Strong)人名；(英)斯特朗
easy	 adj. 容易的；舒适的 adv. 不费力地，从容地 vi. 停止划桨 vt. 发出停划命令
television	 n. 电视，电视机；电视业
idea	 n. 想法；主意；概念
together	 adv. 一起；同时；相互；连续地；总共 adj. 新潮的；情绪稳定的，做事有效率的
the	 art. 这；那 adv. 更加（用于比较级，最高级前）
love	 n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物 v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕
brush	 n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴 v. 刷；画；
truck	 n. 卡车；交易；手推车 v. 驾驶卡车；以物易物 adj. （美）运货汽车的
mouth	 n. 口，嘴；河口 v. 做作地说，装腔作势地说；喃喃地说出
sick	 adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的 n. 病人 v. 使狗去咬；呕吐；追击
only	 adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
soon	 adv. 快；不久，一会儿；立刻；宁愿
friendly	 adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
wall	 n. 墙壁，围墙；似墙之物 v. 用墙围住，围以墙 adj. 墙壁的
weak	 adj. [经] 疲软的；虚弱的；无力的；不牢固的
money	 n. 钱；货币；财富
railway	 n. （英）铁路；轨道；铁道部门 vi. 乘火车旅行
tool	 n. 工具，用具；器械，机床；手段 v. 使用工具；用机床装备工厂
careless	 adj. 粗心的；无忧无虑的；淡漠的 n. (Careless)人名；(英)凯尔利斯
helpful	 adj. 有帮助的；有益的
five	 n. 五，五个；五美元钞票 num. 五，五个 adj. 五的；五个的
European	 adj. 欧洲的；欧洲人的 n. 欧洲人
term	 n. 术语；学期；期限；条款；(代数式等的)项 v. 把…叫做
yellow	 adj. 黄色的；黄皮肤的 n. 黄色；黄种人；黄色颜料 v. 使变黄或发黄
mirror	 n. 镜子；真实的写照；榜样 v. 反射；反映
condition	 n. 条件；情况；环境；身份 v. 决定；使适应；使健康；以…为条件
position	 n. 位置，方位；职位，工作；姿态；站位 v. 安置；把……放在适当位置
fish	 v. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类
rule	 v. 统治；管辖；裁定 n. 统治；规则
why	 int. 哎呀！什么？ adv. 为什么
visit	 n. 访问；参观；逗留 v. 访问；参观；视察
courage	 n. 勇气；胆量
doll	 n. 洋娃娃；玩偶；无头脑的美丽女人 v. 把…打扮得花枝招展
May	 n. 五月
spring	 n. 春天；弹簧；泉水；活力；跳跃 adj. 春天的 v. 生长；涌出；跃出；裂开
no	 adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号
joy	 n. 欢乐，快乐；乐趣；高兴 v. 欣喜，欢喜
wait	 v. 等候；推迟；延缓 n. 等待；等候
elephant	 n. 象；大号图画纸
dare	 n. 挑战；挑动 v. 敢冒；不惧
general	 adj. 一般的，普通的；综合的；大体的 n. 一般；将军，上将；常规
moment	 n. 片刻，瞬间，时刻；重要，契机
wise	 adj. 明智的；聪明的；博学的 v. 使知道；教导 n. (Wise)人名；(英)怀斯
glass	 n. 玻璃；玻璃制品；镜子 v. 反映；给某物加玻璃
menu	 n. 菜单
wide	 adj. 广泛的；宽的，广阔的；张大的；远离目标的 adv. 广泛地；广阔地；充分地 n. 大千世界
course	 n. 科目；课程；过程；进程；道路；路线，航向；一道菜 v. 追赶；跑过
gentleman	 n. 先生；绅士；有身份的人
open	 adj. 公开的；敞开的；空旷的；坦率的；营业着的 v. 开始；展现 n. 公开；空旷；户外
morning	 n. 早晨；黎明；初期
soft	 adj. 软的，柔软的；温柔的，温和的；软弱的；笨的 adv. 柔软地；温和地 n. 柔性；柔软的东西；柔软部分
upstairs	 adv. 在楼上，向楼上；上楼；往楼上 adj. 楼上的 n. 楼上
vacation	 n. 假期；（房屋）搬出 v. 休假，度假
fifty	 n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
to	 adv. 向前；（门等）关上 prep. 到；向；（表示时间、方向）朝…方向 n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)
kill	 v. 杀死；扼杀；使终止；抵消 n. 杀戮；屠杀 adj. 致命的；致死的
seven	 num. 七个，七 n. 七个，七 adj. 七的；七个的
space	 n. 空间；太空；距离 v. 留间隔
fridge	 n. 电冰箱
ball	 n. 球；舞会 v. 成团块
fly	 v. 飞；驾驶飞机；飘扬 n. 飞行；苍蝇；两翼昆虫 adj. 敏捷的
ask	 v. 问，询问；要求；需要；邀请；讨价 n. (Ask)人名；(芬、瑞典)阿斯克
hand	 n. 手，手艺；帮助；指针；插手 v. 传递，交给；支持；搀扶
scarf	 n. 围巾；嵌接，嵌接处；头巾领巾 v. 披嵌接；用围巾围
development	 n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影
flat	 adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的 adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地 n. 平地；公寓；平面 vt. 使变平；[音乐]使（音调）下降，尤指降半音 vi. 逐渐变平；[音乐]以降调唱（或奏）
below	 adv. 在下面，在较低处；在本页下面 prep. 在…下面 n. (Below)人名；(英、德、芬、瑞典)贝洛
fantastic	 adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的 n. 古怪的人
world	 n. 世界；领域；世俗；全人类；物质生活
since	 conj. 因为；由于；既然；自…以来；自…以后 prep. 自…以来；自…以后 adv. 后来
itself	 pron. 它自己；它本身
whole	 adj. 完整的；纯粹的 n. 整体；全部
terrible	 adj. 可怕的；很糟的；令人讨厌的 adv. 很，非常
such	 adj. 这样的，如此的 n. (Such)人名；(英)萨奇；(德)祖赫
farm	 v. 种田，务农；经营农场 n. 农场；农家；畜牧场
magazine	 n. 杂志；弹药库；胶卷盒
lazy	 adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的 n. (Lazy)人名；(德)拉齐
repair	 v. 修理；修复 n. 修理，修补；修补部位
activity	 n. 活动；行动；活跃
effort	 n. 努力；成就
everybody	 pron. 每个人；人人
victory	 n. 胜利；成功；克服
brown	 adj. 棕色的，褐色的；太阳晒黑的 v. 变成褐色 n. 褐色，棕色
bowl	 n. 碗；木球；大酒杯 v. 玩保龄球；滑动；平稳快速移动
nice	 adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
competition	 n. 竞争；比赛，竞赛
pocket	 n. 口袋；钱；容器 v. 隐藏；忍受；将…放入衣袋 adj. 小型的，袖珍的；金钱上的
September	 n. 九月
minute	 n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录 v. 将…记录下来 adj. 微小的，详细的 [maɪˈnjuːt; US -ˈnuːt; maɪˋnut]
finger	 n. 手指；指针，指状物 v. 伸出；用手指拨弄
surprise	 n. 惊奇，诧异；突然袭击 v. 使惊奇；奇袭 adj. 令人惊讶的
share	 v. 分享，分担；分配 n. 份额；股份
bottom	 n. 底部；末端；臀部；尽头 adj. 底部的 v. 装底；测量深浅；查明真相
fair	 adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人
nod	 n. 点头；打盹；摆动 v. 点头；点头表示
thank	 v. 感谢 n. 感谢 int. 谢谢
on	 adv. 向前地；作用中，行动中；继续着 prep. 向，朝……；关于；在……之上；在……时候 adj. 开着的；发生着的，正在进行中 n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁
usual	 adj. 通常的，惯例的；平常的
improve	 v. 改善，增进；提高…的价值
rice	 n. 稻；米饭 v. 把…捣成米糊状
god	 n. 神；（大写首字母时）上帝 vt. 膜拜，崇拜
sort	 n. 种类；方式；品质 v. 分类；协调；交往
international	 n. 国际组织；国际体育比赛；外国居留者；国际股票 adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的
empty	 adj. 空的；无意义的；无知的；徒劳的 v. 使失去；使…成为空的 n. 空车；空的东西
sense	 n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
expensive	 adj. 昂贵的；花钱的
