paragraph	 n. 段落；短评；段落符号 v. 将…分段
snack	 n. 小吃，快餐；一份，部分 v. 吃快餐，吃点心
preference	 n. 偏爱，倾向；优先权
seize	 v. 抓住；夺取；理解；逮捕
rake	 v. 搜索；用耙子耙；掠过，擦过 n. 耙子；斜度；钱耙；放荡的人，浪子
inherent	 adj. 固有的；内在的；与生俱来的，遗传的
dispute	 v. 辩论；怀疑；阻止；抗拒 n. 辩论；争吵
emigrate	 v. 移居；移居外国
vicious	 adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的 n. (Vicious)人名；(英)维舍斯
exotic	 adj. 异国的；外来的；异国情调的
realistic	 adj. 现实的；现实主义的；逼真的；实在论的
muscular	 adj. 肌肉的；肌肉发达的；强健的
farther	 adv. 更远地；此外；更进一步地 adj. 进一步的；更远的（far的比较级）
waste	 n. 浪费；废物；荒地；损耗；地面风化物 v. 浪费；消耗；使荒芜 adj. 废弃的；多余的；荒芜的
cricket	 n. 板球，板球运动；蟋蟀
preach	 v. 说教；讲道；鼓吹；传道；反复灌输 n. 说教
grieve	 v. 使悲伤，使苦恼 n. (Grieve)人名；(英)格里夫
bruise	 n. 擦伤；挫伤；青肿 v. 使受瘀伤；使受挫伤
daytime	 n. 日间，白天
fame	 n. 名声，名望；传闻，传说 vt. 使闻名，使有名望
terrific	 adj. 极好的；极其的，非常的；可怕的
embed	 v. 栽种；使嵌入，使插入；使深留脑中
nowadays	 adv. 现今；时下 n. 当今
efficient	 adj. 有效率的；有能力的；生效的
officer	 n. 军官，警官；公务员，政府官员；船长 v. 指挥
external	 adj. 外部的；表面的；[药] 外用的；外国的；外面的 n. 外部；外观；外面
surge	 n. 汹涌；大浪，波涛；汹涌澎湃；巨涌 v. 汹涌；起大浪，蜂拥而来
faculty	 n. 科，系；能力；全体教员
depart	 v. 离开；出发，起程；违反；去世 adj. 逝世的
liberate	 v. 解放；放出；释放
register	 v. 登记；注册；记录；挂号邮寄；把…挂号；正式提出 n. 登记；注册；记录；寄存器；登记簿
incur	 v. 招致，引发；蒙受
comfort	 n. 安慰；舒适；安慰者 v. 安慰；使（痛苦等）缓和
coincide	 v. 一致，符合；同时发生
fate	 n. 命运 v. 注定
software	 n. 软件
farm	 v. 种田，务农；经营农场 n. 农场；农家；畜牧场
lag	 n. 落后；迟延；防护套；囚犯；桶板 v. 落后于；押往监狱；加上外套 adj. 最后的
constant	 adj. 不变的；恒定的；经常的 n. [数] 常数；恒量
april	 n. 四月
amiable	 adj. 和蔼可亲的，亲切的 n. (Amiable)人名；(法)阿米亚布勒；(英)阿米娅布尔
worthwhile	 adj. 值得做的，值得花时间的
departure	 n. 离开；出发；违背
shoot	 v. 射击，射中；拍摄；发芽；使爆炸；给…注射 n. 射击；摄影；狩猎；急流
virtual	 adj. [计] 虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
preceding	 adj. 在前的；前述的 v. 在之前（precede的ing形式）
dangerous	 adj. 危险的
stroll	 n. 漫步；闲逛；巡回演出 v. 散步；闲逛；巡回演出
carve	 v. 雕刻；切开；开创 n. (Carve)人名；(西、瑞典)卡韦
vocation	 n. 职业；天职；天命；神召
loyal	 adj. 忠诚的，忠心的；忠贞的 n. 效忠的臣民；忠实信徒
depth	 n. [海洋] 深度；深奥
discourage	 v. 阻止；使气馁
intricate	 adj. 复杂的；错综的，缠结的
motivate	 v. 刺激；使有动机；激发…的积极性
rigorous	 adj. 严格的，严厉的；严密的；严酷的
bachelor	 n. 学士；单身汉；（尚未交配的）小雄兽
taxi	 v. 乘出租车；滑行 n. 出租汽车
inhabitant	 n. 居民；居住者
parachute	 n. 降落伞 v. 跳伞
battle	 n. 战役；斗争 v. 斗争；作战
dental	 adj. 牙科的；牙齿的，牙的 n. 齿音
fabric	 n. 织物；布；组织；构造；建筑物
bait	 v. 引诱；在…中放诱饵；折磨 n. 饵；诱饵
logical	 adj. 合逻辑的，合理的；逻辑学的
straightforward	 adj. 简单的；坦率的；明确的；径直的 adv. 直截了当地；坦率地
prison	 n. 监狱；监禁；拘留所 vt. 监禁，关押
junior	 adj. 年少的；后进的；下级的 n. 年少者，晚辈；地位较低者；大学三年级学生
season	 n. 时期；季节；赛季 v. 给…调味；使适应
adjoin	 v. 毗连，邻接
participate	 v. 参与，参加；分享
parcel	 n. 包裹，小包 v. 打包；捆扎
brow	 n. 眉，眉毛；额；表情
introduction	 n. 介绍；引进；采用；入门；传入
mad	 adj. 疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒
spite	 n. 不顾；恶意；怨恨 v. 刁难；使恼怒
balance	 n. 平衡；余额；匀称 v. 使平衡；结算；使相称
seldom	 adv. 很少，不常
inferior	 adj. 差的；自卑的；下级的，下等的 n. 下级；次品
sovereign	 adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的 n. 君主；独立国；最高统治者
employment	 n. 使用；职业；雇用
heritage	 n. 遗产；传统；继承物；继承权
gene	 n. [遗] 基因，遗传因子
toast	 n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人 v. 向…祝酒，为…干杯
weird	 adj. 怪异的；不可思议的；超自然的 n. （苏格兰）命运；预言
internal	 adj. 内部的；内在的；国内的
subsequent	 adj. 后来的，随后的
humiliate	 v. 羞辱；使…丢脸；耻辱
inherit	 v. 继承；遗传而得
compel	 v. 强迫，迫使；强使发生 n. (Compel)人名；(法)孔佩尔
appetite	 n. 食欲；嗜好
compose	 v. 构成；写作；使平静；排…的版
frank	 adj. 坦白的，直率的；老实的 n. 免费邮寄特权 v. 免费邮寄
equation	 n. 方程式，等式；相等；[化学] 反应式
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
essence	 n. 本质，实质；精华；香精
substitute	 n. 代用品；代替者 v. 替代
harsh	 adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的 n. (Harsh)人名；(英)哈什
maintenance	 n. 维护，维修；保持；生活费用
weigh	 v. 权衡；考虑；称…重量 n. 权衡；称重量
repel	 v. 击退；抵制；使厌恶；使不愉快
globe	 n. 地球；地球仪；球体 vt. 使…成球形 vi. 成球状
excite	 v. 激起；刺激…，使…兴奋
mammal	 n. [脊椎] 哺乳动物
launch	 v. 发射（导弹、火箭等）；发起，发动；使…下水 n. 发射；发行，投放市场；下水；汽艇
pronounce	 v. 发音；宣判；断言
prevalent	 adj. 流行的；普遍的，广传的
temperament	 n. 气质，性情，性格；急躁
filter	 v. 滤过；渗入；慢慢传开 n. 滤波器；[化工] 过滤器；筛选；滤光器
constituent	 n. 成分；选民；委托人 adj. 构成的；选举的
undertake	 v. 承担，保证；从事；同意；试图
sharp	 adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的 adv. 急剧地；锐利地；突然地 n. 尖头；骗子；内行 vt. 磨快；把音调升高 vi. 打扮；升音演奏
shock	 n. 休克；震惊；震动；打击；禾束堆 v. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆 adj. 浓密的；蓬乱的
hedge	 v. 用树篱笆围住；避免作正面答复 n. 对冲，套期保值；树篱；障碍
decisive	 adj. 决定性的；果断的，坚定的
pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
zoom	 n. 急速上升；嗡嗡声；[摄] 变焦摄影 v. 急速上升；摄像机移动
treason	 n. [法] 叛国罪；不忠
astronaut	 n. 宇航员，航天员；太空旅行者
fertilizer	 n. [肥料] 肥料；受精媒介物；促进发展者
cripple	 v. 削弱；使跛；使残废 n. 跛子；残废 adj. 跛的；残废的
slope	 n. 斜坡；倾斜；斜率；扛枪姿势 v. 倾斜；逃走
degenerate	 v. 使退化；恶化 adj. 退化的；堕落的 n. 堕落的人
ribbon	 n. 带；缎带；（勋章等的）绶带；带状物；勋表 vi. 形成带状 vt. 把…撕成条带；用缎带装饰
cage	 n. 笼，兽笼；牢房，监狱 v. 把…关进笼子；把…囚禁起来
jet	 n. 喷射，喷嘴；喷气式飞机；黑玉 adj. 墨黑的 v. 射出
alternate	 v. 交替；轮流 adj. 交替的；轮流的 n. 替换物
gasoline	 n. 汽油
heel	 n. 脚后跟；踵 v. 倾侧
sleeve	 n. [机] 套筒，[机] 套管；袖子，[服装] 袖套 vt. 给……装袖子；给……装套筒
dawn	 n. 黎明；开端 v. 破晓；出现；被领悟
scrape	 n. 刮掉；擦痕；困境；刮擦声 v. 刮；擦伤；挖成
stadium	 n. 体育场；露天大型运动场
forbid	 v. 禁止；不准；不允许；〈正式〉严禁
tomb	 n. 坟墓；死亡 vt. 埋葬
irrespective	 adj. 无关的；不考虑的；不顾的
dissipate	 v. 浪费；使…消散
accordingly	 adv. 因此，于是；相应地；照著
imaginary	 adj. 虚构的，假想的；想像的；虚数的
spectator	 n. 观众；旁观者
drawing	 n. 图画；牵引；素描术 v. 绘画；吸引（draw的ing形式）；拖曳
drip	 v. 滴下；充满；漏下 n. 水滴，滴水声；静脉滴注；使人厌烦的人
aesthetic	 adj. 美的；美学的；审美的，具有审美趣味的
grey	 adj. 灰色的；灰白的 v. 使变成灰色；使变老 n. 灰色
pity	 n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
grope	 v. 摸索；探索 n. 摸索；触摸
erupt	 v. 爆发；喷出；发疹；长牙
situated	 adj. 位于…的；处于…境遇的 v. 使位于；使处于（situate的过去分词）
expertise	 n. 专门知识；专门技术；专家的意见
legend	 n. 传奇；说明；图例；刻印文字
safeguard	 n. [安全] 保护；保卫；保护措施 v. [安全] 保护，护卫
rectify	 v. 改正；精馏；整流
library	 n. 图书馆，藏书室；文库
medieval	 adj. 中世纪的；原始的；仿中世纪的；老式的
zone	 n. 地带；地区；联防 v. 分成区
basin	 n. 水池；流域；盆地；盆
paradigm	 n. 范例；词形变化表
entity	 n. 实体；存在；本质
echo	 v. 反射；重复 n. 回音；效仿
civilian	 adj. 民用的；百姓的，平民的 n. 平民，百姓
plaster	 n. 石膏；灰泥；膏药 v. 减轻；粘贴；涂以灰泥；敷以膏药；使平服
jam	 n. 果酱；拥挤；困境；扣篮 v. 使堵塞；挤进，使塞满；混杂；压碎
guilt	 n. 犯罪，过失；内疚
reciprocal	 adj. 互惠的；相互的；倒数的，彼此相反的 n. [数] 倒数；互相起作用的事物
alongside	 adv. 在旁边 prep. 在……旁边
verge	 v. 濒临，接近；处在边缘 n. 边缘
renovate	 v. 更新；修复；革新；刷新
automatic	 adj. 自动的；无意识的；必然的 n. 自动机械；自动手枪
resist	 v. 抵抗，抗拒；忍耐 n. [助剂] 抗蚀剂；防染剂
heir	 n. [法] 继承人；后嗣；嗣子
timid	 adj. 胆小的；羞怯的
shampoo	 n. 洗发；洗发精 v. 洗发
mistress	 n. 情妇；女主人；主妇；女教师；女能人
seminar	 n. 讨论会，研讨班
weary	 adj. 疲倦的；厌烦的；令人厌烦的 v. 疲倦；厌烦
contradict	 v. 反驳；否定；与…矛盾；与…抵触
barber	 v. 为…理发；修整 n. 理发师
brass	 n. 黄铜；黄铜制品；铜管乐器；厚脸皮
raw	 adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的 n. 擦伤处 vt. 擦伤
prophet	 n. 先知；预言者；提倡者
deduct	 v. 扣除，减去；演绎
rap	 v. 抢走；轻敲；敲击致使；使着迷 n. 轻敲
twin	 v. 使成对 n. 双胞胎中一人 adj. 双胞胎的
ruthless	 adj. 无情的，残忍的
treasure	 n. 财富，财产；财宝；珍品 v. 珍爱；珍藏
repression	 n. 抑制，[心理] 压抑；镇压
peasant	 n. 农民；乡下人
axis	 n. 轴；轴线；轴心国
cellar	 n. 地窖；酒窖；地下室 vt. 把…藏入地窖
magnitude	 n. 大小；量级；[地震] 震级；重要；光度
orthodox	 adj. 正统的；传统的；惯常的；东正教的 n. 正统的人；正统的事物
peach	 n. 桃子；桃树；桃红色；受人喜欢的人（或物） adj. 桃色的；用桃子制成的 v. 告密
adjective	 adj. 形容词的；从属的 n. 形容词
biscuit	 n. 小点心，饼干
wicked	 adj. 邪恶的；恶劣的；不道德的；顽皮的
dine	 v. 进餐，用餐 n. (Dine)人名；(意、葡)迪内；(英)戴恩；(法)迪纳
wooden	 adj. 木制的；僵硬的，呆板的
rag	 n. 破布；碎屑 v. 戏弄；责骂
flush	 n. 激动，洋溢；面红；萌芽；旺盛；奔流 v. 使齐平；发红，使发亮；用水冲洗；使激动 adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
peace	 n. 和平；平静；和睦；秩序
intermittent	 adj. 间歇的；断断续续的；间歇性
tiresome	 adj. 烦人的，无聊的；令人讨厌的
sunrise	 n. 日出；黎明
whirl	 n. 旋转，回旋；昏乱；一连串的事；短暂的旅行 v. 旋转，回旋；急走；头晕眼花
inference	 n. 推理；推论；推断
riddle	 v. 解谜；给出谜；充满于 n. 谜语；粗筛；谜一般的人、东西、事情等
hasty	 adj. 轻率的；匆忙的；草率的；懈怠的 n. (Hasty)人名；(英)黑斯蒂
liability	 n. 责任；债务；倾向；可能性；不利因素
haste	 n. 匆忙；急忙；轻率 vi. 匆忙；赶紧 vt. 赶快
zeal	 n. 热情；热心；热诚
discrepancy	 n. 不符；矛盾；相差
odor	 n. 气味；名声
volleyball	 n. 排球
menu	 n. 菜单
resign	 v. 辞职；放弃；委托；使听从 n. 辞去职务
robe	 n. 长袍，礼服；制服 v. 穿长袍
scent	 n. 气味；嗅觉；痕迹；察觉能力 v. 闻到；发觉；使充满…的气味；循着遗臭追踪
rob	 v. 抢劫；使…丧失；非法剥夺
rod	 n. 棒；惩罚；枝条；权力
avenue	 n. 大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道
weave	 v. 编织；编排；使迂回前进 n. 织物；织法；编织式样
mend	 v. 修理，修补；改善；修改 n. 好转，改进；修补处
technician	 n. 技师，技术员；技巧纯熟的人
memo	 n. 备忘录
roar	 n. 咆哮；吼；轰鸣 v. 咆哮；吼叫；喧闹
vehicle	 n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
brandy	 n. 白兰地酒
deviate	 v. 脱离；越轨
painter	 n. 画家；油漆匠
publicity	 n. 宣传，宣扬；公开；广告；注意
retort	 n. 反驳，顶嘴；曲颈瓶 v. 反驳，反击
hell	 n. 地狱；究竟（作加强语气词）；训斥；黑暗势力 vi. 过放荡生活；飞驰 int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）
landlady	 n. 女房东；女地主；女店主
spade	 n. 铁锹，铲子 v. 铲；把……弄实抹平
alien	 adj. 外国的；相异的，性质不同的；不相容的 n. 外国人，外侨；外星人 v. 让渡，转让
whale	 v. 猛揍；使惨败 n. 鲸；巨大的东西
dish	 n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
polite	 adj. 有礼貌的，客气的；文雅的；上流的；优雅的
mess	 n. 混乱；食堂，伙食团；困境；脏乱的东西 v. 弄乱，弄脏；毁坏；使就餐
proposition	 n. [数] 命题；提议；主题；议题 v. 向…提议；向…求欢
innumerable	 adj. 无数的，数不清的
disc	 n. 圆盘，[电子] 唱片（等于disk） vt. 灌唱片
shave	 v. 剃须，剃毛 n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀
pray	 v. 祈祷；恳求；央求 n. (Pray)人名；(匈)普劳伊；(英)普雷
wrap	 v. 包；缠绕；隐藏；掩护 n. 外套；围巾
joint	 n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉 adj. 共同的；连接的；联合的，合办的 v. 连接，贴合；接合；使有接头
contract	 v. 收缩；感染；订约 n. 合同；婚约
clothes	 n. 衣服
finger	 n. 手指；指针，指状物 v. 伸出；用手指拨弄
exciting	 adj. 令人兴奋的；使人激动的 v. 激动；刺激（excite的ing形式）；唤起
trunk	 n. 树干；躯干；象鼻；汽车车尾的行李箱 vt. 把…放入旅行箱内 adj. 干线的；躯干的；箱子的
stationary	 adj. 固定的；静止的；定居的；常备军的 n. 不动的人；驻军
herb	 n. 香草，药草
decay	 v. 衰退，[核] 衰减；腐烂，腐朽 n. 衰退，[核] 衰减；腐烂，腐朽
chess	 n. 国际象棋，西洋棋
chest	 n. 胸，胸部；衣柜；箱子；金库
blossom	 v. 开花；兴旺；发展成 n. 花；开花期；兴旺期；花开的状态
grin	 v. 露齿而笑，咧着嘴笑 n. 露齿笑
prisoner	 n. 囚犯，犯人；俘虏；刑事被告
grim	 adj. 冷酷的；糟糕的；残忍的 n. (Grim)人名；(英、德、俄、捷、匈)格里姆
skyscraper	 n. 摩天楼，超高层大楼；特别高的东西
prosperous	 adj. 繁荣的；兴旺的
gorgeous	 adj. 华丽的，灿烂的；极好的
corresponding	 adj. 相当的，相应的；一致的；通信的 v. 类似（correspond的ing形式）；相配
drum	 v. 击鼓；大力争取 n. 鼓；鼓声
tease	 v. 取笑；戏弄；梳理；欺负；强求；使起毛 n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
rip	 v. 撕；锯 n. 裂口，裂缝
broom	 n. 扫帚；金雀花 v. 扫除
dive	 v. 潜水；跳水；俯冲；急剧下降 n. 潜水；跳水；俯冲；扑
rim	 n. 边，边缘；轮辋；圆圈 v. 作…的边，装边于
rib	 n. 肋骨；排骨；肋状物 v. 戏弄；装肋于
naked	 adj. 裸体的；无装饰的；无证据的；直率的
thirteen	 n. 十三；十三岁；十三个 num. 十三 adj. 十三的；十三个的
sugar	 n. 糖；食糖；甜言蜜语 v. 加糖于；粉饰
allowance	 n. 津贴，零用钱；允许；限额 v. 定量供应
speculate	 v. 推测；投机；思索
cave	 v. 使凹陷，使塌落；在…挖洞穴 n. 洞穴，窑洞
lick	 v. 舔；卷过；鞭打 n. 舔；打；少许
fluid	 adj. 流动的；流畅的；不固定的 n. 流体；液体
underneath	 prep. 在…的下面；在…的形式下；在…的支配下 adv. 在下面；在底下 n. 下面；底部 adj. 下面的；底层的
sour	 adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的 v. 发酵；变酸；厌烦 n. 酸味；苦事
futile	 adj. 无用的；无效的；没有出息的；琐细的；不重要的
fuse	 v. 融合；熔化，熔融 n. 保险丝，熔线；导火线，雷管
fuss	 v. 小题大作；忙乱；焦燥；焦急；无事自扰 n. 大惊小怪，大惊小怪的人；小题大作；忙乱
soup	 n. 汤，羹；马力 v. 加速；增加马力
commence	 v. 开始；着手；<英>获得学位
overcoat	 n. 大衣，外套
analogue	 n. 类似物；类似情况；对等的人 adj. 类似的；相似物的；模拟计算机的
patrol	 n. 巡逻；巡逻队；侦察队 v. 巡逻；巡查
machinery	 n. 机械；机器；机构；机械装置
rug	 n. 小地毯；毛皮地毯；男子假发
patron	 n. 赞助人；保护人；主顾
lively	 adj. 活泼的；生动的；真实的；生气勃勃的 n. (Lively)人名；(英)莱夫利
laundry	 n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
iron	 n. 熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的
sore	 adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的 n. 溃疡，痛处；恨事，伤心事
canteen	 n. 食堂，小卖部；水壶
pinch	 v. 捏；勒索；使苦恼；掐掉某物，修剪 n. 匮乏；少量；夹痛
apologise	 v. 道歉（等于apologize）
assignment	 n. 分配；任务；作业；功课
insult	 v. 侮辱；辱骂；损害 n. 侮辱；凌辱；无礼
elementary	 adj. 基本的；初级的；[化学] 元素的
baggage	 n. 行李；[交] 辎重（军队的）
lateral	 adj. 侧面的，横向的 n. 侧部；[语] 边音 vt. 横向传球
recreation	 n. 娱乐；消遣；休养
removal	 n. 免职；移动；排除；搬迁
bowel	 n. 肠；内部；同情 vt. 将……的肚肠取出
moist	 adj. 潮湿的；多雨的；含泪的 n. 潮湿
morality	 n. 道德；品行，美德
mute	 adj. 哑的；沉默的；无声的 v. 减弱……的声音；使……柔和 n. 哑巴；弱音器；闭锁音
vase	 n. 瓶；花瓶
friction	 n. 摩擦，[力] 摩擦力
cart	 n. 二轮运货马车 v. 用车装载
rumor	 n. 谣言；传闻 v. 谣传；传说
upgrade	 v. 使升级；提升；改良品种 n. 升级；上升；上坡 adv. 往上 adj. 向上的
lightning	 adj. 闪电的；快速的 n. 闪电 vi. 闪电
rub	 v. 擦；摩擦；惹怒 n. 摩擦；障碍；磨损处
stereo	 n. 立体声；立体声系统；铅版；立体照片 adj. 立体的；立体声的；立体感觉的
shabby	 adj. 破旧的；卑鄙的；吝啬的；低劣的
visa	 n. 签证 v. 签发签证
medal	 n. 勋章，奖章；纪念章
gallop	 n. 疾驰；飞奔 v. 飞驰；急速进行；急急忙忙地说
song	 n. 歌曲；歌唱；诗歌；鸣声
gallon	 n. 加仑（容量单位）
insure	 v. 确保，保证；给…保险
acute	 adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的
breach	 n. 违背，违反；缺口 v. 违反，破坏；打破
accessory	 n. 配件；附件；[法] 从犯 adj. 副的；同谋的；附属的
strenuous	 adj. 紧张的；费力的；奋发的；艰苦的；热烈的
drill	 n. 训练；钻孔机；钻子；播种机 v. 钻孔；训练
accidental	 adj. 意外的；偶然的；附属的；临时记号的 n. 次要方面；非主要的特性；临时记号
successive	 adj. 连续的；继承的；依次的；接替的
mercy	 n. 仁慈，宽容；怜悯；幸运；善行
beneath	 prep. 在…之下 adv. 在下方
chip	 v. 削，凿；削成碎片 n. [电子] 芯片；筹码；碎片；(食物的) 小片; 薄片
plague	 n. 瘟疫；灾祸；麻烦；讨厌的人 v. 折磨；使苦恼；使得灾祸
smuggle	 v. 走私；偷运
chin	 n. 下巴；聊天；引体向上动作 v. 用下巴夹住；与…聊天；在单杠上作引体向上动作
reign	 v. 统治；支配；盛行；君临 n. 统治；统治时期；支配
torrent	 n. 奔流；倾注；迸发；连续不断
subtract	 v. 减去；扣掉
catholic	 adj. 天主教的；宽宏大量的 n. 天主教徒；罗马天主教
gloomy	 adj. 黑暗的；沮丧的；阴郁的
giant	 n. 巨人；伟人；[动] 巨大的动物 adj. 巨大的；巨人般的
feather	 n. 羽毛 v. 用羽毛装饰
conscience	 n. 道德心，良心
relativity	 n. 相对论；相关性；相对性
ridge	 n. 山脊；山脉；屋脊 v. 使成脊状；作垄
camp	 v. 露营；扎营 n. 露营
pint	 n. 品脱；一品脱的量；一品脱牛奶或啤酒
solo	 n. 独奏；独唱；独奏曲 adj. 独奏的；独唱的；单独的 v. 单人攀登；单独驾 adv. 单独地
carbon	 n. [化学] 碳；碳棒；复写纸 adj. 碳的；碳处理的
pine	 v. 渴望，痛苦；憔悴 n. [林] 松树；凤梨，菠萝 adj. 松木的；似松的
sole	 n. 鞋底；脚底；基础；鳎目鱼 adj. 唯一的；单独的；仅有的 v. 触底；上鞋底
elapse	 v. 消逝；时间过去 n. 流逝；时间的过去
outset	 n. 开始；开端
relieve	 v. 解除，减轻；使不单调乏味；换…的班；解围；使放心
cabbage	 n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
combination	 n. 结合；组合；联合；[化学] 化合
bearing	 n. [机] 轴承；关系；方位；举止 v. 忍受（bear的ing形式）
cape	 n. [地理] 海角，岬；披肩
inhabit	 v. 栖息；居住于；占据
precaution	 n. 预防，警惕；预防措施 vt. 警惕；预先警告
bathe	 v. 沐浴；用水洗 n. 洗澡；游泳
pill	 n. 药丸；弹丸，子弹；口服避孕药 v. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
pile	 n. 堆；大量；建筑群 v. 累积；打桩于
limp	 adj. 柔软的，无力的；软弱的 v. 跛行，一拐一拐地走；缓慢费力地前进 n. 跛行
molecule	 n. [化学] 分子；微小颗粒，微粒
robust	 adj. 强健的；健康的；粗野的；粗鲁的
automation	 n. 自动化；自动操作
hoist	 n. 起重机；升起，吊起 v. 升起；吊起
drag	 v. 拖累；拖拉；缓慢而吃力地行进 n. 拖；拖累
spicy	 adj. 辛辣的；香的，多香料的；下流的
injure	 v. 伤害，损害
gracious	 adj. 亲切的；高尚的；和蔼的；雅致的 int. 天哪；哎呀
brother	 n. 兄弟；同事；战友 int. 我的老兄！
bowling	 n. 滚木球戏；保龄球戏 v. 打保龄球（bowl的现在分词）
agitate	 v. 摇动；骚动；使…激动
horror	 n. 惊骇；惨状；极端厌恶；令人恐怖的事物
anecdote	 n. 轶事；奇闻；秘史
plight	 n. 困境；境况；誓约 v. 保证；约定
trumpet	 n. 喇叭；喇叭声 v. 吹喇叭；吹嘘
heat	 n. 高温；压力；热度；热烈 v. 使激动；把…加热
bicycle	 n. 自行车 v. 骑脚踏车
heap	 n. 堆；许多；累积 v. 堆；堆积
heal	 v. 治愈，痊愈；和解 n. (Heal)人名；(英)希尔
police	 n. 警察，警方；治安 v. 监督；管辖；维持治安；为…配备警察 adj. 警察的；有关警察的
longitude	 n. [地理] 经度；经线
yearly	 adj. 每年的 adv. 每年；一年一次 n. 年刊；年鉴
ultraviolet	 adj. 紫外的；紫外线的 n. 紫外线辐射，紫外光
pronoun	 n. 代词
contrive	 v. 设计；发明；图谋
exclaim	 v. 呼喊，惊叫；大声叫嚷
oppress	 v. 压迫，压抑；使……烦恼；使……感到沉重
cheek	 n. 面颊，脸颊；臀部 v. 无礼地向…讲话，对…大胆无礼
adjacent	 adj. 邻近的，毗连的
dwarf	 v. 变矮小 n. 侏儒，矮子 adj. 矮小的
batch	 n. 一批；一炉；一次所制之量 v. 分批处理
symmetry	 n. 对称（性）；整齐，匀称
diagram	 n. 图表；图解 v. 用图解法表示
golden	 adj. 金色的，黄金般的；珍贵的；金制的 n. (Golden)人名；(英、法、罗、德、瑞典)戈尔登
soil	 n. 土地；土壤；国家；粪便；务农；温床 v. 弄脏；污辱
repetition	 n. 重复；背诵；副本
gross	 adj. 总共的；粗野的；恶劣的；显而易见的 v. 总共收入 n. 总额，总数
virus	 n. [病毒] 病毒；恶毒；毒害
interfere	 v. 干涉；妨碍；打扰
sofa	 n. 沙发；长椅
glass	 n. 玻璃；玻璃制品；镜子 v. 反映；给某物加玻璃
noisy	 adj. 嘈杂的；喧闹的；聒噪的
ecology	 n. 生态学；社会生态学
immerse	 v. 沉浸；使陷入
chimney	 n. 烟囱
soft	 adj. 软的，柔软的；温柔的，温和的；软弱的；笨的 adv. 柔软地；温和地 n. 柔性；柔软的东西；柔软部分
furious	 adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
pillar	 n. 柱子，柱形物；栋梁；墩 vt. 用柱支持
magnify	 v. 放大；赞美；夸大
overturn	 v. 推翻；倾覆；破坏 n. 倾覆；周转；破灭
arithmetic	 n. 算术，算法
ingenious	 adj. 有独创性的；机灵的，精制的；心灵手巧的
kin	 n. 亲戚；家族；同族 adj. 同类的；有亲属关系的；性质类似的
slippery	 adj. 滑的；狡猾的；不稳定的
collision	 n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
intact	 adj. 完整的；原封不动的；未受损伤的
madame	 n. （法语）夫人；太太
soak	 v. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透 n. 浸；湿透；大雨
impress	 v. 盖印；强征；传送；给予某人深刻印象 n. 印象，印记；特征，痕迹
soap	 n. 肥皂 v. 将肥皂涂在……上；对……拍马屁（俚语）
tunnel	 n. 隧道；坑道；洞穴通道 v. 挖；在…打开通道；在…挖掘隧道
decent	 adj. 正派的；得体的；相当好的
pillow	 n. 枕头 v. 垫；枕于…；使…靠在
optimum	 adj. 最适宜的 n. 最佳效果；最适宜条件
blackmail	 n. 勒索，敲诈；勒索所得之款 v. 勒索，敲诈
waterfall	 n. 瀑布；瀑布似的东西
honorable	 adj. 光荣的；可敬的；高贵的
