a	 art. 一(个)；每一(个)
frighten	 v. 使惊恐，吓唬
frog	 n. 蛙
from	 prep. 从…来；离开
front	 adj. 前面的 n. 前部
frontier	 n. 边境；边疆；新领域
frost	 n. 冰冻，严寒；霜
frown	 v. 皱眉，蹙额
fruit	 n. 水果；果实；成果
fruitful	 adj. 多产的；肥沃的
fry	 v. 油煎，油炸，油炒
fuel	 n. 燃料 v. 给…加燃料
fulfil	 v. 履行；满足；完成
full	 adj. 满的；完全的
fun	 n. 乐趣，娱乐；玩笑
function	 n. 功能；职务；函数
fund	 n. 资金；基金；存款
fundamental	 adj. 基础的，基本的
funeral	 n. 葬礼，丧礼，丧葬
funny	 adj. 古怪的；滑稽的
fur	 n. 软毛；毛皮，裘皮
furious	 adj. 狂怒的；狂暴的
furnace	 n. 炉子，熔炉；鼓风炉
furnish	 v. 供应，提供；装备
furniture	 n. 家具；装置，设备
further	 adv. 更远地 adj. 更远的
furthermore	 adv. 而且，此外
future	 n. 将来，未来；前途
gain	 v. 获得；增加 n. 增进
gallery	 n. 长廊，游廊；画廊
gallon	 n. 加仑
game	 n. 游戏；比赛；猎物
gang	 n. 一帮，一伙
gap	 n. 缺口；间隔；差距
garage	 n. 车库；加油站
garbage	 n. 垃圾，污物，废料
garden	 n. 花园，菜园；公园
gardener	 n. 园丁，花匠
gas	 n. 煤气；气体；汽油
gaseous	 adj. 气体的，气态的
gasoline	 n. (美)汽油
gasp	 v. 气喘，喘息
gate	 n. 大门；篱笆门
gather	 v. 聚集；集合vt收集
gauge	 v. 量，测量 n. 量器
gay	 adj. 快乐的；鲜明的
gaze	 v. 凝视，盯，注视
general	 adj. 总的；一般的n将军
generally	 adv. 一般地；通常地
generate	 v. 发生；引起；生殖
generation	 n. 一代，一代人；产生
generator	 n. 发电机；发生者
generous	 adj. 慷慨的；宽厚的
genius	 n. 天才，天赋，天资
gentle	 adj. 和蔼的；轻柔的
gentleman	 n. 绅士；有教养的人
gently	 adv. 有礼貌地；柔和地
genuine	 adj. 真的；真正的
geography	 n. 地理，地理学
geometry	 n. 几何，几何学
germ	 n. 微生物，细菌，幼芽
German	 adj. 德国的 n. 德国人
Germany	 n. 德意志，德国
gesture	 n. 姿势，手势；姿态
get	 v. 变得，成为；到达
ghost	 n. 鬼，灵魂；鬼魂
giant	 n. 巨人；巨物
gift	 n. 礼物，赠品；天赋
girl	 n. 女孩子，姑娘；女儿
give	 v. 做，作；送给
glad	 adj. 高兴的；乐意的
glance	 v. 看一下 n. 一瞥
glare	 v. 瞪眼 n. 瞪眼
glass	 n. 玻璃；玻璃杯
glide	 v. 滑动；消逝 n. 滑行
glimpse	 v. 瞥见 n. 一瞥，一看
glitter	 v. 闪闪发光 n. 闪光
globe	 n. 地球，世界；地界仪
gloomy	 adj. 黑暗的；令人沮丧的
glorious	 adj. 光荣的；壮丽的
glory	 n. 光荣；荣誉的事
glove	 n. 手套
glow	 n. 白热光 v. 发白热光
glue	 n. 胶，胶水 v. 胶合
go	 v. 去；走；变为
goal	 n. 球门；得分；目的
goat	 n. 山羊
God	 n. 神，神像；上帝
gold	 n. 金；钱财 adj. 金制的
golden	 adj. 金色的；极好的
golf	 n. 高尔夫球
good	 adj. 好的；有本事的
goodness	 n. 优良，德性，仁慈
goods	 n. 货物，商品
goose	 n. 鹅，雌鹅
govern	 v. 统治，治理；支配
government	 n. 政府；治理；政治
governor	 n. 州长；主管人员
gown	 n. 长袍，长外衣
grace	 n. 优美，文雅；雅致
graceful	 adj. 优美的，优雅的
gracious	 adj. 有礼貌的；仁慈的
grade	 v. 给…分等级 n. 等级
gradual	 adj. 逐渐的；渐进的
gradually	 adv. 逐渐地，逐步地
graduate	 n. 毕业生 v. 大学毕业
grain	 n. 谷物，谷粒；颗粒
grammar	 n. 语法；语法书
grammatical	 adj. 语法上的
gramme	 n. 克(重量单位)
grand	 adj. 宏伟的；重大的
granddaughter	 n. 孙女，外孙女
grandfather	 n. 祖父；外祖父
grandmother	 n. 祖母，外祖母
grandson	 n. 孙子，外孙子
grant	 n. 授给物 v. 授予
grape	 n. 葡萄；葡萄藤
graph	 n. (曲线)图，图表
grasp	 v. 抓紧；掌握 n. 抓
grass	 n. 草；牧草；草地
grateful	 adj. 感激的；令人愉快的
gratitude	 adj. 感激，感谢，感恩
grave	 n. 坟墓 adj. 严重的
gravity	 n. 重力，引力；严重性
gray	 adj. 灰色的 n. 灰色
great	 adj. 大的；伟大的
greatly	 adv. 大大地，非常
greedy	 adj. 贪吃的；贪婪的
Greek	 adj. 希腊的 n. 希腊人
green	 adj. 绿色的 n. 绿色
greenhouse	 n. 温室，玻璃暖房
greet	 v. 问候，招呼；反应
greeting	 n. 问候，招呼，致敬
grey	 adj. 灰色的 n. 灰色
grieve	 v. 使悲痛 v. 悲痛
grind	 v. 磨(碎)；磨快
grip	 v. 握紧，抓牢 n. 紧握
groan	 v. 哼，呻吟 n. 呻吟
grocer	 n. 食品商；杂货商
grocery	 n. 食品杂货店
gross	 adj. 总的；严重的
ground	 n. 地；场地；根据
group	 n. 小组，群 v. 聚集
grow	 v. 生长；变得；增长
growth	 n. 增长；增长量；生长
guarantee	 n. 保证；担保物
guard	 v. 守卫；看守 n. 卫兵
guess	 vt&vi&n. 猜测，推测
guest	 n. 客人，宾客；旅客
guidance	 n. 引导，指导，领导
guide	 n. 导游者 v. 给…导游
guilty	 adj. 内疚的；有罪的
gulf	 n. 海湾
gum	 n. 口香糖；树胶
gun	 n. 枪，炮，手枪
gunpowder	 n. 黑色火药；有烟火药
gymnasium	 n. 体育馆，健身房
habit	 n. 习惯；习性
habitual	 adj. 习惯性的，惯常的
hair	 n. 头发，毛发；毛
haircut	 n. 理发
half	 n. 半，一半 adj. 一半的
hall	 n. 门厅；过道；会堂
halt	 v. 停止；立定 n. 停住
hamburger	 n. 汉堡包，牛肉饼
hammer	 n. 锤，榔头 v. 锤击
hand	 n. 手；人手；指针
handful	 n. 一把；少数，一小撮
handkerchief	 n. 手帕
handle	 n. 柄，把手 v. 拿，触
handsome	 adj. 英俊的；相当大的
handwriting	 n. 笔迹，手迹，书法
handy	 adj. 手边的；便于使用的
hang	 v. 挂，悬；吊死
happen	 v. 发生；碰巧，恰好
happiness	 n. 幸福，幸运；快乐
happy	 adj. 快乐的；幸福的
harbour	 n. 海港，港口 v. 庇护
hard	 adj. 硬的；困难的
harden	 v. 使变硬 v. 变硬
hardly	 adv. 几乎不，简直不
hardship	 n. 艰难，困苦
hardware	 n. 五金器具；硬件
hare	 n. 野兔
harm	 n. 伤害，损害 v. 损害
harmful	 adj. 有害的
harmony	 n. 调合，协调，和谐
harness	 v. 治理 n. 马具，挽具
harsh	 adj. 严厉的；刺耳的
harvest	 n. 收获，收成 v. 收割
haste	 n. 急速，急忙；草率
hasten	 v. 催促 v. 赶紧
hasty	 adj. 急速的；仓促的
hat	 n. 帽子(一般指有边的)
hatch	 v. 孵出 v. (蛋)孵化
hate	 v. 恨，憎恨；不喜欢
hateful	 adj. 可恨的，可恶的
hatred	 n. 憎恶，憎恨，仇恨
have	 v. aux已经 v. 有；吃
hawk	 n. 鹰，隼
hay	 n. 干草
hazard	 n. 危险；公害
he	 pron. (主格)他
head	 n. 头；上端 v. 率领
headache	 n. 头痛；头痛的事
heading	 n. 标题，题词，题名
headline	 n. 大字标题；新闻提要
headmaster	 n. 校长
headquarters	 n. 司令部；总部
heal	 v. 治愈；使和解
health	 n. 健康，健康状况
healthy	 adj. 健康的；有益健康的
heap	 n. (一)堆；大量
hear	 v. 听见；审讯；听说
heart	 n. 心，内心；勇气
heat	 n. 热，炎热 v. 变热
heating	 n. 加热，供暖
heaven	 n. 天堂；天，天空
heavily	 adv. 重重地；大量地
heavy	 adj. 重的；大的；充满的
hedge	 n. 篱笆，树篱；障碍物
heel	 n. 脚后跟，踵，后跟
height	 n. 高，高度；高处
heir	 n. 后嗣，继承人
helicopter	 n. 直升机
hell	 n. 地狱；极大的痛苦
hello	 int. 喂
helmet	 n. 头盔，钢盔
help	 v. 帮助；援助 n. 帮手
helpful	 adj. 给予帮助的；有用的
helpless	 adj. 无助的；无能的
hen	 n. 母鸡，雌禽
hence	 adv. 因此，所以；今后
her	 pron. (宾格)她；她的
herd	 n. 兽群，牧群 v. 放牧
here	 adv. 这里；向这里
hero	 n. 男主角；英雄；勇士
heroic	 adj. 英雄的；英勇的
heroine	 n. 女主角；女英雄
hers	 pron. 她的(所有物)
herself	 pron. 她自己；她亲自
hesitate	 v. 犹豫，踌躇；含糊
hi	 int. 嗨(表示问候等)
hide	 v. 把…藏起来；隐瞒
high	 adj. 高的；高级的 adv. 高
highly	 adv. 高度地，很，非常
highway	 n. 公路；大路
hill	 n. 小山，山岗；丘陵
hillside	 n. (小山)山腰，山坡
him	 pron. (宾格)他
himself	 pron. 他自己；他亲自
hint	 n. 暗示，示意；建议
hire	 v. 租借 n. 租用，雇用
his	 pron. 他的，他的东西
historical	 adj. 历史的，有关历史的
history	 n. 历史；个人经历
hit	 v. 打；碰撞 n. 击
hobby	 n. 业余爱好，癖好
hold	 v. 拿住；掌握；拥有
hole	 n. 洞；孔眼，裂开处
holiday	 n. 假日，节日；假期
hollow	 adj. 空的；空洞的
holy	 adj. 神圣的；圣洁的
home	 n. 家；家乡 adj. 家庭的
honest	 adj. 诚实的；可敬的
honesty	 n. 诚实，正直
honey	 n. 蜜，蜂蜜；甜，甜蜜
honeymoon	 n. 蜜月
honour	 n. 光荣；尊敬，敬意
honourable	 adj. 诚实的；光荣的
hook	 n. 钩，挂钩 v. 钩住
hope	 n&vt&vi. 希望
hopeful	 adj. 有希望的
hopeless	 adj. 没有希望的，绝望的
horizon	 n. 地平线；眼界，见识
horizontal	 adj. 地平的；水平的
horn	 n. 号角；警报器；角
horror	 n. 恐怖；战栗；憎恶
horse	 n. 马；马科动物
horsepower	 n. 马力
hospital	 n. 医院
host	 n. 主人；东道主
hostess	 n. 女主人；空姐
hostile	 adj. 敌方的；不友善的
hot	 adj. 热的；刺激的；辣的
hotel	 n. 旅馆
hour	 n. 小时；时间，时刻
house	 n. 房屋，住宅；商号
household	 n. 家庭，户；家务
housewife	 n. 家庭主妇
how	 adv. 怎么；怎样；多少
however	 adv. 然而；不管怎样
huge	 adj. 巨大的，庞大的
human	 adj. 人的，人类的 n. 人
humble	 adj. 谦逊的；地位低下的
humid	 adj. 湿的，湿气重的
humorous	 adj. 富于幽默的，诙谐的
humour	 n. 幽默，诙谐，幽默感
hundred	 num. 百，百个 n. 许多
hunger	 n. 饿，饥饿；渴望
hungry	 adj. 饥饿的；渴望的
hunt	 n. 打猎；搜寻 v. 追猎
hurry	 v. 赶紧 v. 催促
hurt	 v. 使受伤；使痛心
husband	 n. 丈夫
hut	 n. 小屋，棚屋
hydrogen	 n. 氢
I	 pron. (主格)我
ice	 n. 冰，冰块 v. 冰镇
idea	 n. 想法；思想；意见
ideal	 adj. 理想的；观念的
identical	 adj. 完全相同的；同一的
identify	 v. 认出，识别，鉴定
idiom	 n. 习语，成语
idle	 adj. 空闲的；懒散的
if	 conj. 假如，如果
ignorant	 adj. 不知道的；无知的
ignore	 v. 不顾，不理，忽视
ill	 adj. 有病的；坏的 adv. 坏
illegal	 adj. 不合法的，非法的
illness	 n. 病，疾病
illustrate	 v. (用图等)说明
illustration	 n. 说明，图解；例证
image	 n. 像；形象；映象
imaginary	 adj. 想象中的，假想的
imagination	 n. 想象；想象力；空想
imagine	 v. 想象，设想；料想
imitate	 v. 模仿，仿效；仿制
immediate	 adj. 立即的；直接的
immediately	 adv. 立即；直接地
immense	 adj. 巨大的；极好的
immigrant	 n. 移民 adj. 移民的
impact	 n. 影响，作用；冲击
impatient	 adj. 不耐烦的，急躁的
implication	 n. 含义，暗示，暗指
imply	 v. 暗示，意指
import	 vt&n. 输入，进口
importance	 n. 重要；重要性
important	 adj. 重要的；有势力的
impose	 v. 把…强加；征(税)
impossible	 adj. 不可能的，办不到的
impress	 v. 给…深刻印象
impression	 n. 印；印象；印记
impressive	 adj. 给人印象深刻的
imprison	 v. 关押，监禁；限制
improve	 v. 使更好 v. 改善
improvement	 n. 改进，改善；改进处
in	 prep. 在…里ad进，入
inch	 n. 英寸
incident	 n. 发生的事；事件
incline	 n. 斜坡 v. 使倾斜
include	 v. 包括，包含
income	 n. 收入；收益；进款
incorrect	 adj. 不正确的，错误的
increase	 vt&vi&n. 增加
increasingly	 adv. 日益，越来越多地
indeed	 adv. 真正地；确实
indefinite	 adj. 不明确的；不定的
independence	 n. 独立，自主，自立
independent	 adj. 独立的；自主的
index	 n. 索引；指数；指标
India	 n. 印度
Indian	 adj. 印度的 n. 印度人
indicate	 v. 标示，表示；表明
indication	 n. 指示；表示；表明
indifferent	 adj. 冷漠的；不积极的
indignant	 adj. 愤慨的，义愤的
indirect	 adj. 间接的；不坦率的
indispensable	 adj. 必不可少的，必需的
individual	 adj. 个别的；独特的
indoors	 adv. 在室内，在屋里
industrial	 adj. 工业的；产业的
industrialize	 v. 使工业化
industry	 n. 工业，产业；勤劳
inefficient	 adj. 效率低的，无能的
inevitable	 adj. 不可避免的，必然的
inexpensive	 adj. 花费不多的，廉价的
infant	 n. 婴儿 adj. 婴儿的
infect	 v. 传染；感染
infer	 v. 推论，推断；猜想
inferior	 adj. 下等的；劣等的
infinite	 adj. 无限的；无数的
influence	 n. 影响；势力 v. 影响
influential	 adj. 有影响的；有权势的
inform	 v. 通知，向…报告
information	 n. 消息，信息；通知
inhabit	 v. 居住于，栖息于
inhabitant	 n. 居民，住户
inherit	 v. 继承(传统等)
initial	 adj. 最初的；词首的
injection	 n. 注射，注入；充满
injure	 v. 伤害，损害，损伤
injury	 n. 损害，伤害；受伤处
ink	 n. 墨水，油墨
inn	 n. 小旅店；小酒店
inner	 adj. 内部的；内心的
innocent	 adj. 清白的，幼稚的
input	 n. 输入；投入的资金
inquire	 v. 打听，询问；调查
inquiry	 n. 询问，打听；调查
insect	 n. 昆虫，虫
insert	 v. 插入；嵌入；登载
inside	 prep. 在…里面 n. 内部
insist	 v. 坚持；坚持要求
inspect	 v. 检查，审查；检阅
inspection	 n. 检查，审查；检阅
inspire	 v. 鼓舞；给…以灵感
install	 v. 安装，设置
installation	 n. 安装；装置；设施
instance	 n. 例子，实例，事例
instant	 n. 瞬间 adj. 立即的
instantly	 adv. 立即，即刻
instead	 adv. 代替，顶替；反而
instinct	 n. 本能；直觉；生性
institute	 n. 研究所；学院
institution	 n. 协会；制度，习俗
instruct	 v. 教；指示；通知
instruction	 n. 命令；教学；教训
instrument	 n. 仪器；工具；乐器
insufficient	 adj. 不足的；不适当的
insult	 vt&n. 侮辱，凌辱
insurance	 n. 保险；保险费
insure	 v. 给…保险；确保
intellectual	 n. 知识分子 adj. 智力的
intelligence	 n. 智力；理解力；情报
intelligent	 adj. 聪明的；理智的
intend	 vt. 想要，打算；意指
intense	 adj. 强烈的；紧张的
intensity	 n. 强烈，剧烈；强度
intensive	 adj. 加强的；精耕细作的
intention	 n. 意图，意向，目的
intentional	 adj. 故意的，有意识的
interaction	 n. 相互作用；干扰
interest	 n. 兴趣；利益；利息
interesting	 adj. 有趣的，引人入胜的
interfere	 v. 干涉，干预；妨碍
interference	 n. 干涉，干预；阻碍
interior	 adj. 内的；内地的n内部
intermediate	 adj. 中间的；中级的
internal	 adj. 内的；国内的
international	 adj. 国际的，世界(性)的
interpret	 v. 解释，说明；口译
interpretation	 n. 解释；口译
interpreter	 n. 译员，口译者
interrupt	 v. 打断，打扰；中止
interruption	 n. 中断，打断；障碍物
interval	 n. 间隔；休息；间距
interview	 n. 接见；会见；面谈
intimate	 adj. 亲密的；个人的
into	 prep. 进，入；进入到
introduce	 v. 介绍；引进，传入
introduction	 n. 介绍；引进；引言
invade	 v. 入侵，侵略；侵袭
invasion	 n. 入侵，侵略；侵犯
invent	 v. 发明，创造；捏造
invention	 n. 发明，创造；捏造
inventor	 n. 发明者；发明家
invest	 v. 投资；投入
investigate	 vt&vi. 调查
investigation	 n. 调查，调查研究
investment	 n. 投资，投资额，投入
invisible	 adj. 看不见的，无形的
invitation	 n. 邀请，招待；请柬
invite	 v. 邀请，聘请；招待
involve	 v. 使卷入；牵涉
inward	 adj. 里面的 adv. 向内
iron	 n. 铁；烙铁 v. 烫(衣)
irregular	 adj. 不规则的；不整齐的
island	 n. 岛，岛屿
isolate	 v. 使隔离，使孤立
issue	 n. 问题；发行 v. 发行
it	 pron. 这，那，它
Italian	 adj. 意大利的n意大利人
item	 n. 条，条款；一条
its	 pron. 它的
itself	 pron. 它自己；自身
jacket	 n. 短上衣，茄克衫
jail	 n. 监狱 v. 监禁
jam	 n. 果酱
January	 n. 一月
Japan	 n. 日本，日本国
Japanese	 adj. 日本的 n. 日本人
jar	 n. 罐子，坛子，广口瓶
jaw	 n. 颌，颚
jazz	 n. 爵士音乐，爵士舞曲
jealous	 adj. 妒忌的；猜疑的
jet	 n. 喷气式飞机；喷嘴
jewel	 n. 宝石；宝石饰物
jewish	 adj. 犹太人的
job	 n. 职业；工作；零活
join	 v. 参加；连接
joint	 n. 接头，接缝；关节
joke	 n. 笑话 v. 说笑话
jolly	 adj. 快活的；令人高兴的
journal	 n. 日报，杂志；日志
journalist	 n. 记者，新闻工作者
journey	 n. 旅行，旅程 n. 旅行
joy	 n. 欢乐，喜悦；乐事
joyful	 adj. 十分喜悦的，快乐的
judge	 n. 法官；裁判员
judgement	 n. 意见；审判；判断
juice	 n. (水果等)汁，液
July	 n. 七月
jump	 v. 跳；暴涨 v. 跳过
June	 n. 六月
jungle	 n. 丛林，密林，莽丛
junior	 adj. 年少的 n. 晚辈
jury	 n. 陪审团；评奖团
just	 adv. 刚才；只是；正好
justice	 n. 正义，公正；司法
justify	 vt. 证明…是正当的
keen	 adj. 热心的；激烈的
keep	 v. 保持；坚持
keeper	 n. 看护人；饲养员
kettle	 n. 水壶，水锅
key	 n. 钥匙；键；答案
keyboard	 n. 键盘
kick	 vi&vt&n. 踢
kid	 n. 小孩，儿童，少年
kill	 v. 杀死；扼杀；消磨
kilogram	 n. 千克，公斤
kilometre	 n. 千米，公里
kind	 n. 种类
kindness	 n. 仁慈，好意
king	 n. 国王，君主
kingdom	 n. 王国；领域，界
kiss	 v. 吻 v. 接吻 n. 吻
kitchen	 n. 厨房，灶间
kite	 n. 风筝
knee	 n. 膝，膝盖，膝关节
kneel	 v. 跪，跪下，跪着
knife	 n. 小刀，刀，餐刀
knit	 v. 把…编结 v. 编织
knob	 n. 门把，拉手；旋纽
knock	 vi&vt&n. 敲，击，打
knot	 n. (绳的)结，(树的)节
know	 v. 知道；认识；通晓
knowledge	 n. 知识，学识；知道
lab	 n. 实验室，研究室
label	 n. 标签；标记，符号
laboratory	 n. 实验室，研究室
labour	 n. 劳动；工作；劳工
lace	 n. 鞋带，系带；花边
lack	 vi&vi&n. 缺乏，不足
ladder	 n. 梯子，梯状物
lady	 n. 女士，夫人；贵妇人
lag	 v. 走得慢 n. 落后
lake	 n. 湖
lamb	 n. 羔羊，小羊；羔羊肉
lame	 adj. 跛的；瘸的，残废的
lamp	 n. 灯
land	 n. 陆地；土地 v. 上岸
landing	 n. 上岸，登陆，着陆
landlady	 n. 女房东；女地主
landlord	 n. 地主；房东，店主
lane	 n. (乡间)小路；跑道
language	 n. 语言，语言课程
lantern	 n. 提灯，灯笼
lap	 n. 膝部；一圈
large	 adj. 大的；巨大的
largely	 adv. 大部分；大量地
laser	 n. 激光
last	 adj. 最后的 adv. 最后
late	 adj. 迟的 adv. 迟，晚
lately	 adv. 最近，不久前
later	 adv. 后来；过一会儿
Latin	 adj. 拉丁的 n. 拉丁语
latter	 adj. (两者中)后者的
laugh	 v. 笑，发笑 n. 笑
laughter	 n. 笑，笑声
launch	 v. 发射，投射；发动
laundry	 n. 洗衣房，洗衣店
lavatory	 n. 盥洗室，厕所
law	 n. 法律，法令；法则
lawn	 n. 草地，草坪，草场
lawyer	 n. 律师；法学家
lay	 v. 置放；铺设；设置
layer	 n. 层，层次；铺设者
layout	 n. 布局，安排，设计
lazy	 adj. 懒惰的，懒散的
lead	 n. 铅，铅制品
leader	 n. 领袖，领导人；首领
leadership	 n. 领导
leading	 adj. 指导的；最主要的
leaf	 n. 叶，叶子
league	 n. 同盟，联盟；联合会
leak	 v. 漏；泄露 n. 漏洞
lean	 v. 倾斜，屈身；靠
leap	 v. 跳，跃 n. 跳跃
learn	 vi&vt. 学，学习
learned	 adj. 有学问的；学术上的
learning	 n. 学习；学问，知识
least	 adj. 最少的 adv. 最少
leather	 n. 皮革；皮革制品
leave	 v. 离去 v. 离开
lecture	 n&vi. 演讲，讲课
left	 adj. 左边的 adv. 在左边
leg	 n. 腿，腿部
legal	 adj. 法律的；合法的
legend	 n. 传说，传奇
leisure	 n. 空闲时间；悠闲
lemon	 n. 柠檬，柠檬树
lend	 v. 把…借给，贷(款)
length	 n. 长，长度；一段
lens	 n. 透镜，镜片；镜头
less	 adj. 更少的 adv. 更少地
lessen	 v. 减少，减轻；缩小
lesson	 n. 功课，课；课程
lest	 conj. 惟恐，以免
let	 v. 允许，让；使
letter	 n. 信；证书；字母
level	 n. 水平面 adj. 水平的
lever	 n. 杆，杠杆；控制杆
liable	 adj. 易于…的；可能的
liar	 n. 说谎的人
liberal	 adj. 心胸宽大的；慷慨的
liberate	 v. 解放；释放
liberation	 n. 解放
liberty	 n. 自由；释放；许可
librarian	 n. 图书馆馆长
library	 n. 图书馆；藏书
license	 n. 许可；执照 v. 准许
lick	 v. 舔；舔吃
lid	 n. 盖子，盖，囊盖
lie	 v. 躺，平放；位于
lieutenant	 n. 陆军中尉；副职官员
life	 n. 生命；一生；寿命
lifetime	 n. 一生，终身
lift	 v. 提起，提高 n. 电梯
light	 adj. 轻的，少量的
lighten	 v. 照亮，使明亮
lightly	 adv. 轻轻地，轻松地
lightning	 n. 闪电，闪电放电
like	 v. 喜欢；喜爱；希望
likely	 adj. 可能的 adv. 很可能
likewise	 adv. 同样地；也，又
limb	 n. 肢，臂，翼；树枝
lime	 n. 石灰
limit	 n. 限度；限制；范围
limitation	 n. 限制；限度，局限
limited	 adj. 有限的
line	 n. 线；排；路线；线条
linen	 n. 亚麻布；亚麻织物
liner	 n. 班船，班机
link	 v. 有环连接 n. 环
lion	 n. 狮子；勇猛的人
lip	 n. 嘴唇
liquid	 n. 液体 adj. 液体的
liquor	 n. 酒；溶液，液剂
list	 n. 表，目录 n. 列举
listen	 v. 听，留神听；听从
listener	 n. 听者，听众之一
liter	 n. 升(容量单位)
literary	 adj. 文学(上)的
literature	 n. 文学；文献
little	 adj. 小的；少；幼小的
live	 v. 居住；活 adj. 活的
lively	 adj. 活泼的；逼真的
liver	 n. 肝；肝脏
living	 adj. 活的 n. 生活，生计
load	 v. 装；装满 n. 负载
loaf	 n. 一条面包，一个面包
loan	 n. 贷款；暂借 vt. 借出
local	 adj. 地方的；局部的
locate	 v. 探明，找出，查出
location	 n. 位置，场所
lock	 n. 锁 v. 锁上，锁住
locomotive	 n. 火车头，机车
lodge	 v. 暂住，借宿，投宿
log	 n. 原木，木料
logic	 n. 逻辑，推理；逻辑性
logical	 adj. 逻辑的；符合逻辑的
lonely	 adj. 孤独的；荒凉的
long	 v. 渴望，极想念
look	 v. 看，显得 n. 看
loop	 n. 圈，环，环孔
loose	 adj. 松的；宽松的
loosen	 v. 解开；使松驰
lord	 n. 贵族；上帝
lorry	 n. 运货汽车，卡车
lose	 v. 失去；迷失；输掉
loss	 n. 遗失；损失；失败
lot	 n. 许多，大量；签，阄
loud	 adj. 响亮的；吵闹的
loudspeaker	 n. 扬声器，喇叭
love	 v. 爱，喜欢 n. 爱
lovely	 adj. 可爱的；令人愉快的
lover	 n. 爱好者；情人；情侣
low	 adj. 低的，矮的；低下的
lower	 adj. 较低的 v. 放下
loyal	 adj. 忠诚的，忠心的
loyalty	 n. 忠诚，忠心
luck	 n. 运气；好运，幸运
lucky	 adj. 幸运的；吉祥的
luggage	 n. 行李；皮箱，皮包
lumber	 n. 木材；木料；制材
lump	 n. 团，块；肿块
lunch	 n. 午餐，(美)便餐
lung	 n. 肺脏，肺
luxury	 n. 奢侈，奢华；奢侈品
machine	 n. 机器；机械
mad	 adj. 发疯的；恼火的
madam	 n. 夫人，女士，太太
magazine	 n. 杂志，期刊
magic	 n. 魔法，巫术；戏法
magnet	 n. 磁铁，磁石，磁体
magnetic	 adj. 磁的，有吸引力的
magnificent	 n. 壮丽的；华丽的
maid	 n. 女佣，女仆；少女
mail	 n. 邮件 v. 邮寄
main	 adj. 主要的，最重要的
mainland	 n. 大陆
mainly	 adv. 主要地，大体上
maintain	 v. 维持；赡养；维修
maintenance	 n. 维持，保持；维修
major	 adj. 较大的 n. 专业
majority	 n. 多数，大多数
make	 v. 使；做，制造
male	 adj. 男的，雄的 n. 男子
man	 n. 男人；人；人类
manage	 v. 管理；设法；对付
management	 n. 管理；经营，处理
manager	 n. 经理，管理人
mankind	 n. 人类
manly	 adj. 男子气概的，果断的
manner	 n. 方式；态度；礼貌
manual	 adj. 体力的 n. 手册
manufacture	 v. 制造 n. 制造；产品
manufacturer	 n. 制造商；制造厂
many	 adj. 许多的 pron. 许多人
map	 n. 地图；图；天体图
marble	 n. 大理石
March	 n. 三月
margin	 n. 页边的空白；边缘
marine	 adj. 海的；海上的
mark	 n. 斑点；记号 v. 标明
market	 n. 市场；集市；销路
marriage	 n. 结婚，婚姻；婚礼
married	 adj. 已婚的；婚姻的
marry	 v. 娶，嫁 v. 结婚
marvellous	 adj. 奇迹般的；了不起的
Marxism	 n. 马克思主义
Marxist	 adj. 马克思主义的
mask	 n. 面具；伪装 v. 掩饰
mass	 n. 众多；团；群众
master	 n. 主人；能手；硕士
masterpiece	 n. 杰作，名著
mat	 n. 席子；草席；垫子
match	 n. 比赛，竞赛；对手
mate	 n. 伙伴，同事；配偶
material	 n. 材料；素材a物质的
materialism	 n. 唯物主义
mathematical	 adj. 数学的，数学上的
mathematics	 n. 数学
maths	 n. (英)数学
matter	 n. 事情；物质 v. 要紧
mature	 adj. 成熟的 v. 使成熟
maximum	 n. 最大量 adj. 最大的
may	 v. aux可能；可以，祝
maybe	 adv. 大概，或许；也许
mayor	 n. 市长
me	 pron. (宾格)我
meadow	 n. 草地，牧草地
meal	 n. 膳食，一餐
mean	 v. 作…解释；意指
meaning	 n. 意义，意思；意图
means	 n. 方法，手段，工具
meantime	 n. 其时，其间 adv. 当时
meanwhile	 adv. 同时，当时
measurable	 adj. 可测量的
measure	 v. 量，测量 n. 分量
measurement	 n. 衡量，测量；尺寸
meat	 n. 肉
mechanic	 n. 技工，机械，机修工
mechanical	 adj. 机械的；力学的
mechanically	 adv. 机械地
mechanics	 n. 力学；技术性细节
medal	 n. 奖章，勋章，纪念章
medical	 adj. 医学的；内科的
medicine	 n. 内服药；医学
Mediterranean	 n. 地中海 adj. 地中海的
medium	 n. 媒质；中间a中等的
meet	 v. 遇见 v. 相遇
meeting	 n. 聚集，会合，会见
melon	 n. 瓜，甜瓜
melt	 vi. 融化 vt. 使融化
member	 n. 成员，会员
memorial	 adj. 纪念的；记忆的
memory	 n. 记忆；回忆；存储
mend	 v. 修理，修补，缝补
mental	 adj. 智力的；精神的
mention	 vt&n. 提及，说起
menu	 n. 菜单；饭菜，菜肴
merchant	 n. 商人；零售商
mercury	 n. 水银，汞
mercy	 n. 仁慈，慈悲，恩惠
mere	 adj. 仅仅的；纯粹的
merely	 adv. 仅仅，只不过
merit	 n. 长处，优点；功过
merry	 adj. 欢乐的，愉快的
mess	 n. 混乱，混杂，肮脏
message	 n. 信息，消息；启示
messenger	 n. 送信者，信使
metal	 n. 金属，金属制品
meter	 n. 计量器，计，表
method	 n. 方法，办法；教学法
metre	 n. 米，公尺
