trade	 v. 做买卖；交换
mountainous	 adj. 多山的；山一般的
windy	 adj. 多风的，刮风的
versatile	 adj. 多方面的；通用的
stew	 v. 炖 n. 炖菜
mop	 n. 拖把，墩布；洗碗刷
halve	 v. 对分；平摊
symmetrical	 adj. 对称的，匀称的
symmetry	 n. 对称（性），匀称
provoke	 v. 对…挑衅；激发
resent	 v. 对…不满，怨恨
alignment	 n. 排成直线；结盟，联合
assert	 v. 断言，宣称；维护
affirm	 v. 断言，证实
shortage	 n. 短缺，不足额
ferry	 n. 渡船 v. 运送
jealousy	 n. 妒忌，嫉妒，猜忌
cuckoo	 n. 杜鹃，布谷鸟
gamble	 n. 赌博 v. 冒…的险
jam	 n. 堵塞 v. 使…堵塞
distinct	 adj. 清楚的
solo	 n. 独唱，独奏；独唱曲
dictator	 n. 独裁者，专政者
linger	 v. 逗留，徘徊；拖延
tease	 v. 逗乐，戏弄
fighter	 n. 战斗机；斗争者
champion	 n. 斗士；提倡者
insight	 n. 洞察力；洞悉，见识
cavity	 n. 洞，穴，空腔
jelly	 n. 冻，果冻；胶状物
mobilize	 v. 动员，动员起来
grease	 n. 动物脂，脂肪
disturbance	 n. 动乱；干扰
kinetic	 adj. 动力（学）的；活动的
orient	 n. 东方；亚洲，远东
location	 n. 定位，测位
theorem	 n. 定理；原理，原则
subscribe	 v. 订购；认购；预订
summit	 n. 顶点，最高点；极度
sculpture	 n. 雕刻品；雕刻（术）
electronics	 n. 电子学
pressure	 n. 大气压力
capacitor	 n. 电容器
capacitance	 n. 电容，电容量
electrode	 n. 电极；电焊条
electrician	 n. 电工，电气技师
telex	 n. 电传，用户电报
kindle	 v. 点燃，着火
geology	 n. 地质学；（某地）地质
basement	 n. 地下室；地窖；底层
geographical	 adj. 地理的；地区（性）的
magistrate	 n. 地方法官
mortgage	 n. 抵押贷款 v. 抵押
hostile	 adj. 敌对的；不友好的
whisper	 v. 低声地讲；私下说
underestimate	 v. 低估，看轻
murmur	 n. 低沉连续的声音
equivalent	 adj. 等面（体）积的
enroll	 v. 登记，招收，参军
burner	 n. 煤气头
triumphant	 adj. 得胜的；得意洋洋的
clatter	 n. 得得声，卡嗒声
morality	 n. 道德，美德，品行
theft	 n. 盗窃，偷窃（行为）
attendance	 n. 到场；出席人数
between	 adv. 当中，中间
yolk	 n. 蛋黄，卵黄
cartridge	 n. 弹药筒
detain	 v. 扣押，拘留；耽搁
simple	 adj. 单纯的；迟钝的
simplicity	 n. 单纯，质朴
fill	 v. 担任（职务）；填补
jug	 n. 带柄水罐，大壶
algebra	 n. 代数学
attorney	 n. 代理人；辩护律师
deputy	 n. 代理人 adj. 副的
representative	 adj. 代表性的；代议制的
delegate	 n. 代表，委员，特派员
gorilla	 n. 大猩猩
magnitude	 n. 重大；星等
massacre	 n. 大屠杀，残杀
stride	 v. 大踏步走 n. 大步
embassy	 n. 大使馆；大使的职务
ambassador	 n. 大使，使节
mansion	 n. 大厦，大楼；宅第
multitude	 n. 大批，大群；大量
barley	 n. 大麦
continental	 adj. 大陆的，大陆性的
infinity	 n. 无穷大
steak	 n. 大块牛肉；牛排
butt	 n. 大酒桶，桶
largely	 adv. 主要地
widely	 adv. 大大地
prairie	 n. 大草原，牧场
smash	 v. 打碎，打破，粉碎
sneeze	 v. 打喷嚏
lighter	 n. 打火机，引燃器
snore	 v. 打鼾，打呼噜
thresh	 v. 打谷，脱粒
forge	 v. 打（铁等），锻造
passport	 n. 达到目的的手段
inaccessible	 adj. 达不到的，难接近的
frustrate	 v. 挫败
latent	 adj. 存在但看不见的
frail	 adj. 脆弱的
fragile	 adj. 脆弱的；体质弱的
crisp	 adj. 脆的
catalyst	 n. 催化剂；刺激因素
promotion	 n. 促进；提升
reckless	 adj. 粗心大意的；鲁莽的
vulgar	 adj. 粗俗的，庸俗的
massive	 adj. 粗大的；大而重的
harsh	 adj. 粗糙的；严厉的
jungle	 n. 丛林，密林，莽丛
follow	 v. 从事（职业），经营
overflow	 v. 从…中溢出
smart	 v. 刺疼，扎疼，剧痛
prick	 v. 刺（穿） n. 刺痛
thereafter	 adv. 此后，以后
magnetism	 n. 磁；魅力
porcelain	 n. 瓷 adj. 瓷的，瓷制的
initial	 adj. 词首的
glossary	 n. 词汇表；术语汇编
vocabulary	 n. 词汇表，词汇汇编
stem	 n. 词干
poke	 v. 戳，刺；伸（头等）
lipstick	 n. 唇膏，口红
stainless	 adj. 不锈的；纯洁的
sheer	 adj. 纯粹的；全然的
perpendicular	 adj. 垂直的
author	 n. 创造者，创始人
innovation	 n. 创新，改革；新设施
initiative	 n. 倡议；新方案
puff	 v. 喘气；喷（烟等）
shipwreck	 n. 船舶失事
report	 n. 传说，议论
infectious	 adj. 传染的；感染性的
romance	 n. 传奇；浪漫文学
herald	 n. 传令官；通报者
missionary	 n. 传教士
sensor	 n. 传感器，灵敏元件
circular	 n. 传单，通报，通函
leaflet	 n. 传单
convey	 v. 传达；传播；转让
pierce	 v. 穿透，戳穿
penetration	 n. 穿入；渗透
antenna	 n. 触角；天线
virgin	 n. 处女 adj. 处女的
transaction	 n. 交易；处理
penalty	 n. 处罚，刑罚，罚款
exclusive	 adj. 除外的
notorious	 adj. 臭名昭著的
scandal	 n. 丑事，丑闻；耻辱
specimen	 n. 抽样，样品
extraction	 n. 抽出；提取法
adore	 v. 崇拜，爱慕；很喜欢
worship	 v. 崇拜；做礼拜
bug	 n. 虫子；臭虫
punch	 v. 打孔 n. 冲压机
strife	 n. 冲突，竞争
equator	 n. 赤道，天球赤道
gear	 n. 齿轮，传动装置
persist	 v. 持续，存留
breakfast	 v. 吃早餐
dine	 v. 吃饭
proceeding	 n. 程序，行动，事项
length	 n. 长度
acknowledge	 v. 承认；告知收到
shoulder	 v. 承担；挑起
integrity	 n. 诚实，正直
offer	 v. 出现
membership	 n. 成员资格；会员人数
systematic	 adj. 成体系的
kit	 n. 成套工具；用具包
commend	 v. 称赞，表扬；推荐
brood	 v. 沉思，郁闭地沉思
muse	 v. 沉思，默想，冥想
meditate	 v. 沉思；冥想
hush	 n. 沉默 int. 嘘！
immerse	 v. 沉浸；给…施洗礼
repeal	 v. 撤销
lathe	 n. 车床 v. 用车床加工
row	 n. 吵架，口角
mock	 v. 嘲弄，挖苦
reign	 n. （某君主的）统治时期
supersonic	 adj. 超声的，超声速的
ultrasonic	 adj. 超声的 n. 超声波
surpass	 v. 超过，超越，胜过
nickname	 n. 绰号，诨号
waggon	 n. 敞蓬车厢
spectacle	 n. 场面，景象；奇观
resident	 n. 常住者
haunt	 v. （鬼魂）经常出没
visit	 v. 拜访
frequent	 adj. 常见的；频繁的
shovel	 n. 铲，铁铲 v. 铲
toad	 n. 蟾蜍，癞蛤蟆
diesel	 n. 柴油发动机，内燃机
errand	 n. 差使，差事
ascertain	 vt. 查明，确定，弄清
horizon	 n. 地平线
tactics	 n. 战术，兵法
grassy	 adj. 草多的
herb	 n. 草本植物；香草
groove	 n. 槽
manipulate	 v. 操作；操纵，控制
hatch	 v. 策划；密谋
warehouse	 n. 仓库，货栈
cruelty	 n. 残酷；残酷行为
napkin	 n. 餐巾（纸）
participate	 v. 参与
senator	 n. 参议员
reference	 n. 参考文献；参照物
participant	 n. 参加者
spectator	 n. 参观者，观众
parameter	 n. 参（变）数；参量
recipe	 n. 菜谱，烹饪法
assumption	 n. 假定
rule	 v. 裁决，裁定
substance	 n. 内容，本旨；财产
friction	 n. 摩擦
sermon	 n. 布道，讲道；说教
absent	 adj. 不在的
disagreement	 n. 争论；不一致
awkward	 adj. 令人尴尬的
immortal	 adj. 不朽的；永生的
wretched	 adj. 不幸的
misfortune	 n. 不幸，灾祸，灾难
incompatible	 adj. 不相容的
instability	 n. 不稳定性
incomplete	 adj. 不完全的，未完成的
stuffy	 adj. 不透气的，闷热的
opaque	 adj. 不透明的
improper	 adj. 不适当的；不合理的
dissatisfaction	 n. 不满，不平
watertight	 adj. 不漏水的，防水的
inevitably	 adv. 不可避免地
irrespective	 adj. 不考虑的，不顾的
inaccurate	 adj. 不精密的，不准确的
unreasonable	 adj. 不讲道理的；过高的
undesirable	 adj. 不合需要的；讨厌的
unfit	 adj. 不合适的；无能力的
absurd	 adj. 不合理的，荒唐的
irregularity	 n. 不规则；不整齐
disregard	 v. 不管，不顾 n. 忽视
uncertain	 adj. 不定的；无常的
impurity	 n. 杂质；不纯
inadequate	 adj. 不充足的，不适当的
invariably	 adv. 不变地，永恒地
uneasy	 adj. 不安的；拘束的
mammal	 n. 哺乳动物
supplement	 n. 补角
complement	 v. 补充 n. 补足（物）
compensation	 n. 补偿，赔偿，赔偿费
humanitarian	 adj. 博爱的 n. 慈善家
barge	 n. 驳船；大型游船
fluctuation	 n. 波动
fluctuate	 v. 波动，使波动
invalid	 n. 病人
ward	 n. 病房，病室；监房
strength	 n. 兵力；强度
icy	 adj. 冰冷的；冷冰冰的
objective	 n. 目标 adj. 宾格的
villa	 n. 别墅
characterize	 v. 表现…的特性
signify	 v. 表示，意味着
manifest	 v. 表明 adj. 明显的
seemingly	 adv. 表面上，外表上
superficial	 adj. 表面的；肤浅的
criterion	 n. 标准，准则，尺度
norm	 n. 标准，规范；平均数
heading	 n. 标题，题词，题名
reason	 v. 论证，推断
advocate	 v. 拥护 n. 辩护律师
discrimination	 n. 歧视；辨别；识别力
transform	 v. 变换
loosen	 v. 变松
alteration	 n. 变更，改变
fall	 v. 变成，成为，陷入
program	 v. 编制程序
edit	 v. 编辑，编纂；校订
verge	 n. 边缘，边界
rim	 n. 边；边缘，（眼镜）框
hearth	 n. 壁炉地面；炉边
fireplace	 n. 壁炉
patron	 n. 庇护人；赞助人
diploma	 n. 毕业文凭，学位证书
indispensable	 adj. 必不可少的，必需的
sullen	 adj. 绷着脸不高兴的
bandage	 n. 绷带，包带
breakdown	 n. 崩溃，倒塌，失败
essence	 n. 本质，本体
captive	 adj. 被俘虏的
reverse	 n. 背面，反面
deviation	 n. 背离，偏离；偏差
arctic	 adj. 北极的 n. 北极
tragic	 adj. 悲惨的；悲剧的
woe	 n. 悲哀，悲痛，苦恼
grief	 n. 悲哀，悲痛，悲伤
firework	 n. 爆竹，花炮，烟火
storm	 n. 爆发 v. 猛攻
tyranny	 n. 暴政，专制；残暴
wrath	 n. 暴怒，狂怒，愤慨
tyrant	 n. 暴君；专制君主
panther	 n. 豹，黑豹；美洲狮
leopard	 n. 豹
grumble	 v. 抱怨，发牢骚
announce	 v. 报告…的来到
vengeance	 n. 报复，报仇，复仇
fortress	 n. 堡垒，要塞
assurance	 n. 保证
fuse	 n. 保险丝；导火线
reservation	 n. 预定，预订；保留意见
safeguard	 n. 保护措施
preservation	 n. 保存，储藏；保持
saturation	 n. 饱和（状态）；浸透
mist	 n. 薄雾 v. 下薄雾
chip	 n. 薄片，碎片
inclusive	 adj. 包括的
siege	 n. 包围，围攻，围困
embrace	 v. 包括，包含
baseball	 n. 棒球运动；棒球
hemisphere	 n. 半球
radius	 n. 半径距离，半径范围
scar	 n. 瘢痕
liner	 n. 班船，定期班机
trigger	 n. 扳机 v. 触发，引起
tar	 n. 柏油；焦油
blind	 n. 百叶窗；窗帘；遮帘
shutter	 n. 百叶窗；（相机）快门
lily	 n. 百合，百合花
millionaire	 n. 百分富翁，巨富
white	 adj. 白种（人）的
blond	 n. 白肤金发碧眼的人
idiot	 n. 白痴；傻子
bank	 v. 把钱存入银行
tabulate	 v. 把…制成表
bestow	 v. 把…赠与
subdivide	 v. 把…再分
dock	 v. 把…引入船坞
straighten	 v. 把…弄直；挺起来
flatten	 v. 把…弄平；击倒
ascribe	 v. 把…归于
except	 v. 把…除外，除去
entitle	 v. 把…称作
ballet	 n. 芭蕾舞；芭蕾舞剧
haughty	 adj. 傲慢的，轻蔑的
foul	 adj. 肮脏的；丑恶的
assassinate	 v. 暗杀，行刺；中伤
burial	 n. 安葬，埋葬；埋藏
luxurious	 adj. 爱好奢侈的，豪华的
patriot	 n. 爱国者，爱国主义者
patriotic	 adj. 爱国的
dwarf	 n. 矮子，侏儒
stout	 adj. 肥胖的；厚实牢固的
alas	 int. 唉，哎呀
Egyptian	 adj. 埃及的 n. 埃及人
pathetic	 adj. 哀婉动人的；可怜的
should	 v. 应该；竟然会
ought	 v. 早应该，本应
scripture	 n. 《圣经》；圣书
referee	 n. （足球等）裁判员
pendulum	 n. （钟等的）摆
shuttle	 n. （织机的）梭
outbreak	 n. （战争、愤怒等）爆发
market	 v. 推销
gross	 adj. （语言、举止）粗俗的
heave	 v. （用力地）举起；抛
pop	 v. （意外地）出现
lining	 n. （衣服里的）衬里
mild	 adj. 味淡的
panel	 n. （选定的）专门小组
rigorous	 adj. 严格的
climax	 n. 顶点
epoch	 n. （新）时代；历元
shrimp	 n. （小）虾，河虾，褐虾
peak	 n. （物体的）尖端
cane	 n. （藤等）茎；手杖
drain	 v. （水等）流掉
switch	 n. （树木的）软枝条
board	 v. 付费（在某人家里）膳宿
immigrate	 v. （使）移居入境
disperse	 v. （使）分散；驱散
lump	 v. （使）成团，结块
deviate	 v. （使）背离，偏离
pose	 v. （使）摆好姿势
expenditure	 n. （时间等）支出，消费
elapse	 v. （时间）过去，消逝
hoarse	 adj. （声音）嘶哑的
clearing	 n. （森林中的）空旷地
shade	 n. （色彩的）浓淡，深浅
eclipse	 n. （日，月）食
constitution	 n. （人的）体格，素质
spill	 n. （人）摔下，跌下
unanimous	 adj. （全体）一致的
quiver	 v. （轻微地）颤动
perch	 n. （禽鸟的）栖木
span	 n. （桥墩间的）墩距
pier	 n. 码头；（桥）墩
frock	 n. （女）连衣裙
flutter	 v. （鸟）振翼；飘动
resume	 n. （谋职者的）个人简历
clown	 n. （马戏的）小丑，丑角
pace	 v. 踱步
lounge	 n. （旅馆等的）休息室
pope	 n. （罗马天主教的）教皇
axle	 n. （轮）轴，车轴，心棒
measurement	 n. （量得的）尺寸，大小
realization	 n. （理想等的）实现
chord	 n. 和弦
pyjamas	 n. （宽大的）睡衣裤
elegant	 adj. （举止、服饰等）雅致的
hard	 adj. （酒）烈性的
refreshment	 n. （精力的）恢复，爽快
ticket	 n. （交通违章）罚款传票
gesture	 v. （讲话时等）做手势
situation	 n. （建筑物等的）位置
software	 n. （计算机的）软件
bishop	 n. （基督教的）主教
insert	 v. 插入，放进
kernel	 n. （果实的）核；谷粒
wisdom	 n. 智慧
growl	 v. （狗等）嗥叫；咆哮
shaft	 n. （工具的）柄，杆状物
buzz	 v. （蜂等）嗡嗡叫
breed	 n. （动物）品种
ear	 n. （稻麦等的）穗
dean	 n. （大学）院长，系主任
fertile	 adj. （创造力）丰富的
sink	 n. （厨房内的）洗涤槽
versus	 prep. （比赛等中）对
ranch	 n. （北美洲的）大牧场
grope	 v. （暗中）摸索，探索
pedlar	 n. （挨户兜售的）小贩
rally	 v. 集合
squat	 v. （使）蹲下
fling	 v. （用力）扔，抛
scrub	 v. 擦洗，擦净 n. 擦洗
tread	 v. 踩，踏，践踏
crack	 v. 发出爆裂声
slander	 n. 诽谤，诋毁 v. 诽谤，诋毁
escort	 v. 护卫，护送 n. 护卫者，护送车辆
swell	 v. 使膨胀；隆起
menace	 n. 威胁 v. （进行）威胁
tramp	 v. 以沉重的脚步走（过） n. 跋涉
trample	 v. 践踏，蹂躏 n. 践踏，蹂躏
suicide	 n. 自杀 v. 自杀
tighten	 v. （使）变紧
jingle	 v. （使）丁当响
fret	 v. （使）烦恼
thrill	 v. （使）激动
deflect	 v. （使）偏斜
tilt	 v. （使）倾斜
revolve	 v. （使）旋转
rotate	 v. （使）旋转
compensate	 v. 补偿，赔偿
default	 n. 不履行义务 v. 不履行义务
infer	 v. 推断
repay	 v. 偿还；报答
scoff	 v. 嘲笑，嘲弄
hoe	 v. 锄地
retort	 v. 反击；反驳
broaden	 v. 放宽，变阔
decompose	 v. 腐败；分解
chorus	 v. 合唱，齐声说
supervise	 v. 监督，监视
beware	 v. 谨防，当心
grab	 v. 攫取，抓取
entreat	 v. 恳求
concentrate	 v. 浓缩，提浓
urge	 v. 强烈希望
riot	 n. 骚乱，暴乱 v. 发动骚乱
shrug	 v. 耸（肩） n. 耸肩
revive	 v. 苏醒；复兴
terminate	 v. 停止，终止
solidify	 v. 凝固
dazzle	 v. 使目眩；使倾倒
transplant	 v. 移植（器官、皮肤等）；移植，移种（植物）
xerox	 v. 用静电复印
peck	 v. 啄，啄起
trot	 v. （马）小跑 n. （马）小跑；慢跑
ridicule	 v. 嘲弄，挖苦 n. 嘲弄，挖苦
chatter	 v. 喋喋不休 n. 喋喋不休
sneer	 v. 冷笑；嘲笑 n. 冷笑；嘲笑
boycott	 v. 联合抵制 n. 抵制行动，受抵制时期
plunder	 v. 掠夺，劫掠 n. 掠夺，抢劫
endeavor	 v. 努力，尽力 n. 努力，尝试
scramble	 v. 爬行，攀登 n. 爬行，攀登
flap	 v. 拍打 n. 拍打，拍动
slaughter	 v. 屠杀；屠宰 n. 屠杀；屠宰
tow	 v. 拖引，牵引 n. 拖引，牵引
credit	 v. 相信，信任 n. 相信，信任
clockwise	 adv. 顺时针方向转地 adj. 顺时针方向转的
headlong	 adv. 头向前地 adj. 头向前的
counter	 adv. 相反地 adj. 相反的
eastward	 adv. 向东
Moslem	 n. 穆斯林 adj. 穆斯林的
melancholy	 n. 忧郁的 adj. 忧郁，悲伤
bulletin	 n. 告示，公告，公报
allowance	 n. 津贴，补助费
