pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
wreckage	 n. （失事船或飞机等的）残骸；（船只等的）失事
enquiry	 n. [计] 询问，[贸易] 询盘
safety	 n. 安全；保险；安全设备；保险装置；安打
observe	 v. 庆祝
book	 n. 书籍；卷；帐簿；名册；工作簿 v. 预订；登记
clap	 v. 鼓掌，拍手；啪地关上 n. 鼓掌；拍手声
boom	 v. 使兴旺；发隆隆声 n. 繁荣；吊杆；隆隆声
channel	 v. 引导，开导；形成河道 n. 通道；频道；海峡
seasonal	 adj. 季节的；周期性的；依照季节的
bright	 adj. 明亮的，鲜明的；聪明的；愉快的 adv. 明亮地；光明地；欢快地 n. 车头灯光
external	 adj. 外部的；表面的；[药] 外用的；外国的；外面的 n. 外部；外观；外面
deductible	 adj. 可扣除的；可减免的
desktop	 n. 桌面；台式机
particular	 adj. 特别的；详细的；独有的；挑剔的 n. 详细说明；个别项目
awareness	 n. 意识，认识；明白，知道
warehouse	 n. 仓库；货栈；大商店 v. 储入仓库；以他人名义购进（股票）
float	 v. 使漂浮；实行 n. 彩车，花车；漂流物；浮舟；浮萍
obsolescent	 adj. 荒废的；即将过时的；逐渐被废弃的
married	 adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的 n. 已婚者 v. 结婚，与…结婚（marry的过去式）
DP	 abbr. 防潮的（Damp Proofing）；民主党（Democratic Party）；露点（Dew Point）；数据处理（Data Processing）；难民（Displaced Person）；棒球双杀（Double Play）
psychology	 n. 心理学；心理状态
thereby	 adv. 从而，因此；在那附近；在那方面
judgement	 n. 意见；判断力；[法] 审判；评价
salary	 vt. 给加薪；给薪水 n. 薪水
hungry	 adj. 饥饿的；渴望的；荒年的；不毛的
substantial	 adj. 大量的；实质的；内容充实的 n. 本质；重要材料
duplicate	 v. 复制；使加倍 n. 副本；复制品 adj. 复制的；二重的
recession	 n. 衰退；不景气；后退；凹处
ritual	 n. 仪式；惯例；礼制 adj. 仪式的；例行的；礼节性的
enjoyable	 adj. 快乐的；有乐趣的；令人愉快的
extract	 v. 提取；取出；摘录；榨取 n. 汁；摘录；榨出物；选粹
stationery	 n. 文具；信纸
project	 v. 设计；计划；表达；投射 n. 工程；计划；事业
divulge	 v. 泄露；暴露
aspect	 n. 方面；方向；形势；外貌
urge	 v. 力劝，催促；驱策，推进 n. 强烈的欲望，迫切要求；推动力
bite	 v. 咬；刺痛 n. 咬；一口；咬伤；刺痛 abbr. 机内测试设备（Built-In Test Equipment）
discuss	 v. 讨论；论述，辩论
skeptical	 adj. 怀疑的；怀疑论的，不可知论的
consign	 v. 交付；托运；寄存；把…委托给
opening	 n. 开始；机会；通路；空缺的职位 adj. 开始的 v. 开放（open的ing形式）；打开；公开
histogram	 n. [统计] 直方图；柱状图
temp	 n. 临时雇员 v. 做临时工作 abbr. 温度（temperature）
bitter	 adj. 苦的；痛苦的；尖刻的；充满仇恨的 n. 苦味；苦啤酒 adv. 激烈地；严寒刺骨地 v. 使变苦
wealth	 n. 财富；大量；富有
gravitate	 v. 受引力作用；被吸引
hypermarket	 n. 大规模超级市场
innovate	 v. 创新；改革；革新
nail	 v. 钉；使固定；揭露 n. [解剖] 指甲；钉子
knowledge	 n. 知识，学问；知道，认识；学科
smooth	 adj. 顺利的；光滑的；平稳的 v. 使光滑；消除（障碍等）；使优雅；缓和 n. 平滑部分；一块平地 adv. 光滑地；平稳地；流畅地
scandal	 n. 丑闻；流言蜚语；诽谤；公愤
creditworthy	 adj. 信誉卓著的，有信誉的
depart	 v. 离开；出发，起程；违反；去世 adj. 逝世的
rival	 n. 对手；竞争者 v. 与…竞争；比得上某人 adj. 竞争的
intermediation	 n. 调解；仲裁；调停；作中间人
prospect	 n. 前途；预期；景色 v. 勘探，找矿
perceive	 v. 察觉，感觉；理解；认知
jargon	 n. 行话，术语；黄锆石
currency	 n. 货币；通货
training	 n. 训练；培养；瞄准；整枝 v. 训练；教养（train的ing形式）
aviation	 n. 航空；飞行术；飞机制造业
authority	 n. 权威；权力；当局
divest	 v. 剥夺；使脱去，迫使放弃
recognize	 v. 认出，识别；承认
emphasis	 n. 重点；强调；加强语气
instinctive	 adj. 本能的；直觉的；天生的
ensure	 v. 保证，确保；使安全
member	 n. 成员；会员；议员
tilt	 v. 倾斜；翘起；以言词或文字抨击 n. 倾斜
meaning	 n. 意义；含义；意图 adj. 意味深长的 v. 意味；意思是（mean的ing形式）
till	 n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
electronic	 adj. 电子的 n. 电子电路；电子器件
drown	 v. 淹没；把…淹死 n. (Drown)人名；(英)德朗
compensation	 n. 补偿；报酬；赔偿金
register	 v. 登记；注册；记录；挂号邮寄；把…挂号；正式提出 n. 登记；注册；记录；寄存器；登记簿
subjugate	 v. 征服；使服从；克制
invest	 v. 投资；覆盖；耗费；授予；包围
utility	 n. 实用；效用；公共设施；功用 adj. 实用的；通用的；有多种用途的
incur	 v. 招致，引发；蒙受
bottleneck	 n. 瓶颈；障碍物
elegant	 adj. 高雅的，优雅的；讲究的；简炼的；简洁的
mediation	 n. 调解；仲裁；调停
base	 n. 基础；底部；垒 adj. 卑鄙的；低劣的 v. 以…作基础
antedate	 v. 先于；前于 n. 比实际提前的日期
coincide	 v. 一致，符合；同时发生
precise	 adj. 精确的；明确的；严格的
gratitude	 n. 感谢（的心情）；感激
congratulation	 n. 祝贺；贺辞
deregulation	 n. 违反规定，反常；撤消管制规定
competent	 adj. 胜任的；有能力的；能干的；足够的
client	 n. [经] 客户；顾客；委托人
bookkeeper	 n. 簿记员；会计员；铁路的司旗员
broadcast	 v. 播送，播放；（无线电或电视）广播；播撒（种子） n. 广播；播音；广播节目 adj. 广播的
qualify	 v. 限制；使具有资格；证明…合格
takings	 n. [会计] 收入；[金融] 进款
bounce	 n. 跳；弹力；活力 v. 弹跳；使弹起
adjourn	 v. 休会；延期；换地方
appointee	 n. 被任命者
entrant	 n. 进入者；新会员；参加竞赛者；新工作者
software	 n. 软件
overdraft	 n. [金融] 透支；[金融] 透支额 vt. [金融] 透支
terminal	 n. 末端；终点；终端机；极限 adj. 末端的；终点的；晚期的
component	 adj. 组成的，构成的 n. 成分；组件；[电子] 元件
specimen	 n. 样品，样本；标本
adversarial	 adj. 对抗的；对手的，敌手的
bank	 n. 银行；岸；浅滩；储库 v. 将…存入银行；倾斜转弯
widespread	 adj. 普遍的，广泛的；分布广的
overall	 adj. 全部的；全体的；一切在内的 adv. 全部地；总的说来 n. 工装裤；罩衫
tank	 n. 坦克；水槽；池塘 v. 把…贮放在柜内；打败
climate	 n. 气候；风气；思潮；风土
founder	 v. 失败；沉没；倒塌；变跛 n. 创始人；建立者；翻沙工
codetermination	 n. 共同决策制；劳资协同经营制度
monitor	 n. 监视器；监听器；监控器；显示屏；班长 v. 监控
spectrum	 n. 光谱；频谱；范围；余象
motive	 n. 动机，目的；主题 adj. 发动的；成为动机的 vt. 使产生动机，激起
fulfill	 v. 履行；实现；满足；使结束（等于fulfil）
mandatory	 adj. 强制的；托管的；命令的 n. 受托者（等于mandatary）
ascertain	 v. 确定；查明；探知
BA	 abbr. 文学士（Bachelor of Arts）
entrepreneurial	 adj. 企业家的，创业者的；中间商的
cream	 n. 奶油，乳脂；精华；面霜；乳酪
rally	 v. 团结；重整；恢复；（网球等）连续对打 n. 集会；回复；公路赛车会
sign	 n. 迹象；符号；记号；手势；指示牌 v. 签署；签名
weakness	 n. 弱点；软弱；嗜好
refuse	 n. 垃圾；废物 v. 拒绝；不愿；抵制
discern	 v. 识别；领悟，认识
devalue	 v. 使贬值；降低…的价值
distinguish	 v. 区分；辨别；使杰出，使表现突出
economics	 n. 经济学；国家的经济状况
insurance	 n. 保险；保险费；保险契约；赔偿金
guidance	 n. 指导，引导；领导
disparate	 adj. 不同的；不相干的；全异的 n. 无法相比的东西
deteriorate	 v. 恶化，变坏
measure	 n. 测量；措施；程度；尺寸 v. 测量；估量；权衡
bill	 n. [法] 法案；广告；账单；[金融] 票据；钞票；清单 v. 宣布；开账单；用海报宣传
promotion	 n. 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴
negotiable	 adj. 可通过谈判解决的；可协商的
scrutinize	 v. 细阅；作详细检查 n. 仔细或彻底检查
culminate	 v. 到绝顶；达到高潮；达到顶点
insider	 n. 内部的人，会员；熟悉内情者
embargo	 v. 禁止出入港口；禁止或限制贸易；征用或扣押 n. 禁令；禁止；封港令
analysis	 n. 分析；分解；验定
lab	 n. 实验室，研究室
simulation	 n. 仿真；模拟；模仿；假装
annuity	 n. 年金，养老金；年金保险；年金享受权
response	 n. 响应；反应；回答
invent	 v. 发明；创造；虚构
acknowledgement	 n. 承认；确认；感谢
pilot	 n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
spoil	 v. 溺爱；糟蹋；破坏；掠夺 n. 次品；奖品
altogether	 adv. 完全地；总共；总而言之 n. 整个；裸体
packing	 n. 包装；填充物 v. 包装；装满；压紧（pack的ing形式）
activity	 n. 活动；行动；活跃
complaint	 n. 抱怨；诉苦；疾病；委屈
calendar	 n. 日历；[天] 历法；日程表 v. 将…列入表中；将…排入日程表
facilities	 n. 设施；工具，设备
law	 n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉
amortize	 v. 摊销（等于amortise）；分期偿还
CV	 abbr. 简历（Curriculum Vitae）
depend	 v. 依赖，依靠；取决于；相信，信赖
lay	 v. 躺下；产卵；搁放；放置；铺放；涂，敷 adj. 世俗的；外行的；没有经验的 n. 位置；短诗；花纹方向；叙事诗；性伙伴
kite	 n. 风筝 v. 使用空头支票；像风筝一样飞；轻快地移动
cable	 n. 缆绳；电缆；海底电报 v. 打电报
worthwhile	 adj. 值得做的，值得花时间的
departure	 n. 离开；出发；违背
reimbursement	 n. 退还，偿还；赔偿
disrupt	 v. 破坏；使瓦解；使分裂；使中断；使陷于混乱 adj. 分裂的，中断的；分散的
forge	 n. 熔炉，锻铁炉；铁工厂 v. 伪造；做锻工；前进
theoretical	 adj. 理论的；理论上的；假设的；推理的
scarce	 adj. 缺乏的，不足的；稀有的 adv. 仅仅；几乎不；几乎没有
amelioration	 n. 改进，改善
inflationary	 adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
authorize	 v. 批准，认可；授权给；委托代替
orient	 v. 使适应；确定方向；使朝东 n. 东方；东方诸国 adj. 东方的
great	 adj. 伟大的，重大的；极好的，好的；主要的 n. 大师；大人物；伟人们
nuclear	 adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
source	 n. 来源；水源；原始资料
obligate	 v. 使负义务；强使，强迫；对…施以恩惠 adj. 有责任的，有义务的；必需的
piracy	 n. 海盗行为；剽窃；著作权侵害；非法翻印
harbor	 v. 庇护；怀有 n. 海港；避难所
appearance	 n. 外貌，外观；出现，露面
reason	 n. 理由；理性；动机 v. 推论；劝说
verify	 v. 核实；查证
package	 n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
involve	 v. 包含；牵涉；使陷于；潜心于
chequebook	 n. 支票本
highlight	 v. 突出；强调；使显著；加亮 n. 最精彩的部分；最重要的事情；加亮区
liquidation	 n. 清算；偿还；液化；清除
convey	 v. 传达；运输；让与
overhead	 adv. 在头顶上；在空中；在高处 adj. 高架的；在头上的；在头顶上的 n. 天花板；[会计] 经常费用；间接费用；吊脚架空层
byte	 n. 字节；8位元组
respond	 v. 回答；作出反应；承担责任 n. 应答；唱和
nullify	 v. 使无效，作废；取消
privatization	 n. 私有化
refresh	 v. 更新；使……恢复；使……清新；消除……的疲劳
carry	 v. 拿，扛；携带；支持；搬运 n. 运载；[计] 进位；射程
MB	 abbr. 兆位，兆字节（mega byte）
listed	 adj. 列出的；表列的；已登录的 v. 列出；登记（list的过去分词）
orientation	 n. 方向；定向；适应；情况介绍；向东方
ban	 v. 禁止，取缔 n. 禁令，禁忌
transfer	 n. 转让；转移；传递；过户 v. 转让；转学；换车
luminary	 n. 发光体；杰出人物；知识渊博的人
burglar	 n. 夜贼，窃贼
hold	 v. 持有；拥有；保存；拘留；约束或控制 n. 控制；保留
career	 n. 生涯；职业；事业；速度，全速 adj. 作为毕生职业的 v. 全速前进，猛冲
pander	 v. 迎合；勾引；怂恿；拉皮条 n. 怂恿者；拉皮条者；老鸨
distribution	 n. 分布；分配
flagship	 n. 旗舰；（作定语）一流；佼佼者
sensible	 adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的; n. 可感觉到的东西; 敏感的人;
accomplishment	 n. 成就；完成；技艺，技能
damages	 n. 损害赔偿（damage的复数）；伤害 v. 伤害；毁坏（damage的第三人称单数）
horizontal	 adj. 水平的；地平线的；同一阶层的 n. 水平线，水平面；水平位置
will	 n. 意志；决心；情感；遗嘱；意图；心愿 v. 决心要；遗赠；用意志力使 aux. 将；愿意；必须
pledge	 n. 保证，誓言；抵押；抵押品，典当物 v. 保证，许诺；用……抵押；举杯祝……健康
inflation	 n. 膨胀；通货膨胀；夸张；自命不凡
bar	 n. 条，棒；酒吧；障碍；法庭 v. 禁止；阻拦 prep. 除……外
compensate	 v. 补偿，赔偿；抵消
home	 n. 家，住宅；产地；家乡；避难所 adv. 在家，回家；深入地 adj. 国内的，家庭的；有效的 v. 归巢，回家
binder	 n. [胶粘] 粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
supermarket	 n. 超级市场；自助售货商店
accident	 n. 事故；意外；[法] 意外事件；机遇
announce	 v. 宣布；述说；预示；播报
empire	 n. 帝国；帝王统治，君权
savings	 n. 储蓄；存款；救助；节省物（saving的复数形式）
quit	 v. 离开；放弃；停止；使…解除 n. 离开；[计] 退出 adj. 摆脱了…的；已经了结的
dexterity	 n. 灵巧；敏捷；机敏
containerization	 n. 集装箱化
cruel	 adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
clear	 adj. 清楚的；清澈的；晴朗的；无罪的 v. 通过；清除；使干净；跳过 adv. 清晰地；完全地 n. 清除；空隙
subscribe	 v. 订阅；捐款；认购；赞成；签署
clean	 adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
abdication	 n. 辞职；退位
depot	 n. 仓库；停车场；航空站 vt. 把…存放在储藏处 adj. 药性持久的
probability	 n. 可能性；机率；[数] 或然率
hierarchy	 n. 层级；等级制度
airline	 n. 航空公司；航线 adj. 航线的
revocable	 adj. 可撤销的；可废除的
productivity	 n. 生产力；生产率；生产能力
diversity	 n. 多样性；差异
modernization	 n. 现代化
dozen	 n. 十二个，一打 adj. 一打的
gallery	 n. 画廊；走廊；旁听席；地道 vt. 在…修建走廊；在…挖地道 vi. 挖地道
vendor	 n. 卖主；小贩；供应商；[贸易] 自动售货机
advertisement	 n. 广告，宣传
exceed	 v. 超过；胜过
void	 adj. 空的；无效的；无人的 n. 空虚；空间；空隙 v. 使无效；排放
amenity	 n. 舒适；礼仪；愉快；便利设施
lottery	 n. 彩票；碰运气的事，难算计的事；抽彩给奖法
master	 v. 控制；精通；征服 n. 硕士；主人；大师；教师 adj. 主人的；主要的；熟练的
extraordinary	 adj. 非凡的；特别的；离奇的；临时的；特派的
per	 prep. 每；经；按照；每一 n. (Per)人名；(德、挪、丹、瑞典)佩尔
finance	 n. 财政，财政学；金融 v. 负担经费，供给…经费
method	 n. 方法；条理；类函数 adj. 使用体验派表演方法的
efficiency	 n. 效率；效能；功效
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
settle	 v. 解决；定居；沉淀；下陷 n. 有背长椅
PA	 n. （拉）等量（partes aequales）
overstaffed	 adj. 人浮于事的；人员过多的
avoidance	 n. 逃避；废止；职位空缺
onus	 n. 责任，义务；负担
nylon	 n. 尼龙，[纺] 聚酰胺纤维；尼龙袜
segment	 v. 分割 n. 段；部分
variation	 n. 变化；[生物] 变异，变种
defect	 n. 缺点，缺陷；不足之处 v. 变节；叛变
difficulty	 n. 困难，困境
authorization	 n. 授权，认可；批准，委任
honest	 adj. 诚实的，实在的；可靠的；坦率的
retailer	 n. 零售商；传播的人
stonewalling	 n. 石墙；阻碍议程 v. 妨碍（stonewall的ing形式）
postage	 n. 邮资，邮费
motivated	 adj. 有动机的；有积极性的 v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）
remainder	 n. [数] 余数，残余；剩余物；其余的人 adj. 剩余的；吃剩的 v. 廉价出售；削价出售
vocation	 n. 职业；天职；天命；神召
affluent	 adj. 富裕的；丰富的；流畅的 n. 支流；富人
hit	 v. 打击；袭击；碰撞；偶然发现；伤…的感情 n. 打；打击；（演出等）成功；讽刺
exact	 adj. 准确的，精密的；精确的 v. 要求；强求；急需
request	 n. 请求；需要 v. 要求，请求
disseminate	 v. 宣传，传播；散布
rearrange	 v. 重新排列；重新整理
medicine	 n. 药；医学；内科；巫术 v. 用药物治疗；给…用药
required	 adj. 必需的；（美）必修的 v. 需要（require的过去式及过去分词形式）；要求
middleman	 n. 中间人；经纪人；调解人
abatement	 n. 减少；消除；减轻
argument	 n. 论证；论据；争吵；内容提要
prepaid	 adj. 先付的，已支付的 v. 预付（prepay的过去式和过去分词）
cycle	 n. 循环；周期；自行车；整套；一段时间 v. 使循环；使轮转
approve	 v. 批准；赞成；为…提供证据
beg	 v. 乞讨；恳求；回避正题 n. (Beg)人名；(德、塞、巴基)贝格
inefficiency	 n. 效率低；无效率；无能
addendum	 n. 附录，附件；补遗；附加物
means	 n. 手段；方法；财产 v. 意思是；打算（mean的第三人称单数） [ 复数means ]
enter	 v. 进入；开始；参加 n. [计] 输入；回车
telegram	 n. 电报 vt. 用电报发送 vi. 发电报
depth	 n. [海洋] 深度；深奥
dinner	 n. 晚餐，晚宴；宴会；正餐
arrive	 v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫
computerization	 n. 电脑化；电子计算机化工作
panic	 n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 v. 使恐慌
flood	 v. 淹没；充满；溢出 n. 洪水；泛滥；一大批
bet	 n. 打赌，赌注；被打赌的事物 v. 打赌；敢断定，确信
applicant	 n. 申请人，申请者；请求者
owner	 n. [经] 所有者；物主
underpin	 v. 巩固；支持；从下面支撑；加强…的基础
distributorship	 n. 分销权
panel	 n. 仪表板；嵌板；座谈小组，全体陪审员 v. 嵌镶板
explore	 v. 探索；探测；探险
motivate	 v. 刺激；使有动机；激发…的积极性
appoint	 v. 任命；指定；约定
goods	 n. 商品；动产；合意的人；真本领
quick	 n. 核心；伤口的嫩肉 adj. 快的；迅速的，敏捷的；灵敏的 adv. 迅速地，快
reassessment	 n. 重新评估；[经] 重新估价；重新考虑
receivership	 n. [经管] 破产管理；破产管理人的职务；破产在管
gimmick	 n. 暗机关；骗人的玩意；花招 vt. 使暗机关；搞骗人的玩意
wrestle	 n. 摔跤；搏斗；斗争 v. 摔跤；斗争；斟酌
judicial	 adj. 公正的，明断的；法庭的；审判上的
effectiveness	 n. 效力
nonsense	 n. 胡说；废话 adj. 荒谬的 int. 胡说！
seal	 n. 密封；印章；海豹；封条；标志 v. 密封；盖章
embarkation	 n. 从事；装载；乘坐
quantitative	 adj. 定量的；量的，数量的
subordinate	 n. 下属，下级；部属，属下 adj. 从属的；次要的 v. 使……居下位；使……服从
bid	 v. 投标；出价；表示；吩咐 n. 出价；叫牌；努力争取
decentralization	 n. 分散；非集权化；（人口、工业等的）疏散
innovation	 n. 创新，革新；新方法
leaflet	 n. 小叶；传单
revenue	 n. 税收，国家的收入；收益
visionary	 adj. 梦想的；幻影的 n. 空想家；梦想者；有眼力的人
building	 n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
annual	 adj. 年度的；每年的 n. 年刊，年鉴；一年生植物
political	 adj. 政治的；党派的
task	 v. 分派任务 n. 工作，作业；任务
agreement	 n. 协议；同意，一致
embarrassed	 adj. 尴尬的；窘迫的 v. 使困窘；使局促不安（embarrass的过去分词形式）
modify	 v. 修改，修饰；更改
impending	 adj. 即将发生的；迫切的；悬挂的 v. 迫近；悬空（impend的现在分词）
chopstick	 n. 筷子
cyberspace	 n. 网络空间；赛博空间
registration	 n. 登记；注册；挂号
provision	 n. 规定；条款；准备；[经] 供应品 v. 供给…食物及必需品
database	 n. 数据库，资料库
illuminate	 v. 阐明，说明；照亮；使灿烂；用灯装饰
election	 n. 选举；当选；选择权；上帝的选拔
convenient	 adj. 方便的；[废语]适当的；[口语]近便的；实用的
plan	 n. 计划；平面图 v. 计划；设计；打算
hostel	 n. 旅社，招待所（尤指青年旅社）
weighting	 n. 加重，加权；衡量；（英）生活补贴 v. 加权；称量（weight的现在分词）
competitive	 adj. 竞争的；比赛的；求胜心切的
crossroads	 n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
blueprint	 v. 计划；制成蓝图 n. 蓝图，设计图；计划
earn	 v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎
overestimate	 v. 对……评价过高；对……估计过高 n. 估计过高；评价过高；出价过高
characteristic	 adj. 典型的；特有的；表示特性的 n. 特征；特性；特色
consistent	 adj. 始终如一的，一致的；坚持的
appraise	 v. 评价，鉴定；估价
handset	 n. 手机，电话听筒
glorious	 adj. 光荣的；辉煌的；极好的
equipment	 n. 设备，装备；器材
deregulate	 v. 解除对……的管制
manage	 v. 管理；经营；控制；设法
garbage	 n. 垃圾；废物
customer	 n. 顾客；家伙
downturn	 n. 衰退（经济方面）；低迷时期
validate	 v. 证实，验证；确认；使生效
interruption	 n. 中断；干扰；中断之事
recruit	 n. 招聘；新兵；新成员 v. 补充；聘用；征募；使…恢复健康
tenant	 n. 承租人；房客；佃户；居住者 v. 租借（常用于被动语态）
differential	 adj. 微分的；差别的；特异的 n. 微分；差别
interest	 n. 兴趣，爱好；利息；趣味；同行 v. 使……感兴趣；引起……的关心；使……参与
adopt	 v. 采取；接受；收养；正式通过
hunt	 v. 打猎；搜索 n. 狩猎；搜寻
quantity	 n. 量，数量；大量；总量
photocopier	 n. 影印机；复印机
along	 adv. 一起；向前；来到 prep. 沿着；顺着
impeccable	 adj. 无瑕疵的；没有缺点的
commission	 n. 委员会；佣金；犯；委任；委任状 v. 委任；使服役；委托制作
cheerful	 adj. 快乐的；愉快的；高兴的
alone	 adj. 独自的；单独的；孤独的 adv. 独自地；单独地
bureau	 n. 局，处；衣柜；办公桌
supplier	 n. 供应厂商，供应国；供应者
responsibility	 n. 责任，职责；义务
copy	 v. 复制；复印；抄袭 n. 副本；一册；摹仿
template	 n. 模板，样板
integrate	 v. 使…完整；使…成整体；求…的积分；表示…的总和 adj. 整合的；完全的 n. 一体化；集成体
adequate	 adj. 充足的；适当的；胜任的
attendance	 n. 出席；到场；出席人数；考勤
feasible	 adj. 可行的；可能的；可实行的
pitfall	 n. 陷阱，圈套；缺陷；诱惑
inconsiderate	 adj. 轻率的；不顾别人的；无谋得
postcode	 n. （英）邮政编码；邮区号
convince	 v. 说服；使确信，使信服
obey	 v. 服从，听从；按照……行动 n. (Obey)人名；(英、法)奥贝
provable	 adj. 可证明的；可以查清的
prerequisite	 n. 先决条件 adj. 首要必备的
fashionable	 adj. 流行的；时髦的；上流社会的
hamper	 v. 妨碍；束缚；使困累 n. 食盒，食篮；阻碍物
packer	 n. 包装机；包装工人；罐头食品工人，赶牲口运货的人
lot	 n. 份额；许多；命运；阄 adv. （与形容词和副词连用）很，非常；（与动词连用）非常 pron. 大量，许多 v. 分组，把…划分（常与out连用）；把（土地）划分成块
packet	 n. 数据包，信息包；小包，小捆 vt. 包装，打包
appraisal	 n. 评价；估价（尤指估价财产，以便征税）；估计
TT	 abbr. 电汇（Telegraphic Transfer）；总时间（Total Time）；技术术语（Technical Term）；经结核菌素试验的（Tuberculin Tested）
complex	 adj. 复杂的；合成的 n. 复合体；综合设施
graphic	 adj. 形象的；图表的；绘画似的
territory	 n. 领土，领域；范围；地域；版图
advertising	 n. 广告；广告业；登广告 adj. 广告的；广告业的 v. 公告；为…做广告（advertise的ing形式）
guideline	 n. 指导方针
irrelevant	 adj. 不相干的；不切题的
difficult	 adj. 困难的；不随和的；执拗的
remission	 n. 缓解；宽恕；豁免
inhabitant	 n. 居民；居住者
consortium	 n. 财团；联合；合伙
tycoon	 n. 企业界大亨，巨头；巨富
XD	 abbr. 无红利（ex-dividend）
menswear	 n. 男装；男服 adj. 用男服料缝制的
publish	 v. 出版；发表；公布
license	 n. 执照，许可证；特许 v. 许可；特许；发许可证给
antidumping	 adj. 反倾销政策的
offspring	 n. 后代，子孙；产物
landlord	 n. 房东，老板；地主
site	 n. 地点；位置；场所 v. 设置；为…选址
holder	 n. 持有人；所有人；固定器；（台、架等）支持物
catalogue	 n. 目录；（美）大学情况一览 v. 把…编入目录
plaintiff	 n. 原告
royalty	 n. 皇室；版税；王权；专利税
back	 n. 后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的
cosmic	 adj. 宇宙的（等于cosmical）
allocate	 v. 分配；拨出；使坐落于
quay	 n. 码头
divide	 v. 划分；除；分开；使产生分歧 n. [地理] 分水岭，分水线
kidnap	 v. 绑架；诱拐；拐骗
material	 adj. 重要的；物质的，实质性的；肉体的 n. 材料，原料；物资；布料
exhibit	 v. 展览；显示；提出（证据等） n. 展览品；证据；展示会
challenge	 n. 挑战；怀疑 v. 向…挑战；对…质疑
buyout	 n. 全部买下（市上产品）
practice	 n. 实践；练习；惯例 v. 练习；实习；实行
bulb	 n. 电灯泡；鳞茎；球状物 vi. 生球茎；膨胀成球状
original	 n. 原件；原作；原物；原型 adj. 原始的；最初的；独创的；新颖的
hype	 n. 大肆宣传；皮下注射 v. 大肆宣传；使…兴奋
defend	 v. 辩护；防护
suppress	 v. 抑制；镇压；废止
proportion	 n. 比例，占比；部分；面积；均衡 v. 使成比例；使均衡；分摊
harmful	 adj. 有害的；能造成损害的
percent	 n. 百分比，百分率；部分；百分数 adj. 百分之…的 adv. 以百分之…地
bust	 v. 破产；爆裂；降低级别 n. 破产；半身像；萧条；胸部 adj. 破产了的；毁坏了的
skillful	 adj. 熟练的；巧妙的
remit	 v. 宽恕；免除；减轻；传送；使恢复原状 n. 移交的事物
bend	 v. 使弯曲；使屈服；使致力；使朝向 n. 弯曲
tactic	 n. 策略，战略 adj. 按顺序的，依次排列的
reorientate	 v. 使重定向
absent	 adj. 缺席的；缺少的；心不在焉的；茫然的 v. 使缺席
discretion	 n. 自由裁量权；谨慎；判断力；判定；考虑周到
mankind	 n. 人类；男性
acquiesce	 v. 默许；勉强同意
banknote	 n. 纸币
metal	 n. 金属；合金 v. 以金属覆盖 adj. 金属制的
resilient	 adj. 弹回的，有弹力的
bush	 n. 灌木；矮树丛 v. 以灌木装饰；使…精疲力竭 adj. 如灌木般长得低矮的；粗野的
incorrect	 adj. 错误的，不正确的；不适当的；不真实的
crash	 n. 撞碎；坠毁；破产；轰隆声；睡觉 v. 摔碎；坠落；发出隆隆声；(金融企业等)破产
engender	 v. 使产生；造成
conclude	 v. 推断；决定，作结论；结束
idealize	 v. 理想化；形成思想
mainstream	 n. 主流
imagine	 v. 想像；猜想；臆断
contractor	 n. 承包人；立契约者
condition	 n. 条件；情况；环境；身份 v. 决定；使适应；使健康；以…为条件
prudent	 adj. 谨慎的；精明的；节俭的 n. (Prudent)人名；(法)普吕当
select	 v. 挑选；选拔 adj. 精选的；挑选出来的；极好的 n. 被挑选者；精萃
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
dividend	 n. 红利；股息；[数] 被除数；奖金
requisition	 n. 征用；要求；申请书；引渡要求 v. 征用；申请领取
economy	 n. 经济；节约；理财
